round_index,slot,role,participant_id,arrival_offset_ms
1,126,component,82,0.748873
1,126,component,76,0.751019
1,126,component,80,0.751972
1,126,component,83,0.756025
1,126,component,85,0.782967
1,126,component,89,0.782967
1,126,component,75,0.789881
1,126,component,78,0.789881
1,126,component,86,0.793934
1,126,component,87,0.811815
1,126,component,88,0.821829
1,126,component,90,0.833035
1,126,component,84,0.859976
1,126,proxy,0,95.592976
1,126,proxy,13,95.595837
1,126,proxy,26,95.813990
1,126,proxy,8,95.919847
1,126,proxy,12,96.029043
1,126,proxy,4,96.053839
1,126,proxy,38,96.174955
1,126,proxy,7,96.206903
1,126,proxy,17,96.240044
1,126,proxy,10,96.276045
1,126,proxy,21,96.288919
1,126,proxy,36,96.326828
1,126,proxy,32,96.490860
1,126,proxy,20,96.518040
1,126,proxy,11,96.647978
1,126,proxy,23,96.663952
1,126,proxy,25,96.710920
1,126,proxy,35,96.716881
1,126,proxy,37,97.120047
1,126,proxy,34,97.196817
1,126,proxy,15,97.221851
1,126,proxy,29,100.513935
1,126,proxy,22,101.627827
1,126,proxy,28,102.113008
1,126,proxy,1,103.936911
1,126,proxy,16,181.957960
1,126,proxy,27,181.957960
1,126,proxy,2,182.355881
1,126,proxy,18,182.355881
1,126,proxy,9,183.606863
1,126,proxy,31,183.696032
1,126,proxy,3,184.037924
1,126,proxy,14,184.094906
1,126,proxy,33,184.258938
1,126,proxy,24,184.362888
1,126,proxy,6,184.468985
1,126,proxy,39,185.283899
1,126,proxy,19,189.797878
1,126,proxy,30,199.254990
1,126,proxy,5,288.820028
2,128,component,2,0.069857
2,128,component,4,0.070810
2,128,component,1,0.077009
2,128,component,5,0.089884
2,128,component,3,0.097990
2,128,component,6,0.097990
2,128,component,8,0.108957
2,128,component,7,0.131845
2,128,component,11,0.152826
2,128,component,9,0.164032
2,128,component,12,0.164986
2,128,component,10,0.170946
2,128,component,13,0.205040
2,128,component,15,0.205994
2,128,component,14,0.228882
2,128,component,16,0.228882
2,128,component,18,0.253916
2,128,component,17,0.257015
2,128,component,19,0.264883
2,128,component,22,0.277042
2,128,component,21,0.298977
2,128,component,24,0.321865
2,128,component,23,0.329018
2,128,component,20,0.355005
2,128,component,26,0.355005
2,128,component,25,0.373840
2,128,component,27,0.401020
2,128,component,28,0.401020
2,128,component,31,0.414848
2,128,component,29,0.425816
2,128,component,32,0.425816
2,128,component,30,0.434875
2,128,component,33,0.437021
2,128,component,34,0.442028
2,128,component,36,0.463009
2,128,component,35,0.473976
2,128,component,37,0.511885
2,128,component,40,0.511885
2,128,component,38,0.514984
2,128,component,44,0.527859
2,128,component,39,0.535011
2,128,component,41,0.535011
2,128,component,48,0.550032
2,128,component,42,0.555992
2,128,component,43,0.555992
2,128,component,47,0.555992
2,128,component,46,0.561953
2,128,component,45,0.567913
2,128,component,51,0.578880
2,128,component,49,0.582933
2,128,component,50,0.597954
2,128,component,55,0.602007
2,128,component,52,0.615835
2,128,component,53,0.633955
2,128,component,56,0.633955
2,128,component,54,0.645876
2,128,component,60,0.645876
2,128,component,64,0.660896
2,128,component,61,0.663042
2,128,component,57,0.667810
2,128,component,59,0.669956
2,128,component,63,0.670910
2,128,component,58,0.681877
2,128,component,66,0.695944
2,128,component,67,0.696898
2,128,component,65,0.699043
2,128,component,62,0.706911
2,128,component,69,0.721931
2,128,component,71,0.732899
2,128,component,70,0.741959
2,128,component,72,0.743866
2,128,component,74,0.746965
2,128,component,68,0.752926
2,128,component,73,0.761986
2,128,component,81,0.788927
2,128,component,80,0.792980
2,128,component,76,0.793934
2,128,component,75,0.802994
2,128,component,78,0.802994
2,128,component,77,0.804901
2,128,component,85,0.823021
2,128,component,89,0.825882
2,128,component,86,0.828028
2,128,component,79,0.829935
2,128,component,84,0.830889
2,128,component,82,0.846863
2,128,component,83,0.847816
2,128,component,87,0.849962
2,128,component,88,0.864983
2,128,component,90,0.874043
2,128,proxy,9,95.706940
2,128,proxy,15,95.906019
2,128,proxy,4,95.944881
2,128,proxy,16,95.976830
2,128,proxy,3,96.143961
2,128,proxy,36,96.202850
2,128,proxy,35,96.210957
2,128,proxy,12,96.257925
2,128,proxy,7,96.361876
2,128,proxy,5,96.470833
2,128,proxy,33,96.470833
2,128,proxy,10,96.550941
2,128,proxy,37,96.577883
2,128,proxy,19,96.663952
2,128,proxy,17,96.765995
2,128,proxy,31,96.871853
2,128,proxy,34,96.977949
2,128,proxy,30,97.203970
2,128,proxy,27,97.905874
2,128,proxy,22,102.311850
2,128,proxy,28,103.139877
2,128,proxy,39,181.756020
2,128,proxy,13,181.758881
2,128,proxy,26,181.829929
2,128,proxy,38,182.374954
2,128,proxy,20,182.937860
2,128,proxy,0,183.197021
2,128,proxy,11,183.446884
2,128,proxy,32,183.477879
2,128,proxy,23,183.863878
2,128,proxy,25,183.887005
2,128,proxy,8,183.960915
2,128,proxy,24,184.054852
2,128,proxy,18,184.587955
2,128,proxy,14,184.697866
2,128,proxy,21,185.416937
2,128,proxy,6,187.383890
2,128,proxy,2,188.386917
2,128,proxy,29,192.142010
2,128,proxy,1,196.446896
3,131,component,9,0.013113
3,131,component,5,0.015020
3,131,component,1,0.021219
3,131,component,2,0.023127
3,131,component,3,0.023127
3,131,component,4,0.023127
3,131,component,6,0.023127
3,131,component,10,0.025034
3,131,component,7,0.029087
3,131,component,8,0.030041
3,131,component,11,0.069141
3,131,component,13,0.073195
3,131,component,14,0.093222
3,131,component,12,0.104189
3,131,component,15,0.106096
3,131,component,17,0.124216
3,131,component,16,0.138044
3,131,component,21,0.157118
3,131,component,18,0.169992
3,131,component,19,0.185013
3,131,component,24,0.189066
3,131,component,22,0.198126
3,131,component,23,0.199080
3,131,component,27,0.199080
3,131,component,20,0.224113
3,131,component,26,0.224113
3,131,component,29,0.232220
3,131,component,25,0.246048
3,131,component,28,0.255108
3,131,component,31,0.286102
3,131,component,32,0.293016
3,131,component,30,0.298023
3,131,component,33,0.303030
3,131,component,34,0.312090
3,131,component,36,0.334024
3,131,component,35,0.347137
3,131,component,40,0.383139
3,131,component,37,0.384092
3,131,component,38,0.385046
3,131,component,41,0.388145
3,131,component,39,0.397205
3,131,component,42,0.429153
3,131,component,43,0.429153
3,131,component,46,0.431061
3,131,component,45,0.448227
3,131,component,44,0.452042
3,131,component,48,0.474215
3,131,component,47,0.482082
3,131,component,51,0.497103
3,131,component,49,0.520229
3,131,component,50,0.528097
3,131,component,52,0.552177
3,131,component,53,0.558138
3,131,component,54,0.565052
3,131,component,55,0.566006
3,131,component,57,0.580072
3,131,component,56,0.581026
3,131,component,59,0.647068
3,131,component,58,0.651121
3,131,component,60,0.671148
3,131,component,61,0.675201
3,131,component,64,0.677109
3,131,component,62,0.682116
3,131,component,63,0.690222
3,131,component,68,0.699043
3,131,component,65,0.707150
3,131,component,67,0.707150
3,131,component,66,0.716209
3,131,component,71,0.746012
3,131,component,69,0.750065
3,131,component,70,0.753164
3,131,component,72,0.759125
3,131,component,74,0.771046
3,131,component,73,0.774145
3,131,component,79,0.790119
3,131,component,76,0.802994
3,131,component,80,0.812054
3,131,component,81,0.813007
3,131,component,82,0.813007
3,131,component,77,0.816107
3,131,component,75,0.820160
3,131,component,78,0.820160
3,131,component,85,0.836134
3,131,component,86,0.856161
3,131,component,89,0.858068
3,131,component,83,0.862122
3,131,component,87,0.873089
3,131,component,88,0.874996
3,131,component,90,0.893116
3,131,component,84,0.910044
3,131,proxy,0,95.774174
3,131,proxy,3,95.969200
3,131,proxy,11,96.055031
3,131,proxy,13,96.168041
3,131,proxy,21,96.194029
3,131,proxy,7,96.240044
3,131,proxy,38,96.240044
3,131,proxy,2,96.276999
3,131,proxy,32,96.297026
3,131,proxy,6,96.303225
3,131,proxy,24,96.442223
3,131,proxy,16,96.466064
3,131,proxy,25,96.491098
3,131,proxy,35,96.638203
3,131,proxy,18,96.661091
3,131,proxy,14,96.667051
3,131,proxy,23,96.709013
3,131,proxy,4,96.806049
3,131,proxy,19,96.846104
3,131,proxy,20,96.881151
3,131,proxy,5,96.933126
3,131,proxy,30,97.042084
3,131,proxy,12,97.205162
3,131,proxy,39,97.251177
3,131,proxy,36,97.269058
3,131,proxy,1,102.816105
3,131,proxy,8,116.495132
3,131,proxy,26,118.655205
3,131,proxy,29,120.058060
3,131,proxy,10,182.192087
3,131,proxy,33,182.928085
3,131,proxy,31,183.614016
3,131,proxy,9,183.615208
3,131,proxy,15,183.666229
3,131,proxy,27,183.727026
3,131,proxy,34,183.981180
3,131,proxy,37,183.982134
3,131,proxy,17,185.297012
3,131,proxy,22,193.994045
3,131,proxy,28,198.377132
4,133,component,2,0.072956
4,133,component,1,0.093937
4,133,component,3,0.096083
4,133,component,4,0.108004
4,133,component,6,0.119925
4,133,component,5,0.125885
4,133,component,8,0.144005
4,133,component,7,0.154018
4,133,component,9,0.159025
4,133,component,11,0.171900
4,133,component,10,0.184059
4,133,component,14,0.199080
4,133,component,12,0.204086
4,133,component,13,0.223875
4,133,component,15,0.223875
4,133,component,16,0.236988
4,133,component,18,0.272989
4,133,component,17,0.276089
4,133,component,19,0.283957
4,133,component,22,0.298977
4,133,component,23,0.299931
4,133,component,21,0.319004
4,133,component,25,0.334024
4,133,component,24,0.340939
4,133,component,27,0.370979
4,133,component,28,0.370979
4,133,component,29,0.396013
4,133,component,30,0.401020
4,133,component,33,0.407934
4,133,component,20,0.408888
4,133,component,26,0.408888
4,133,component,32,0.408888
4,133,component,31,0.433922
4,133,component,35,0.442982
4,133,component,36,0.442982
4,133,component,34,0.460863
4,133,component,40,0.469923
4,133,component,37,0.483036
4,133,component,41,0.485897
4,133,component,38,0.487089
4,133,component,39,0.509024
4,133,component,42,0.530958
4,133,component,43,0.530958
4,133,component,46,0.535011
4,133,component,45,0.549078
4,133,component,44,0.550032
4,133,component,50,0.567913
4,133,component,48,0.581980
4,133,component,47,0.591993
4,133,component,51,0.602007
4,133,component,55,0.614882
4,133,component,49,0.618935
4,133,component,53,0.644922
4,133,component,56,0.644922
4,133,component,52,0.653982
4,133,component,54,0.669003
4,133,component,61,0.679016
4,133,component,57,0.683069
4,133,component,59,0.688076
4,133,component,65,0.699997
4,133,component,58,0.700951
4,133,component,63,0.704050
4,133,component,60,0.707865
4,133,component,62,0.721931
4,133,component,64,0.730038
4,133,component,66,0.736952
4,133,component,69,0.745058
4,133,component,71,0.751019
4,133,component,72,0.753880
4,133,component,70,0.756025
4,133,component,67,0.761986
4,133,component,68,0.762939
