Data plane is up
Running irtt
UE IP is 10.45.0.14
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=609.9ms rd=56.48ms sd=553.4ms ipdv=n/a
seq=1 rtt=717ms rd=68.17ms sd=648.8ms ipdv=107.1ms
seq=2 rtt=849.7ms rd=80.8ms sd=768.9ms ipdv=132.7ms
seq=3 rtt=372.5ms rd=69.84ms sd=302.6ms ipdv=477.2ms
seq=4 rtt=467.1ms rd=90.47ms sd=376.6ms ipdv=94.6ms
seq=5 rtt=635.9ms rd=62.82ms sd=573ms ipdv=168.8ms
seq=6 rtt=738.1ms rd=71.18ms sd=666.9ms ipdv=102.3ms
seq=7 rtt=943.6ms rd=117.4ms sd=826.2ms ipdv=205.5ms
seq=8 rtt=469.4ms rd=108.2ms sd=361.2ms ipdv=474.2ms
seq=9 rtt=537.9ms rd=78.27ms sd=459.6ms ipdv=68.5ms
seq=10 rtt=735.7ms rd=101.7ms sd=634ms ipdv=197.8ms
seq=11 rtt=809.7ms rd=71.33ms sd=738.4ms ipdv=74ms
seq=12 rtt=377ms rd=58.87ms sd=318.1ms ipdv=432.7ms
seq=13 rtt=483ms rd=67.71ms sd=415.3ms ipdv=106ms
seq=14 rtt=601.4ms rd=77.82ms sd=523.6ms ipdv=118.5ms
seq=15 rtt=775.4ms rd=63.63ms sd=711.8ms ipdv=174ms
seq=16 rtt=866.1ms rd=75.22ms sd=790.9ms ipdv=90.7ms
seq=17 rtt=394ms rd=79.18ms sd=314.8ms ipdv=472.1ms
seq=18 rtt=565.2ms rd=78.69ms sd=486.4ms ipdv=171.2ms
seq=19 rtt=691.4ms rd=76.35ms sd=615.1ms ipdv=126.3ms
seq=20 rtt=866.5ms rd=95.32ms sd=771.2ms ipdv=175.1ms
seq=21 rtt=395.7ms rd=72.7ms sd=323ms ipdv=470.8ms
seq=22 rtt=488.5ms rd=66.67ms sd=421.8ms ipdv=92.8ms
seq=23 rtt=637.8ms rd=91.24ms sd=546.5ms ipdv=149.3ms
seq=24 rtt=798.8ms rd=100.6ms sd=698.2ms ipdv=161ms
seq=25 rtt=336ms rd=59.6ms sd=276.4ms ipdv=462.8ms
seq=26 rtt=479.6ms rd=89.74ms sd=389.9ms ipdv=143.7ms
seq=27 rtt=674.8ms rd=124.2ms sd=550.6ms ipdv=195.2ms
seq=28 rtt=853.5ms rd=98.29ms sd=755.2ms ipdv=178.8ms
seq=29 rtt=409.4ms rd=111.3ms sd=298.1ms ipdv=444.2ms
seq=30 rtt=518.4ms rd=70.04ms sd=448.4ms ipdv=109.1ms
seq=31 rtt=717.1ms rd=105.2ms sd=611.9ms ipdv=198.7ms
seq=32 rtt=2.97s rd=96.18ms sd=2.87s ipdv=2.25s
seq=33 rtt=2.47s rd=96.16ms sd=2.37s ipdv=500.1ms
seq=34 rtt=1.97s rd=96.15ms sd=1.87s ipdv=500.7ms
seq=35 rtt=1.47s rd=96.19ms sd=1.37s ipdv=499.5ms
seq=36 rtt=1.02s rd=97.02ms sd=920.1ms ipdv=452.3ms
seq=37 rtt=2.51s rd=80.01ms sd=2.43s ipdv=1.49s
seq=38 rtt=2.01s rd=80ms sd=1.93s ipdv=500.3ms
seq=39 rtt=1.51s rd=80.04ms sd=1.43s ipdv=499.7ms
seq=40 rtt=1.01s rd=80.03ms sd=928.3ms ipdv=499.6ms
seq=41 rtt=543.1ms rd=74.05ms sd=469ms ipdv=465.3ms
seq=42 rtt=707.1ms rd=93.21ms sd=613.9ms ipdv=164ms
seq=43 rtt=878.7ms rd=82.96ms sd=795.8ms ipdv=171.7ms
seq=44 rtt=414.5ms rd=78.48ms sd=336ms ipdv=464.2ms
seq=45 rtt=598.8ms rd=68.67ms sd=530.2ms ipdv=184.3ms
seq=46 rtt=804.1ms rd=99.18ms sd=705ms ipdv=205.3ms
