minute,x2ap,s1ap,rrc
1,3,2,7
2,3,2,7
3,3,2,7
4,6,4,14
5,3,2,7
6,0,0,0
7,12,8,28
8,3,2,7
9,3,2,7
10,3,2,7
11,3,2,7
12,12,8,28
13,6,4,14
14,6,4,14
