minute,x2ap,s1ap,rrc
0,3,2,7
1,6,4,14
2,12,8,28
3,9,6,21
4,6,4,14
5,6,4,14
6,9,6,21
7,3,2,7
8,3,2,7
9,9,6,21
10,0,0,0
11,12,8,28
12,12,8,28
13,6,4,14
14,6,4,14
