Data plane is up
Running irtt
UE IP is 10.45.0.2
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=45.34ms rd=-5.6s sd=5.64s ipdv=n/a
seq=1 rtt=45.29ms rd=-5.6s sd=5.64s ipdv=49.2µs
seq=2 rtt=58.6ms rd=-5.59s sd=5.65s ipdv=13.31ms
seq=3 rtt=660.8ms rd=-5.6s sd=6.26s ipdv=602.2ms
seq=4 rtt=160.2ms rd=-5.6s sd=5.76s ipdv=500.6ms
seq=5 rtt=67.69ms rd=-5.6s sd=5.66s ipdv=92.51ms
seq=6 rtt=70.45ms rd=-5.59s sd=5.66s ipdv=2.76ms
seq=7 rtt=25.24ms rd=-5.6s sd=5.62s ipdv=45.21ms
seq=8 rtt=32.04ms rd=-5.59s sd=5.62s ipdv=6.8ms
seq=9 rtt=34.14ms rd=-5.59s sd=5.63s ipdv=2.1ms
seq=10 rtt=44.34ms rd=-5.59s sd=5.64s ipdv=10.2ms
seq=11 rtt=54.25ms rd=-5.59s sd=5.64s ipdv=9.91ms
seq=12 rtt=60.34ms rd=-5.59s sd=5.65s ipdv=6.09ms
seq=13 rtt=62.24ms rd=-5.59s sd=5.65s ipdv=1.9ms
seq=14 rtt=67.59ms rd=-5.59s sd=5.66s ipdv=5.35ms
seq=15 rtt=67.94ms rd=-5.59s sd=5.66s ipdv=350µs
seq=16 rtt=74.54ms rd=-5.59s sd=5.66s ipdv=6.6ms
seq=17 rtt=29.09ms rd=-5.59s sd=5.62s ipdv=45.45ms
seq=18 rtt=34.34ms rd=-5.59s sd=5.62s ipdv=5.25ms
seq=19 rtt=40.44ms rd=-5.59s sd=5.63s ipdv=6.1ms
seq=20 rtt=38.7ms rd=-5.59s sd=5.63s ipdv=1.74ms
seq=21 rtt=38.84ms rd=-5.59s sd=5.63s ipdv=144µs
seq=22 rtt=45.49ms rd=-5.59s sd=5.64s ipdv=6.65ms
seq=23 rtt=47.99ms rd=-5.59s sd=5.64s ipdv=2.5ms
seq=24 rtt=45.69ms rd=-5.59s sd=5.64s ipdv=2.3ms
seq=25 rtt=52.74ms rd=-5.59s sd=5.64s ipdv=7.05ms
seq=26 rtt=58.54ms rd=-5.59s sd=5.65s ipdv=5.8ms
seq=27 rtt=66.54ms rd=-5.59s sd=5.66s ipdv=8ms
