Data plane is up
Running irtt
UE IP is 10.45.0.44
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=485.5ms rd=-1.03ms sd=486.5ms ipdv=n/a
seq=1 rtt=331.6ms rd=19.98ms sd=311.6ms ipdv=153.9ms
seq=2 rtt=686.4ms rd=61.7ms sd=624.7ms ipdv=354.8ms
seq=3 rtt=540.2ms rd=63.69ms sd=476.5ms ipdv=146.3ms
seq=4 rtt=816.6ms rd=6.2ms sd=810.4ms ipdv=276.4ms
seq=5 rtt=685.6ms rd=41.95ms sd=643.6ms ipdv=131ms
seq=6 rtt=1.02s rd=46.07ms sd=973.4ms ipdv=334ms
seq=7 rtt=853.5ms rd=45.65ms sd=807.9ms ipdv=166ms
seq=8 rtt=1.17s rd=676µs sd=1.17s ipdv=319ms
seq=9 rtt=1s rd=2.91ms sd=1s ipdv=169.4ms
seq=10 rtt=1.03s rd=-4.32ms sd=1.03s ipdv=24ms
seq=11 rtt=1.19s rd=53.38ms sd=1.14s ipdv=164ms
seq=12 rtt=1.02s rd=14.07ms sd=1.01s ipdv=171.9ms
seq=13 rtt=1.34s rd=30.84ms sd=1.31s ipdv=321.8ms
seq=14 rtt=1.19s rd=51.92ms sd=1.14s ipdv=148.8ms
seq=15 rtt=1.51s rd=31.73ms sd=1.48s ipdv=322ms
seq=16 rtt=1.37s rd=57.22ms sd=1.32s ipdv=139.9ms
seq=17 rtt=1.66s rd=23.1ms sd=1.64s ipdv=290ms
seq=18 rtt=1.5s rd=6.67ms sd=1.49s ipdv=168.5ms
seq=19 rtt=1.89s rd=99.38ms sd=1.79s ipdv=394.3ms
seq=20 rtt=1.72s rd=73.67ms sd=1.64s ipdv=173.7ms
seq=21 rtt=1.97s rd=4.62ms sd=1.97s ipdv=255.8ms
seq=22 rtt=1.84s rd=41.11ms sd=1.8s ipdv=135.1ms
seq=23 rtt=2.17s rd=32.95ms sd=2.14s ipdv=337ms
seq=24 rtt=2.02s rd=61.1ms sd=1.96s ipdv=151.8ms
seq=25 rtt=2.36s rd=17.32ms sd=2.34s ipdv=338.4ms
seq=26 rtt=2.23s rd=59.96ms sd=2.17s ipdv=127.6ms
seq=27 rtt=2.03s rd=59.99ms sd=1.97s ipdv=200.3ms
seq=28 rtt=2.06s rd=-2.16ms sd=2.06s ipdv=23.65ms
seq=29 rtt=2.19s rd=33.66ms sd=2.16s ipdv=137.7ms
seq=30 rtt=2.04s rd=60.28ms sd=1.98s ipdv=152.3ms
seq=31 rtt=2.4s rd=42.84ms sd=2.36s ipdv=360.1ms
seq=32 rtt=2.26s rd=57.74ms sd=2.2s ipdv=142ms
seq=33 rtt=2.58s rd=25.72ms sd=2.56s ipdv=323.3ms
seq=34 rtt=2.41s rd=3.7ms sd=2.41s ipdv=168.8ms
seq=35 rtt=2.74s rd=-1.83ms sd=2.74s ipdv=322ms
seq=36 rtt=2.59s rd=34.18ms sd=2.56s ipdv=142.5ms
seq=37 rtt=2.57s rd=-9.2ms sd=2.58s ipdv=26.25ms
seq=38 rtt=2.37s rd=-9.23ms sd=2.38s ipdv=200.2ms
