Data plane is up
Running irtt
UE IP is 10.45.0.30
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=548.5ms rd=100ms sd=448.5ms ipdv=n/a
seq=1 rtt=376.5ms rd=99.8ms sd=276.7ms ipdv=172ms
seq=2 rtt=701.3ms rd=114.7ms sd=586.6ms ipdv=324.8ms
seq=3 rtt=554.8ms rd=115.1ms sd=439.7ms ipdv=146.6ms
seq=4 rtt=586.3ms rd=70.28ms sd=516ms ipdv=31.55ms
seq=5 rtt=631.6ms rd=61.51ms sd=570.1ms ipdv=45.25ms
seq=6 rtt=431.2ms rd=61.49ms sd=369.7ms ipdv=200.4ms
seq=7 rtt=301.1ms rd=83ms sd=218.1ms ipdv=130.1ms
seq=8 rtt=636.1ms rd=101.9ms sd=534.3ms ipdv=335ms
seq=9 rtt=502ms rd=131.7ms sd=370.2ms ipdv=134.2ms
seq=10 rtt=850.2ms rd=118.2ms sd=731.9ms ipdv=348.2ms
seq=11 rtt=675.7ms rd=114.1ms sd=561.6ms ipdv=174.5ms
seq=12 rtt=770.2ms rd=123.2ms sd=647ms ipdv=94.45ms
seq=13 rtt=569.9ms rd=123.2ms sd=446.7ms ipdv=200.3ms
seq=14 rtt=646.4ms rd=67.14ms sd=579.2ms ipdv=76.5ms
seq=15 rtt=927.6ms rd=55.46ms sd=872.2ms ipdv=281.3ms
seq=16 rtt=800.6ms rd=100.9ms sd=699.6ms ipdv=127.1ms
seq=17 rtt=1.13s rd=66.81ms sd=1.06s ipdv=328.1ms
seq=18 rtt=929ms rd=66.77ms sd=862.2ms ipdv=199.7ms
seq=19 rtt=1.27s rd=69.38ms sd=1.2s ipdv=341.9ms
seq=20 rtt=1.07s rd=69.34ms sd=1s ipdv=199.6ms
seq=21 rtt=912.3ms rd=78.42ms sd=833.9ms ipdv=159ms
seq=22 rtt=1.28s rd=89.78ms sd=1.19s ipdv=363.9ms
seq=23 rtt=1.11s rd=101.3ms sd=1s ipdv=171ms
seq=24 rtt=1.09s rd=31.46ms sd=1.06s ipdv=17.8ms
seq=25 rtt=924.9ms rd=59.53ms sd=865.4ms ipdv=162.4ms
seq=26 rtt=1.02s rd=118ms sd=901.7ms ipdv=94.75ms
seq=27 rtt=820.4ms rd=118ms sd=702.4ms ipdv=199.3ms
seq=28 rtt=651.3ms rd=121.2ms sd=530.1ms ipdv=169.1ms
seq=29 rtt=544.3ms rd=151.8ms sd=392.4ms ipdv=107ms
seq=30 rtt=836.8ms rd=134.4ms sd=702.4ms ipdv=292.6ms
seq=31 rtt=701.4ms rd=178.6ms sd=522.8ms ipdv=135.4ms
seq=32 rtt=2.25s rd=125.3ms sd=2.12s ipdv=1.55s
seq=33 rtt=2.05s rd=125.3ms sd=1.92s ipdv=200.5ms
seq=34 rtt=1.85s rd=125.3ms sd=1.72s ipdv=199.4ms
seq=35 rtt=1.65s rd=125.2ms sd=1.52s ipdv=200.3ms
seq=36 rtt=1.45s rd=125.2ms sd=1.32s ipdv=200.4ms
seq=37 rtt=1.29s rd=113.1ms sd=1.17s ipdv=159.8ms
seq=38 rtt=1.63s rd=108.9ms sd=1.52s ipdv=343.5ms
seq=39 rtt=1.49s rd=131.6ms sd=1.35s ipdv=143.7ms
seq=40 rtt=1.55s rd=126.7ms sd=1.42s ipdv=62.3ms
seq=41 rtt=1.61s rd=87.64ms sd=1.52s ipdv=60.45ms
seq=42 rtt=2.04s rd=162.4ms sd=1.88s ipdv=433.1ms
seq=43 rtt=3.48s rd=96.72ms sd=3.38s ipdv=1.44s
seq=44 rtt=3.28s rd=96.75ms sd=3.18s ipdv=200.2ms
seq=45 rtt=3.08s rd=96.73ms sd=2.98s ipdv=200.5ms
seq=46 rtt=2.88s rd=96.73ms sd=2.78s ipdv=199.3ms
seq=47 rtt=2.68s rd=96.72ms sd=2.58s ipdv=200.7ms
seq=54 rtt=1.31s rd=94.09ms sd=1.21s ipdv=n/a
seq=55 rtt=1.11s rd=94.07ms sd=1.01s ipdv=199.4ms
seq=56 rtt=1.42s rd=103.8ms sd=1.32s ipdv=315.8ms
seq=57 rtt=1.27s rd=120.7ms sd=1.15s ipdv=146.8ms
seq=58 rtt=1.6s rd=73.91ms sd=1.52s ipdv=320.6ms
seq=59 rtt=1.46s rd=58.98ms sd=1.4s ipdv=137.2ms
seq=60 rtt=1.8s rd=68.82ms sd=1.73s ipdv=340.4ms
seq=61 rtt=1.65s rd=84.92ms sd=1.56s ipdv=153.2ms
seq=62 rtt=2.01s rd=105.2ms sd=1.9s ipdv=362.3ms
seq=63 rtt=1.86s rd=129.6ms sd=1.73s ipdv=145.2ms
seq=64 rtt=2.18s rd=110.7ms sd=2.07s ipdv=319.9ms
seq=65 rtt=2.01s rd=88.95ms sd=1.92s ipdv=169ms
seq=66 rtt=2.31s rd=54.63ms sd=2.26s ipdv=301.3ms
seq=67 rtt=2.18s rd=97.92ms sd=2.09s ipdv=131ms
seq=68 rtt=2.16s rd=45.68ms sd=2.11s ipdv=26.1ms
seq=69 rtt=2.35s rd=142.9ms sd=2.21s ipdv=192.3ms
seq=70 rtt=2.19s rd=127.1ms sd=2.06s ipdv=164.3ms
seq=71 rtt=2.46s rd=55.59ms sd=2.4s ipdv=273.5ms
seq=72 rtt=2.29s rd=63.57ms sd=2.23s ipdv=165.1ms
seq=73 rtt=2.73s rd=123.4ms sd=2.61s ipdv=437.5ms
seq=74 rtt=2.55s rd=120.3ms sd=2.43s ipdv=183.2ms
seq=75 rtt=2.88s rd=105.6ms sd=2.78s ipdv=334.6ms
seq=76 rtt=2.71s rd=95.48ms sd=2.62s ipdv=170.1ms
seq=77 rtt=2.81s rd=149.5ms sd=2.66s ipdv=99.7ms
seq=78 rtt=2.61s rd=149.5ms sd=2.46s ipdv=200.3ms
seq=79 rtt=2.41s rd=149.5ms sd=2.26s ipdv=200.2ms
seq=80 rtt=2.21s rd=122.2ms sd=2.09s ipdv=199.4ms
seq=81 rtt=2.29s rd=106ms sd=2.18s ipdv=75.65ms
seq=82 rtt=2.63s rd=71.31ms sd=2.56s ipdv=345.5ms
seq=83 rtt=2.5s rd=105ms sd=2.39s ipdv=138.4ms
seq=84 rtt=2.88s rd=99.26ms sd=2.78s ipdv=383.6ms
seq=85 rtt=2.74s rd=109.2ms sd=2.63s ipdv=138.5ms
seq=86 rtt=3.02s rd=52.96ms sd=2.96s ipdv=277ms
seq=87 rtt=2.9s rd=104.2ms sd=2.79s ipdv=122.5ms
seq=88 rtt=2.7s rd=104ms sd=2.59s ipdv=199.3ms
seq=89 rtt=3.04s rd=112.1ms sd=2.93s ipdv=343.7ms
seq=90 rtt=2.87s rd=101.1ms sd=2.77s ipdv=170.3ms
seq=91 rtt=2.86s rd=57.15ms sd=2.8s ipdv=8.7ms
seq=92 rtt=2.66s rd=57.13ms sd=2.6s ipdv=199.9ms
seq=93 rtt=2.52s rd=97.97ms sd=2.43s ipdv=135.8ms
seq=94 rtt=2.59s rd=98.22ms sd=2.49s ipdv=64.2ms
seq=95 rtt=2.42s rd=102.6ms sd=2.32s ipdv=168.5ms
seq=96 rtt=2.22s rd=102.6ms sd=2.12s ipdv=200.2ms
seq=97 rtt=2.57s rd=102.4ms sd=2.47s ipdv=349.3ms
seq=98 rtt=2.4s rd=101.8ms sd=2.3s ipdv=165ms
seq=99 rtt=2.78s rd=98.99ms sd=2.68s ipdv=372.8ms
seq=100 rtt=2.59s rd=87.06ms sd=2.5s ipdv=185.7ms
seq=101 rtt=2.59s rd=47.15ms sd=2.54s ipdv=2.15ms
seq=102 rtt=2.39s rd=47.12ms sd=2.34s ipdv=199ms
seq=103 rtt=2.19s rd=47.1ms sd=2.14s ipdv=200.5ms
seq=104 rtt=2.37s rd=111.9ms sd=2.26s ipdv=181.1ms
seq=105 rtt=2.2s rd=106ms sd=2.1s ipdv=169.4ms
seq=106 rtt=2.49s rd=57.29ms sd=2.44s ipdv=292ms
seq=107 rtt=2.34s rd=68.22ms sd=2.27s ipdv=156.4ms
seq=108 rtt=2.72s rd=99.88ms sd=2.62s ipdv=380.4ms
seq=109 rtt=2.58s rd=127.4ms sd=2.45s ipdv=135.9ms
seq=110 rtt=2.58s rd=75.36ms sd=2.5s ipdv=4.4ms
seq=111 rtt=2.38s rd=75.37ms sd=2.3s ipdv=200.4ms
seq=112 rtt=2.18s rd=75.35ms sd=2.1s ipdv=199.5ms
seq=113 rtt=2.28s rd=57.04ms sd=2.22s ipdv=100.6ms
seq=114 rtt=2.12s rd=86.66ms sd=2.04s ipdv=155.7ms
seq=115 rtt=2.49s rd=67.56ms sd=2.42s ipdv=363.5ms
seq=116 rtt=2.32s rd=59.33ms sd=2.26s ipdv=165.7ms
seq=117 rtt=2.68s rd=76.69ms sd=2.6s ipdv=358.8ms
seq=118 rtt=2.55s rd=102.7ms sd=2.44s ipdv=133.1ms
seq=119 rtt=2.53s rd=46.55ms sd=2.48s ipdv=15.45ms
seq=120 rtt=2.33s rd=46.52ms sd=2.28s ipdv=200.4ms
seq=121 rtt=2.5s rd=115.3ms sd=2.39s ipdv=174.5ms
seq=122 rtt=2.34s rd=111.2ms sd=2.23s ipdv=168.1ms
seq=123 rtt=2.14s rd=111.2ms sd=2.03s ipdv=199.8ms
seq=124 rtt=2.49s rd=81.91ms sd=2.4s ipdv=349.8ms
seq=125 rtt=2.32s rd=90.25ms sd=2.23s ipdv=167.8ms
seq=126 rtt=2.71s rd=119.5ms sd=2.59s ipdv=388.8ms
seq=127 rtt=2.53s rd=113.3ms sd=2.42s ipdv=173.2ms
seq=128 rtt=2.79s rd=51.13ms sd=2.74s ipdv=259.3ms
seq=129 rtt=2.66s rd=80.63ms sd=2.58s ipdv=134.2ms
seq=130 rtt=2.65s rd=43.42ms sd=2.6s ipdv=12.7ms
seq=131 rtt=2.45s rd=43.45ms sd=2.4s ipdv=200ms
seq=132 rtt=2.25s rd=43.44ms sd=2.2s ipdv=200ms
seq=133 rtt=2.4s rd=101.8ms sd=2.29s ipdv=149.7ms
seq=134 rtt=2.25s rd=113ms sd=2.13s ipdv=151.3ms
seq=135 rtt=2.55s rd=69.29ms sd=2.48s ipdv=308.3ms
seq=136 rtt=2.39s rd=69.87ms sd=2.32s ipdv=166.1ms
seq=137 rtt=2.79s rd=116.3ms sd=2.67s ipdv=401.2ms
seq=138 rtt=2.66s rd=167.3ms sd=2.49s ipdv=128.8ms
seq=139 rtt=2.63s rd=83.73ms sd=2.55s ipdv=26.3ms
seq=140 rtt=2.43s rd=83.71ms sd=2.35s ipdv=200.6ms
seq=141 rtt=2.23s rd=83.75ms sd=2.15s ipdv=199.4ms
seq=142 rtt=2.32s rd=74.49ms sd=2.24s ipdv=81.7ms
seq=143 rtt=2.17s rd=45.26ms sd=2.12s ipdv=149.4ms
seq=144 rtt=2.55s rd=114.2ms sd=2.43s ipdv=379.3ms
seq=145 rtt=2.42s rd=163.9ms sd=2.25s ipdv=129.4ms
seq=146 rtt=2.73s rd=93.27ms sd=2.63s ipdv=311.6ms
seq=147 rtt=2.57s rd=101.4ms sd=2.46s ipdv=162.3ms
seq=148 rtt=2.94s rd=109.2ms sd=2.83s ipdv=372.5ms
seq=149 rtt=2.77s rd=118.9ms sd=2.65s ipdv=172.2ms
seq=150 rtt=2.78s rd=77.6ms sd=2.7s ipdv=13.95ms
seq=151 rtt=2.58s rd=77.62ms sd=2.5s ipdv=200.1ms
seq=152 rtt=2.38s rd=77.6ms sd=2.3s ipdv=199.7ms
seq=153 rtt=2.18s rd=77.58ms sd=2.1s ipdv=200ms
seq=154 rtt=2.28s rd=114.3ms sd=2.17s ipdv=100.1ms
seq=155 rtt=2.1s rd=108.6ms sd=1.99s ipdv=177.9ms
seq=156 rtt=2.13s rd=84.62ms sd=2.05s ipdv=30.8ms
seq=157 rtt=2.24s rd=158.9ms sd=2.08s ipdv=102.5ms
seq=158 rtt=2.03s rd=127ms sd=1.91s ipdv=200.7ms
seq=159 rtt=1.89s rd=142.1ms sd=1.74s ipdv=148.7ms
seq=160 rtt=2.15s rd=85.04ms sd=2.06s ipdv=259.5ms
seq=161 rtt=1.98s rd=87.08ms sd=1.89s ipdv=169.1ms
seq=162 rtt=2.08s rd=152.1ms sd=1.93s ipdv=104.4ms
seq=163 rtt=3.31s rd=131.4ms sd=3.18s ipdv=1.23s
seq=164 rtt=3.11s rd=131.4ms sd=2.98s ipdv=199.2ms
seq=165 rtt=2.91s rd=131.4ms sd=2.78s ipdv=200.4ms
seq=166 rtt=2.71s rd=131.4ms sd=2.58s ipdv=200.3ms
seq=167 rtt=2.51s rd=131.3ms sd=2.38s ipdv=200.2ms
seq=168 rtt=2.37s rd=150.2ms sd=2.22s ipdv=142.6ms
seq=169 rtt=2.38s rd=86.9ms sd=2.29s ipdv=11.75ms
seq=170 rtt=2.21s rd=89.76ms sd=2.12s ipdv=170.6ms
seq=171 rtt=2.31s rd=150.3ms sd=2.16s ipdv=99.75ms
seq=172 rtt=2.11s rd=134.4ms sd=1.98s ipdv=200.4ms
seq=173 rtt=1.94s rd=118.8ms sd=1.82s ipdv=171.7ms
seq=174 rtt=2.29s rd=103.1ms sd=2.18s ipdv=346.8ms
seq=175 rtt=2.12s rd=90.52ms sd=2.03s ipdv=163.6ms
seq=176 rtt=2.21s rd=104.5ms sd=2.1s ipdv=84.5ms
seq=177 rtt=2.24s rd=119.8ms sd=2.12s ipdv=29.85ms
seq=178 rtt=2.04s rd=85.15ms sd=1.95s ipdv=199.3ms
seq=179 rtt=1.88s rd=85.82ms sd=1.79s ipdv=157.1ms
seq=180 rtt=2.21s rd=87.63ms sd=2.12s ipdv=332.4ms
seq=181 rtt=2.06s rd=88.13ms sd=1.97s ipdv=153.4ms
seq=182 rtt=2.09s rd=82.94ms sd=2.01s ipdv=29.85ms
seq=183 rtt=2.15s rd=63.57ms sd=2.09s ipdv=60.35ms
seq=184 rtt=2.02s rd=105ms sd=1.92s ipdv=127.2ms
seq=185 rtt=2.03s rd=77.44ms sd=1.95s ipdv=7.1ms
seq=186 rtt=2.14s rd=84.16ms sd=2.06s ipdv=111.9ms
seq=187 rtt=2.02s rd=112.1ms sd=1.91s ipdv=122ms
seq=188 rtt=2.36s rd=120.5ms sd=2.23s ipdv=336.7ms
seq=189 rtt=2.19s rd=130.6ms sd=2.06s ipdv=162.7ms
seq=190 rtt=2.15s rd=45.95ms sd=2.11s ipdv=41.06ms
seq=191 rtt=2.02s rd=86.97ms sd=1.93s ipdv=135.6ms
seq=192 rtt=2.1s rd=98.36ms sd=2s ipdv=83.3ms
