Data plane is up
Running irtt
UE IP is 10.45.0.4
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=485.5ms rd=83.87ms sd=401.6ms ipdv=n/a
seq=1 rtt=342.2ms rd=121.1ms sd=221.1ms ipdv=143.3ms
seq=2 rtt=611.6ms rd=90.12ms sd=521.4ms ipdv=269.4ms
seq=3 rtt=456ms rd=90.61ms sd=365.4ms ipdv=155.6ms
seq=4 rtt=772.7ms rd=64.44ms sd=708.3ms ipdv=316.7ms
seq=5 rtt=635.9ms rd=94.17ms sd=541.7ms ipdv=136.8ms
seq=6 rtt=910.8ms rd=52.97ms sd=857.8ms ipdv=274.9ms
seq=7 rtt=756.6ms rd=72.25ms sd=684.3ms ipdv=154.2ms
seq=8 rtt=1.11s rd=114.1ms sd=996.4ms ipdv=354ms
seq=9 rtt=964.2ms rd=115.5ms sd=848.7ms ipdv=146.4ms
seq=10 rtt=1.24s rd=57.69ms sd=1.18s ipdv=275.7ms
seq=11 rtt=1.07s rd=58.51ms sd=1.02s ipdv=165.5ms
seq=12 rtt=1.13s rd=71.61ms sd=1.06s ipdv=56.25ms
seq=13 rtt=1.28s rd=135.2ms sd=1.14s ipdv=148.7ms
seq=14 rtt=1.11s rd=129.6ms sd=979.7ms ipdv=170.1ms
seq=15 rtt=1.41s rd=78.2ms sd=1.33s ipdv=301.1ms
seq=16 rtt=1.26s rd=86.46ms sd=1.17s ipdv=151.9ms
seq=17 rtt=1.6s rd=89.11ms sd=1.51s ipdv=340.9ms
seq=18 rtt=1.44s rd=98.26ms sd=1.35s ipdv=155.9ms
seq=19 rtt=1.77s rd=80.69ms sd=1.69s ipdv=323.6ms
seq=20 rtt=1.61s rd=97.02ms sd=1.51s ipdv=160ms
seq=21 rtt=1.41s rd=97.05ms sd=1.31s ipdv=200.3ms
seq=22 rtt=1.77s rd=133.3ms sd=1.64s ipdv=363.5ms
seq=23 rtt=1.63s rd=153.5ms sd=1.47s ipdv=143.1ms
seq=24 rtt=1.88s rd=64.2ms sd=1.81s ipdv=251.9ms
seq=25 rtt=1.72s rd=76.72ms sd=1.64s ipdv=159.3ms
seq=26 rtt=1.8s rd=107.7ms sd=1.69s ipdv=79.4ms
seq=27 rtt=3.08s rd=145.6ms sd=2.93s ipdv=1.28s
seq=28 rtt=2.88s rd=145.7ms sd=2.73s ipdv=200.5ms
seq=29 rtt=2.68s rd=145.6ms sd=2.53s ipdv=200.4ms
seq=30 rtt=2.48s rd=145.6ms sd=2.33s ipdv=199.3ms
seq=31 rtt=2.46s rd=29.12ms sd=2.43s ipdv=20.7ms
seq=32 rtt=2.69s rd=142.3ms sd=2.55s ipdv=229.2ms
seq=33 rtt=2.51s rd=122.1ms sd=2.39s ipdv=176.8ms
seq=34 rtt=2.83s rd=101.1ms sd=2.73s ipdv=323.1ms
seq=35 rtt=2.67s rd=112.1ms sd=2.55s ipdv=168.2ms
seq=36 rtt=2.71s rd=93.21ms sd=2.62s ipdv=44.15ms
seq=37 rtt=2.51s rd=93.19ms sd=2.42s ipdv=200.4ms
seq=38 rtt=2.63s rd=95.01ms sd=2.53s ipdv=116.7ms
seq=39 rtt=2.45s rd=79.12ms sd=2.37s ipdv=173ms
seq=40 rtt=2.81s rd=60.65ms sd=2.75s ipdv=354.6ms
seq=41 rtt=2.68s rd=115.8ms sd=2.56s ipdv=127.7ms
seq=42 rtt=2.66s rd=56.91ms sd=2.61s ipdv=16ms
seq=43 rtt=2.46s rd=56.89ms sd=2.41s ipdv=199.6ms
seq=44 rtt=2.56s rd=62.16ms sd=2.5s ipdv=94.5ms
seq=45 rtt=2.36s rd=62.17ms sd=2.3s ipdv=199.2ms
seq=46 rtt=2.22s rd=79.16ms sd=2.14s ipdv=142.9ms
seq=47 rtt=2.57s rd=118.6ms sd=2.46s ipdv=357.2ms
seq=48 rtt=2.41s rd=115.9ms sd=2.29s ipdv=167.7ms
seq=49 rtt=2.39s rd=41.13ms sd=2.35s ipdv=20.15ms
seq=50 rtt=2.19s rd=41.12ms sd=2.15s ipdv=200.5ms
seq=51 rtt=2.33s rd=90.36ms sd=2.24s ipdv=144.6ms
seq=52 rtt=2.16s rd=83.3ms sd=2.08s ipdv=171.9ms
seq=53 rtt=2.5s rd=104.3ms sd=2.4s ipdv=344ms
seq=54 rtt=2.33s rd=79.02ms sd=2.25s ipdv=174.5ms
seq=55 rtt=2.65s rd=89.2ms sd=2.56s ipdv=320ms
seq=56 rtt=2.45s rd=89.16ms sd=2.36s ipdv=199.3ms
seq=57 rtt=2.29s rd=81.6ms sd=2.21s ipdv=161.9ms
seq=58 rtt=2.63s rd=47.71ms sd=2.58s ipdv=342ms
seq=59 rtt=2.7s rd=80.25ms sd=2.62s ipdv=70.9ms
seq=60 rtt=2.5s rd=80.28ms sd=2.42s ipdv=199.9ms
seq=61 rtt=2.62s rd=92.07ms sd=2.53s ipdv=121.9ms
seq=62 rtt=2.42s rd=92.05ms sd=2.33s ipdv=200.4ms
seq=63 rtt=2.27s rd=105.6ms sd=2.16s ipdv=156ms
seq=64 rtt=2.61s rd=67.26ms sd=2.54s ipdv=341.5ms
seq=65 rtt=2.45s rd=81.53ms sd=2.37s ipdv=154.6ms
seq=66 rtt=2.78s rd=68.53ms sd=2.71s ipdv=329.2ms
seq=67 rtt=2.66s rd=111.7ms sd=2.54s ipdv=126.5ms
seq=68 rtt=2.63s rd=38.81ms sd=2.59s ipdv=25.35ms
seq=69 rtt=2.43s rd=38.84ms sd=2.39s ipdv=200.7ms
seq=70 rtt=2.57s rd=90.17ms sd=2.48s ipdv=144.9ms
