[ec2-user@ip-172-31-40-4 ~]$ cat m7i-flex.2xlarge.log
# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
1820          0         1         0        68         0         1         2
1830          0         0         3        58         0         0         0
1840          0         2         0        85         0         2         3
1850          0         1         1        76         0         1         0
1860          1         0         1        70         1         0         1
1870          0         0         0        68         0         0         0
1880          0         0         0        67         0         1         1
1890          0         1         2        70         3         0         0
1900          2         0         1        76         0         1         1
1910          0         1         0        67         0         1         0
1920          1         3         0        76         1         2         1
1930          0         1         1        61         0         1         0
1940          0         0         1        73         0         0         1
1950          0         2         0       101         0         1         0
1960          0         0         0       127         0         1         0
1970          0         0         0       228         0         0         0
1980          0         0         1       456         0         0         1
1990          0         0         1       500         0         0         1
2000          0         0         2       197         0         0         1
2010          0         1         0        73         0         0         1
2020          1         0         2        64         0         1         2
2030          1         2         0        67         2         3         0
2040          0         2         0        56         1         1         0
2050          2         0         0        40         0         0         0
2060          0         0         0        54         1         0         0
2070          0         0         0        46         0         1         0
2080          0         2         0        46         1         1         0
2090          1         0         0        33         0         0         0
2100          0         0         0        42         0         0         2
2110          0         0         2        42         0         0         0
2120          1         0         1        37         0         0         1
2130          0         0         0        42         2         0         0
2140          0         0         1        34         0         0         0
2150          0         0         0        38         0         0         0
2160          0         0         2        35         0         0         0
2170          1         0         2        43         1         0         2
2180          0         0         0        40         0         0         1
2190          0         1         1        34         0         1         1
2200          1         0         0        32         1         0         1
2210          0         0         1        24         0         0         0
2220          1         0         0        25         1         0         0
2230          0         0         0        27         1         0         0
2240          1         0         2        26         0         0         2
2250          0         0         0        32         1         0         0
2260          1         0         0        36         0         0         0
2270          1         0         0        27         2         0         0
2280          2         0         0        40         0         1         0
2290          1         1         0        28         2         0         0
2300          0         0         1        27         0         0         1
2310          0         1         0        26         0         0         0
2320          0         0         0        32         1         1         0
2330          1         0         0        22         0         0         0
2340          0         0         0        24         0         0         1
2350          0         0         1        20         0         0         0
2360          0         0         0        28         0         0         0
2370          0         0         1        30         0         0         1
2380          0         0         0        28         0         0         0
2390          0         0         0        29         0         0         0
2400          0         0         0        29         0         0         0
2410          0         1         0        33         0         0         0
2420          1         1         0        23         1         2         0
2430          0         0         0        26         0         0         0
2440          0         0         0        23         0         0         0
2450          1         0         0        24         0         0         0
2460          0         0         1        19         1         1         1
2470          0         2         0        35         0         0         0
2480          0         0         0        14         0         1         0
2490          1         0         0        20         1         0         0
2500          0         1         0        24         0         1         0
2510          0         0         0        28         0         0         0
2520          1         0         0        26         1         0         0
2530          0         0         0        31         0         0         0
2540          0         0         1        23         0         0         1
2550          0         0         0        24         0         0         0
2560          0         0         0        24         0         0         0
2570          0         1         0        28         0         0         0
2580          0         0         0        35         0         1         0
2590          1         0         0        25         1         0         0
2600          0         0         0        13         0         0         0
2610          0         0         0        24         0         0         0
2620          1         0         0        17         0         0         0
2630          0         0         0        18         1         0         1
