# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
150         122       101        89       107       105       101       108 
151         125        95        79        73       118        98        82 
152          87        92       106        62       109       104        97 
153          79        95        87        81        92        83        91 
154          82        76        89        96       106       102        82 
155         108        76        63        68        83        99        84 
156          92        85        83        68        91        94        98 
157          92        84        74        69        58        82        85 
158          80        86        71        64        92        79        69 
159          84        79        91        67        79        83        85 
160          74        64        74        71        77        74        61 
161          64        73        74        79        80        73        69 
162          73        77        75        63        77        65        80 
163          73        65        66        62        68        76        90 
164          84        65        62        63        67        75        90 
165          81        64        67        45        66        62        58 
166          48        77        64        74        54        58        99 
167          56        77        73        63        81        52        64 
168          59        83        60        53        48        69        77 
169          60        63        51        46        51        49        63 
170          65        55        47        56        54        69        60 
171          70        65        63        49        69        68        61 
172          60        45        50        50        45        60        65 
173          55        45        53        58        43        59        62 
174          50        48        47        53        47        49        50 
175          66        55        47        51        61        45        57 
176          69        59        51        41        51        39        48 
177          44        46        48        50        53        51        49 
178          51        55        54        34        52        53        35 
179          47        51        54         0         0        62        54 
180          47        38        39        39        50        34        49 
181          54        39        45        31        46        50        44 
182          48        35        46        41        50        47        38 
183          38        42        35        41        44        43        46 
184          45        39        33        46        38        52        51 
185          45        46        29        30        44        45        52 
186           0        41        50        46        49        48        36 
187          49        39        45        43        36        45        56 
188          47        37        52        46        37        38        29 
189          47        37        41        32        38        39        32 
190          34        48        37        38        41        47        43 
191          22        47         0        28        35        38        35 
192          32        31         0        25        41        43        38 
193          35        49        29        36        26        23        50 
194          32        40        29        26        51        32        31 
195          36        29        33        33        35        40        31 
196          41        37        38        28        35        42        36 
197          38        35        42        36        33         0        32 
198          30        30        19        33        35        34        33 
199          41         0        32         0        48        30        32 
200          35        23        25        22        37        25        39 
201          23         0        35        25        32        30        42 
202           0        35        34        33        35         0        33 
203          36        24        23        27        24        29        30 
204          31        23        40        25        26        26        33 
205          33        25        36         0        32        18        37 
206          29        29        26        24        31        38        22 
207          29        20        33         0        28        23         0 
208           0        17        29        37        29         0        36 
209          33        29        24        28        35        21        28 
210          26        34        21         0        34         0        30 
211          20        20        23        28        19        41        31 
212          27        25        23        17        22        32        28 
213          33        20        32        24        17        20         0 
214          39        25        28        21         0        24        26 
215          32        22        22        19        28        29        22 
216          23        24        14        27        32        21        20 
217          25        23         0        23        35        29         0 
218           0        24        20        16        18        21        31 
219          17        27        17        26        26        14        25 
220          18        21        27        13        20        21        26 
221          27         0         9        19        22         0        23 
222          19        26        17        10         0         0         0 
223          19        25        19        10        23         0        24 
224          19        20        15        28        19         0         0 
225          15        20        21        24         0        23        21 
226           0         0        23        16        13        24        20 
227          25         0        11         0        22        15        24 
228           0        17        24        16         0        17        21 
229          17        20         0        17         0        25        25 
230          16        18        22         0         0         0        16 
231           0         0         0        11        12        14        29 
232          21        17        12        12        21         0        18 
233           0        21        12        16        14        18        18 
234           0        15        17        17        15        20        18 
235           0        14        21        12         0        23        15 
236           0         0        24        15        22         0        23 
237           9         0        11        13        18        12        11 
238          21         0         0        15        21         8        16 
239           0        13         0         0         0        13        16 
240          16        15        14         0        10         0        14 
241           0        15         0         0         0        19         0 
242          18        14         0         0         0         0         0 
243          15        14        16         0        13        14        16 
244          17         0        14        10         0         9        22 
245          13        10         0        11         0        10         0 
246          16        15         0         9        15        12         0 
247           0         9         9         0        12         0        11 
248          12        14         0        10        10        10        11 
249          15         0        17        11         0        16        11 
250          12        15         0         0        14        10         0 
251          14        11         0         0         6         9        13 
252          14         0         0         0         0         5         0 
253           0         0        10         0        19         8        21 
254           0        12         0         9        15        11         0 
255           8         6         0         0         0         8         0 
256           9        11         0         5        16        15         0 
257           0         0        13         0         0        11        11 
258           0        10         9        14        13        14         0 
259           8         0         0         0        13         0        12 
260           9         0         0         9         0         0        16 
261           0         0        12         7         0         0        10 
262           0        15         8         0         0        10        11 
263           8         9         0        10         8        14        14 
264          10        12        14         0         7         7         0 
265           6         5         0         8         0        10         0 
266           0         0         0         8        13         0         3 
267           0         7         0         7        11        13        15 
268           8         0        10         7         0         0        11 
269           0        12         0         6         0         0         6 
270           0         9        12         0         0         8         0 
271           0         8         0        11         0         0         0 
272           0         5         9         9         0         7        10 
273           7        10         7         0         0         6        10 
274           0        13         3         9         0         0        11 
275           0         0         0         9         7         0        12 
276           0         0         5         0         8        10         8 
277           5         0         8         0         0        12         4 
278           9         9        10         0         0         8         0 
279           0         0         0        10         6         9         0 
