Data plane is up
Running irtt
UE IP is 10.45.0.11
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=21.2ms rd=-12m44s sd=12m44s ipdv=n/a
seq=1 rtt=9.54ms rd=-12m49s sd=12m49s ipdv=11.66ms
seq=2 rtt=17.05ms rd=-12m53s sd=12m53s ipdv=7.52ms
seq=3 rtt=25.44ms rd=-12m58s sd=12m58s ipdv=8.39ms
seq=4 rtt=13.28ms rd=-13m3s sd=13m3s ipdv=12.16ms
seq=5 rtt=22.66ms rd=-13m8s sd=13m8s ipdv=9.39ms
seq=6 rtt=10.6ms rd=-13m12s sd=13m12s ipdv=12.07ms
seq=7 rtt=18.41ms rd=-13m17s sd=13m17s ipdv=7.82ms
seq=8 rtt=27.41ms rd=-13m22s sd=13m22s ipdv=9ms
seq=9 rtt=15.09ms rd=-13m26s sd=13m27s ipdv=12.32ms
seq=10 rtt=24.33ms rd=-13m31s sd=13m31s ipdv=9.24ms
seq=11 rtt=11.46ms rd=-13m36s sd=13m36s ipdv=12.88ms
seq=12 rtt=20.53ms rd=-13m41s sd=13m41s ipdv=9.08ms
seq=13 rtt=9.39ms rd=-13m45s sd=13m45s ipdv=11.14ms
seq=14 rtt=17.46ms rd=-13m50s sd=13m50s ipdv=8.07ms
seq=15 rtt=26.5ms rd=-13m55s sd=13m55s ipdv=9.04ms
seq=16 rtt=13.47ms rd=-14m0s sd=14m0s ipdv=13.04ms
seq=17 rtt=22.25ms rd=-14m5s sd=14m5s ipdv=8.79ms
seq=18 rtt=10.3ms rd=-14m9s sd=14m9s ipdv=11.96ms
seq=19 rtt=19.13ms rd=-14m14s sd=14m14s ipdv=8.84ms
seq=20 rtt=27.41ms rd=-14m19s sd=14m19s ipdv=8.28ms
seq=21 rtt=14.99ms rd=-14m23s sd=14m23s ipdv=12.43ms
seq=22 rtt=24.73ms rd=-14m28s sd=14m28s ipdv=9.74ms
seq=23 rtt=11.87ms rd=-14m33s sd=14m33s ipdv=12.86ms
seq=24 rtt=20.49ms rd=-14m38s sd=14m38s ipdv=8.62ms
seq=25 rtt=9.53ms rd=-14m42s sd=14m42s ipdv=10.96ms
seq=26 rtt=17.2ms rd=-14m47s sd=14m47s ipdv=7.67ms
seq=27 rtt=25.28ms rd=-14m52s sd=14m52s ipdv=8.08ms
seq=28 rtt=13.02ms rd=-14m56s sd=14m56s ipdv=12.26ms
seq=29 rtt=22.46ms rd=-15m1s sd=15m1s ipdv=9.43ms
seq=30 rtt=10.03ms rd=-15m6s sd=15m6s ipdv=12.42ms
seq=31 rtt=17.91ms rd=-15m10s sd=15m10s ipdv=7.88ms
seq=32 rtt=27.41ms rd=-15m15s sd=15m15s ipdv=9.5ms
seq=33 rtt=14.28ms rd=-15m20s sd=15m20s ipdv=13.13ms
seq=34 rtt=23.64ms rd=-15m24s sd=15m24s ipdv=9.35ms
seq=35 rtt=10.6ms rd=-15m28s sd=15m28s ipdv=13.04ms
seq=36 rtt=20.04ms rd=-15m33s sd=15m33s ipdv=9.44ms
seq=37 rtt=8.48ms rd=-15m38s sd=15m38s ipdv=11.56ms
seq=38 rtt=16.65ms rd=-15m42s sd=15m42s ipdv=8.17ms
seq=39 rtt=25.44ms rd=-15m47s sd=15m47s ipdv=8.78ms
seq=40 rtt=12.36ms rd=-15m52s sd=15m52s ipdv=13.08ms
seq=41 rtt=21.19ms rd=-15m57s sd=15m57s ipdv=8.84ms
seq=42 rtt=9.54ms rd=-16m1s sd=16m1s ipdv=11.65ms
seq=43 rtt=18.07ms rd=-16m6s sd=16m6s ipdv=8.53ms
seq=44 rtt=26.4ms rd=-16m11s sd=16m11s ipdv=8.33ms
seq=45 rtt=14.43ms rd=-16m15s sd=16m15s ipdv=11.97ms
seq=46 rtt=22.66ms rd=-16m20s sd=16m20s ipdv=8.23ms
seq=47 rtt=10.09ms rd=-16m25s sd=16m25s ipdv=12.56ms
seq=48 rtt=19.58ms rd=-16m29s sd=16m29s ipdv=9.49ms
seq=49 rtt=27.56ms rd=-16m34s sd=16m34s ipdv=7.98ms
seq=50 rtt=16.05ms rd=-16m39s sd=16m39s ipdv=11.51ms
seq=51 rtt=24.37ms rd=-16m43s sd=16m43s ipdv=8.33ms
seq=52 rtt=11.59ms rd=-16m47s sd=16m47s ipdv=12.79ms
seq=53 rtt=19.06ms rd=-16m51s sd=16m51s ipdv=7.47ms
seq=54 rtt=25.76ms rd=-16m54s sd=16m54s ipdv=6.7ms
seq=55 rtt=11.51ms rd=-16m57s sd=16m57s ipdv=14.24ms
seq=56 rtt=19.01ms rd=-17m0s sd=17m0s ipdv=7.49ms
seq=57 rtt=26.54ms rd=-17m3s sd=17m3s ipdv=7.54ms
seq=58 rtt=12.04ms rd=-17m6s sd=17m6s ipdv=14.51ms
seq=59 rtt=19.82ms rd=-17m10s sd=17m10s ipdv=7.79ms
seq=60 rtt=26.89ms rd=-17m13s sd=17m13s ipdv=7.06ms
seq=61 rtt=12.67ms rd=-17m16s sd=17m16s ipdv=14.22ms
seq=62 rtt=20.06ms rd=-17m19s sd=17m19s ipdv=7.39ms
seq=63 rtt=26.37ms rd=-17m22s sd=17m22s ipdv=6.31ms
seq=64 rtt=13.8ms rd=-17m25s sd=17m25s ipdv=12.58ms
seq=65 rtt=20.93ms rd=-17m28s sd=17m28s ipdv=7.13ms
seq=66 rtt=123.9ms rd=-17m31s sd=17m31s ipdv=103ms
seq=67 rtt=13.52ms rd=-17m34s sd=17m34s ipdv=110.4ms
seq=68 rtt=21.15ms rd=-17m37s sd=17m37s ipdv=7.63ms
seq=69 rtt=27.53ms rd=-17m41s sd=17m41s ipdv=6.38ms
seq=70 rtt=13.75ms rd=-17m44s sd=17m44s ipdv=13.78ms
seq=71 rtt=20.83ms rd=-17m47s sd=17m47s ipdv=7.08ms
seq=72 rtt=8.59ms rd=-17m50s sd=17m50s ipdv=12.24ms
seq=73 rtt=13.47ms rd=-17m53s sd=17m53s ipdv=4.88ms
seq=74 rtt=21.12ms rd=-17m56s sd=17m56s ipdv=7.65ms
seq=75 rtt=26.62ms rd=-17m59s sd=17m59s ipdv=5.5ms
seq=76 rtt=13.54ms rd=-18m2s sd=18m2s ipdv=13.08ms
seq=77 rtt=21.13ms rd=-18m5s sd=18m5s ipdv=7.58ms
seq=78 rtt=124.7ms rd=-18m8s sd=18m8s ipdv=103.5ms
seq=79 rtt=14.4ms rd=-18m11s sd=18m11s ipdv=110.3ms
seq=80 rtt=21.62ms rd=-18m14s sd=18m14s ipdv=7.22ms
seq=81 rtt=27.48ms rd=-18m17s sd=18m17s ipdv=5.86ms
seq=82 rtt=14.75ms rd=-18m20s sd=18m20s ipdv=12.73ms
seq=83 rtt=21.78ms rd=-18m23s sd=18m23s ipdv=7.03ms
seq=84 rtt=8.24ms rd=-18m26s sd=18m26s ipdv=13.54ms
seq=85 rtt=14.93ms rd=-18m29s sd=18m29s ipdv=6.69ms
seq=86 rtt=21.47ms rd=-18m32s sd=18m32s ipdv=6.53ms
seq=87 rtt=27.35ms rd=-18m35s sd=18m35s ipdv=5.88ms
seq=88 rtt=14.8ms rd=-18m38s sd=18m38s ipdv=12.55ms
seq=89 rtt=21.78ms rd=-18m41s sd=18m41s ipdv=6.98ms
seq=90 rtt=8.77ms rd=-18m44s sd=18m44s ipdv=13.01ms
seq=91 rtt=14.78ms rd=-18m47s sd=18m47s ipdv=6.01ms
seq=92 rtt=22.65ms rd=-18m50s sd=18m50s ipdv=7.87ms
seq=93 rtt=9.38ms rd=-18m53s sd=18m53s ipdv=13.27ms
seq=94 rtt=15.86ms rd=-18m56s sd=18m56s ipdv=6.48ms
seq=95 rtt=21.78ms rd=-18m59s sd=18m59s ipdv=5.92ms
seq=96 rtt=9.55ms rd=-19m2s sd=19m2s ipdv=12.23ms
seq=97 rtt=15.78ms rd=-19m6s sd=19m6s ipdv=6.23ms
seq=98 rtt=23ms rd=-19m9s sd=19m9s ipdv=7.22ms
