minute,x2ap,s1ap,rrc
0,3,2,7
1,6,4,14
2,6,4,14
3,9,6,21
4,6,4,14
5,6,4,14
6,6,4,14
7,0,0,0
8,3,2,7
9,6,4,14
10,3,2,7
11,6,4,14
12,6,4,14
13,9,6,21
14,3,2,7
