Data plane is up
Running irtt
UE IP is 10.45.0.20
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=1.11s rd=106.4ms sd=1s ipdv=n/a
seq=1 rtt=704.3ms rd=131.8ms sd=572.6ms ipdv=406.4ms
seq=2 rtt=1.23s rd=164ms sd=1.07s ipdv=528.2ms
seq=3 rtt=771ms rd=145ms sd=626.1ms ipdv=461.5ms
seq=4 rtt=1.34s rd=97.39ms sd=1.24s ipdv=570.4ms
seq=5 rtt=1.9s rd=76.86ms sd=1.82s ipdv=558.2ms
seq=6 rtt=1.46s rd=121.7ms sd=1.34s ipdv=437ms
seq=7 rtt=2.04s rd=115.2ms sd=1.93s ipdv=577.9ms
seq=8 rtt=1.54s rd=115.2ms sd=1.43s ipdv=499.5ms
seq=9 rtt=1.1s rd=85.74ms sd=1.02s ipdv=437.1ms
seq=10 rtt=1.67s rd=134ms sd=1.54s ipdv=570.8ms
seq=11 rtt=1.25s rd=152.3ms sd=1.1s ipdv=421.8ms
seq=12 rtt=1.88s rd=115.2ms sd=1.76s ipdv=624ms
seq=13 rtt=1.5s rd=164.7ms sd=1.34s ipdv=372.7ms
seq=14 rtt=4.28s rd=108.7ms sd=4.17s ipdv=2.77s
seq=15 rtt=3.78s rd=108.7ms sd=3.67s ipdv=500.3ms
seq=16 rtt=3.28s rd=108.7ms sd=3.17s ipdv=500.1ms
seq=17 rtt=2.78s rd=108.7ms sd=2.67s ipdv=500.3ms
seq=18 rtt=2.28s rd=108.7ms sd=2.17s ipdv=499.6ms
seq=19 rtt=1.87s rd=138.6ms sd=1.73s ipdv=410.5ms
seq=20 rtt=2.56s rd=110.1ms sd=2.45s ipdv=690.9ms
seq=21 rtt=3.21s rd=192.7ms sd=3.01s ipdv=649.4ms
seq=22 rtt=2.75s rd=154ms sd=2.59s ipdv=458ms
seq=23 rtt=2.25s rd=154ms sd=2.09s ipdv=499.8ms
seq=24 rtt=2.24s rd=175.4ms sd=2.07s ipdv=5.96ms
seq=25 rtt=2.36s rd=163.7ms sd=2.2s ipdv=118.7ms
seq=26 rtt=1.91s rd=89.94ms sd=1.82s ipdv=454.1ms
seq=27 rtt=2.5s rd=170.5ms sd=2.33s ipdv=590.4ms
seq=28 rtt=2.03s rd=99.85ms sd=1.93s ipdv=463.6ms
seq=29 rtt=2.64s rd=148ms sd=2.49s ipdv=604.5ms
seq=30 rtt=2.2s rd=124.6ms sd=2.08s ipdv=433.2ms
seq=31 rtt=2.85s rd=188.7ms sd=2.66s ipdv=643.9ms
seq=32 rtt=2.4s rd=165.9ms sd=2.23s ipdv=448.2ms
seq=33 rtt=1.9s rd=165.9ms sd=1.73s ipdv=500.6ms
seq=34 rtt=2.59s rd=240.9ms sd=2.35s ipdv=694.8ms
seq=35 rtt=2.11s rd=97.71ms sd=2.01s ipdv=488.1ms
seq=36 rtt=2.64s rd=124.8ms sd=2.52s ipdv=534.7ms
seq=37 rtt=2.22s rd=123.6ms sd=2.09s ipdv=424.5ms
seq=38 rtt=2.87s rd=140.8ms sd=2.73s ipdv=653.5ms
seq=39 rtt=2.44s rd=120.9ms sd=2.32s ipdv=430.8ms
seq=40 rtt=3.04s rd=149.9ms sd=2.89s ipdv=605.3ms
seq=41 rtt=2.62s rd=89.17ms sd=2.53s ipdv=426.3ms
seq=42 rtt=2.55s rd=58.47ms sd=2.49s ipdv=68.8ms
seq=43 rtt=2.22s rd=223.8ms sd=2s ipdv=330.3ms
seq=44 rtt=4.76s rd=177.4ms sd=4.58s ipdv=2.54s
seq=45 rtt=4.26s rd=177.4ms sd=4.08s ipdv=500.6ms
seq=46 rtt=3.76s rd=177.4ms sd=3.58s ipdv=499.7ms
seq=47 rtt=3.26s rd=177.4ms sd=3.08s ipdv=499.9ms
seq=48 rtt=2.82s rd=145.8ms sd=2.67s ipdv=444.5ms
seq=49 rtt=3.39s rd=123.6ms sd=3.27s ipdv=573ms
seq=50 rtt=2.95s rd=111.3ms sd=2.84s ipdv=437.4ms
seq=51 rtt=2.9s rd=108.3ms sd=2.79s ipdv=51.25ms
seq=52 rtt=2.4s rd=108.3ms sd=2.29s ipdv=500.6ms
seq=53 rtt=2.6s rd=138ms sd=2.46s ipdv=201.6ms
seq=54 rtt=2.17s rd=115.7ms sd=2.06s ipdv=429.4ms
seq=55 rtt=2.15s rd=141.5ms sd=2.01s ipdv=18.75ms
seq=56 rtt=2.24s rd=81.45ms sd=2.16s ipdv=87.95ms
seq=57 rtt=1.82s rd=116.3ms sd=1.7s ipdv=424.9ms
seq=58 rtt=6.07s rd=107.2ms sd=5.96s ipdv=4.25s
seq=59 rtt=5.57s rd=107.2ms sd=5.46s ipdv=500.4ms
seq=60 rtt=5.07s rd=107.2ms sd=4.96s ipdv=500ms
seq=61 rtt=4.57s rd=107.2ms sd=4.46s ipdv=499.5ms
seq=62 rtt=4.07s rd=107.2ms sd=3.96s ipdv=500.2ms
seq=65 rtt=2.99s rd=93.07ms sd=2.9s ipdv=n/a
seq=66 rtt=2.6s rd=164.4ms sd=2.44s ipdv=389ms
seq=67 rtt=2.74s rd=246.7ms sd=2.49s ipdv=135.8ms
seq=68 rtt=2.31s rd=225.4ms sd=2.08s ipdv=430.5ms
seq=69 rtt=1.86s rd=169.2ms sd=1.69s ipdv=447.4ms
seq=70 rtt=4.78s rd=140.8ms sd=4.64s ipdv=2.92s
seq=71 rtt=4.28s rd=140.7ms sd=4.14s ipdv=500.4ms
seq=72 rtt=3.78s rd=140.7ms sd=3.64s ipdv=499.8ms
seq=73 rtt=3.28s rd=140.7ms sd=3.14s ipdv=500.2ms
seq=74 rtt=2.84s rd=117.3ms sd=2.72s ipdv=439.1ms
seq=75 rtt=3.51s rd=140.2ms sd=3.37s ipdv=666.1ms
seq=76 rtt=3.07s rd=121.7ms sd=2.95s ipdv=440.5ms
seq=77 rtt=2.57s rd=121.7ms sd=2.45s ipdv=499.6ms
seq=78 rtt=2.66s rd=157.4ms sd=2.5s ipdv=89.64ms
seq=79 rtt=2.76s rd=233.3ms sd=2.53s ipdv=102.6ms
seq=80 rtt=2.32s rd=203.4ms sd=2.12s ipdv=438.9ms
seq=81 rtt=1.86s rd=179.4ms sd=1.68s ipdv=463.8ms
seq=82 rtt=4.91s rd=168.1ms sd=4.75s ipdv=3.06s
seq=83 rtt=4.41s rd=168.1ms sd=4.25s ipdv=500.8ms
seq=84 rtt=3.91s rd=168.1ms sd=3.75s ipdv=499.2ms
seq=85 rtt=3.42s rd=167.9ms sd=3.25s ipdv=499.4ms
seq=86 rtt=2.91s rd=167.9ms sd=2.75s ipdv=500.6ms
seq=87 rtt=2.47s rd=145ms sd=2.33s ipdv=441.3ms
seq=88 rtt=3.06s rd=124.7ms sd=2.94s ipdv=586.4ms
seq=89 rtt=2.63s rd=123.5ms sd=2.51s ipdv=425.4ms
seq=90 rtt=3.33s rd=170.5ms sd=3.16s ipdv=695.5ms
seq=91 rtt=2.83s rd=170.4ms sd=2.66s ipdv=499.6ms
seq=92 rtt=2.35s rd=103.9ms sd=2.25s ipdv=477.9ms
seq=93 rtt=2.95s rd=130.2ms sd=2.82s ipdv=594.6ms
seq=94 rtt=2.51s rd=119.4ms sd=2.4s ipdv=432.4ms
seq=95 rtt=3.17s rd=78.9ms sd=3.09s ipdv=657.1ms
seq=96 rtt=2.75s rd=118.2ms sd=2.63s ipdv=422.7ms
seq=97 rtt=3.47s rd=214.3ms sd=3.25s ipdv=717.5ms
seq=98 rtt=2.99s rd=157.2ms sd=2.83s ipdv=479.1ms
seq=99 rtt=3.59s rd=134ms sd=3.46s ipdv=605ms
seq=100 rtt=3.15s rd=118.9ms sd=3.03s ipdv=440ms
seq=101 rtt=2.65s rd=118.9ms sd=2.53s ipdv=499.5ms
seq=102 rtt=3.24s rd=122.7ms sd=3.12s ipdv=586ms
seq=103 rtt=2.8s rd=104ms sd=2.69s ipdv=443.5ms
seq=104 rtt=3.42s rd=132.4ms sd=3.29s ipdv=628.8ms
seq=105 rtt=3s rd=123.9ms sd=2.87s ipdv=427.5ms
seq=106 rtt=3.6s rd=125.8ms sd=3.47s ipdv=602.2ms
seq=107 rtt=3.15s rd=126.6ms sd=3.03s ipdv=446.9ms
seq=108 rtt=3.82s rd=132.2ms sd=3.69s ipdv=667ms
seq=109 rtt=3.4s rd=146.8ms sd=3.26s ipdv=415.9ms
seq=110 rtt=3.98s rd=124ms sd=3.86s ipdv=580.3ms
seq=111 rtt=3.48s rd=124ms sd=3.36s ipdv=499.6ms
seq=112 rtt=3.06s rd=152.5ms sd=2.91s ipdv=424.8ms
seq=113 rtt=3.81s rd=229ms sd=3.58s ipdv=752.9ms
seq=114 rtt=3.34s rd=149.8ms sd=3.19s ipdv=469.7ms
seq=115 rtt=3.95s rd=125.7ms sd=3.83s ipdv=609.4ms
seq=116 rtt=3.52s rd=118.5ms sd=3.4s ipdv=432.6ms
seq=117 rtt=4.16s rd=129.8ms sd=4.03s ipdv=636.3ms
seq=118 rtt=3.72s rd=74.01ms sd=3.65s ipdv=430.9ms
seq=119 rtt=4.42s rd=165.6ms sd=4.25s ipdv=690.9ms
seq=120 rtt=3.97s rd=214.7ms sd=3.76s ipdv=442.1ms
seq=121 rtt=3.47s rd=214.7ms sd=3.26s ipdv=500.3ms
seq=122 rtt=4.01s rd=130.7ms sd=3.88s ipdv=539.9ms
seq=123 rtt=3.58s rd=103.6ms sd=3.48s ipdv=429.7ms
seq=124 rtt=4.09s rd=115.3ms sd=3.97s ipdv=506.8ms
seq=125 rtt=3.66s rd=124.6ms sd=3.54s ipdv=427ms
seq=126 rtt=4.37s rd=109ms sd=4.26s ipdv=703.9ms
seq=127 rtt=3.87s rd=109ms sd=3.76s ipdv=499.6ms
seq=128 rtt=3.45s rd=126.5ms sd=3.32s ipdv=421.3ms
seq=129 rtt=4.05s rd=139.1ms sd=3.91s ipdv=606.8ms
seq=130 rtt=3.62s rd=120.9ms sd=3.5s ipdv=434.7ms
seq=131 rtt=4.29s rd=161.3ms sd=4.12s ipdv=667.4ms
seq=132 rtt=3.35s rd=131.8ms sd=3.22s ipdv=933.2ms
seq=133 rtt=4.02s rd=101.9ms sd=3.91s ipdv=664ms
seq=134 rtt=3.58s rd=134.4ms sd=3.45s ipdv=431.7ms
seq=135 rtt=4.24s rd=134.2ms sd=4.1s ipdv=653.3ms
seq=136 rtt=3.82s rd=123.4ms sd=3.69s ipdv=421.6ms
seq=137 rtt=3.32s rd=123.3ms sd=3.19s ipdv=499.2ms
seq=138 rtt=3.95s rd=133.4ms sd=3.81s ipdv=628.7ms
seq=139 rtt=3.52s rd=128.9ms sd=3.39s ipdv=428.6ms
