minute,x2ap,s1ap,rrc
1,9,6,21
2,6,4,14
3,9,6,21
4,6,4,14
5,9,6,21
6,6,4,14
7,3,2,7
8,6,4,14
9,3,2,7
10,9,6,21
11,9,6,21
12,6,4,14
13,6,4,14
14,9,6,21
