Data plane is up
Running irtt
UE IP is 10.45.0.12
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=81 rtt=23.5ms rd=-2.02s sd=2.04s ipdv=0s
seq=82 rtt=23.75ms rd=-2.05s sd=2.07s ipdv=249µs
seq=83 rtt=23.5ms rd=-2.07s sd=2.1s ipdv=250µs
seq=84 rtt=23.51ms rd=-2.14s sd=2.17s ipdv=8.92µs
seq=85 rtt=23.9ms rd=-2.33s sd=2.35s ipdv=398µs
seq=86 rtt=23.86ms rd=-2.51s sd=2.54s ipdv=49µs
seq=87 rtt=24.75ms rd=-2.64s sd=2.66s ipdv=893µs
seq=88 rtt=24.7ms rd=-2.68s sd=2.71s ipdv=48.2µs
seq=89 rtt=24.8ms rd=-2.73s sd=2.75s ipdv=98.3µs
seq=90 rtt=24.8ms rd=-2.77s sd=2.8s ipdv=0s
seq=91 rtt=24.5ms rd=-2.82s sd=2.84s ipdv=300µs
seq=92 rtt=24.84ms rd=-2.86s sd=2.88s ipdv=345µs
seq=93 rtt=24.7ms rd=-2.89s sd=2.92s ipdv=145µs
seq=94 rtt=24.55ms rd=-2.94s sd=2.96s ipdv=150µs
seq=95 rtt=24.75ms rd=-2.98s sd=3.01s ipdv=200µs
seq=96 rtt=24.4ms rd=-3.04s sd=3.06s ipdv=350µs
seq=97 rtt=24.55ms rd=-3.08s sd=3.11s ipdv=150µs
seq=98 rtt=24.55ms rd=-3.13s sd=3.15s ipdv=450ns
seq=99 rtt=24.65ms rd=-3.17s sd=3.2s ipdv=100µs
seq=100 rtt=24.7ms rd=-3.22s sd=3.24s ipdv=49.9µs
seq=101 rtt=24.55ms rd=-3.26s sd=3.29s ipdv=150µs
seq=102 rtt=24.45ms rd=-3.31s sd=3.33s ipdv=99.9µs
seq=103 rtt=24.6ms rd=-3.35s sd=3.38s ipdv=150µs
seq=104 rtt=24.51ms rd=-3.44s sd=3.46s ipdv=93.1µs
seq=105 rtt=25.06ms rd=-3.62s sd=3.64s ipdv=551µs
seq=106 rtt=25.96ms rd=-3.8s sd=3.82s ipdv=901µs
seq=107 rtt=26ms rd=-3.92s sd=3.95s ipdv=40.3µs
seq=108 rtt=25.45ms rd=-3.96s sd=3.99s ipdv=550µs
seq=109 rtt=25.85ms rd=-4.01s sd=4.03s ipdv=400µs
seq=110 rtt=25.45ms rd=-4.05s sd=4.08s ipdv=400µs
seq=111 rtt=25.65ms rd=-4.1s sd=4.12s ipdv=200µs
seq=112 rtt=25.4ms rd=-4.14s sd=4.17s ipdv=250µs
seq=113 rtt=25.49ms rd=-4.19s sd=4.21s ipdv=95.5µs
seq=114 rtt=25.5ms rd=-4.23s sd=4.25s ipdv=4.58µs
seq=115 rtt=25.55ms rd=-4.27s sd=4.3s ipdv=50µs
seq=116 rtt=25.65ms rd=-19.53ms sd=45.18ms ipdv=99.9µs
seq=117 rtt=25.7ms rd=-64.71ms sd=90.41ms ipdv=50.1µs
seq=118 rtt=25.75ms rd=-99.38ms sd=125.1ms ipdv=49µs
seq=119 rtt=26.6ms rd=-124.4ms sd=151ms ipdv=850µs
seq=120 rtt=26.6ms rd=-164.6ms sd=191.2ms ipdv=1.01µs
seq=121 rtt=26.55ms rd=-197.6ms sd=224.2ms ipdv=50µs
seq=122 rtt=26.7ms rd=-250.7ms sd=277.4ms ipdv=150µs
seq=123 rtt=26.75ms rd=-292.6ms sd=319.4ms ipdv=50.2µs
seq=124 rtt=26.45ms rd=-334.2ms sd=360.6ms ipdv=300µs
seq=125 rtt=26.75ms rd=-376.1ms sd=402.8ms ipdv=300µs
seq=126 rtt=26.35ms rd=-417.9ms sd=444.3ms ipdv=400µs
seq=127 rtt=26.65ms rd=-459.4ms sd=486.1ms ipdv=300µs
seq=128 rtt=26.76ms rd=-544.9ms sd=571.7ms ipdv=109µs
seq=129 rtt=27.01ms rd=-719.6ms sd=746.6ms ipdv=249µs
seq=130 rtt=26.81ms rd=-897ms sd=923.8ms ipdv=200µs
seq=131 rtt=26.51ms rd=-1.08s sd=1.11s ipdv=300µs
seq=132 rtt=27.71ms rd=-1.25s sd=1.28s ipdv=1.2ms
seq=133 rtt=27.66ms rd=-1.43s sd=1.46s ipdv=48.3µs
seq=134 rtt=27.5ms rd=-1.51s sd=1.54s ipdv=160µs
seq=135 rtt=27.65ms rd=-1.56s sd=1.58s ipdv=150µs
seq=136 rtt=27.8ms rd=-1.59s sd=1.62s ipdv=147µs
seq=137 rtt=27.55ms rd=-1.63s sd=1.65s ipdv=247µs
seq=138 rtt=27.36ms rd=-1.71s sd=1.73s ipdv=191µs
seq=139 rtt=27.71ms rd=-1.89s sd=1.91s ipdv=350µs
seq=140 rtt=28.66ms rd=-2.07s sd=2.09s ipdv=950µs
seq=141 rtt=28.61ms rd=-2.25s sd=2.27s ipdv=48.2µs
seq=142 rtt=28.86ms rd=-2.43s sd=2.46s ipdv=249µs
seq=143 rtt=28.71ms rd=-2.62s sd=2.65s ipdv=151µs
seq=144 rtt=28.61ms rd=-2.8s sd=2.83s ipdv=101µs
