minute,x2ap,s1ap,rrc
0,6,4,14
1,3,2,7
2,3,2,7
3,3,2,7
4,3,2,7
5,3,2,7
6,12,8,28
7,0,0,0
8,0,0,0
9,9,6,21
10,0,0,0
11,9,6,21
12,3,2,7
13,3,2,7
14,3,2,7
