Data plane is up
Running irtt
UE IP is 10.45.0.10
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=21.29ms rd=-2m4s sd=2m4s ipdv=n/a
seq=1 rtt=10.74ms rd=-2m11s sd=2m11s ipdv=10.55ms
seq=2 rtt=22.33ms rd=-2m19s sd=2m19s ipdv=11.59ms
seq=3 rtt=13.07ms rd=-2m26s sd=2m26s ipdv=9.27ms
seq=4 rtt=23.79ms rd=-2m33s sd=2m33s ipdv=10.72ms
seq=5 rtt=13.88ms rd=-2m41s sd=2m41s ipdv=9.91ms
seq=6 rtt=25.78ms rd=-2m48s sd=2m48s ipdv=11.9ms
seq=7 rtt=15.96ms rd=-2m55s sd=2m55s ipdv=9.82ms
seq=8 rtt=26.8ms rd=-3m3s sd=3m3s ipdv=10.84ms
seq=9 rtt=16.83ms rd=-3m10s sd=3m10s ipdv=9.97ms
seq=10 rtt=125.4ms rd=-3m17s sd=3m18s ipdv=108.6ms
seq=11 rtt=19.14ms rd=-3m25s sd=3m25s ipdv=106.3ms
seq=12 rtt=8.56ms rd=-3m32s sd=3m32s ipdv=10.58ms
seq=13 rtt=20.11ms rd=-3m39s sd=3m39s ipdv=11.54ms
seq=14 rtt=10.64ms rd=-3m46s sd=3m46s ipdv=9.47ms
seq=15 rtt=21.93ms rd=-3m54s sd=3m54s ipdv=11.3ms
seq=16 rtt=11.75ms rd=-4m1s sd=4m1s ipdv=10.18ms
seq=17 rtt=23.65ms rd=-4m8s sd=4m8s ipdv=11.9ms
seq=18 rtt=13.43ms rd=-4m15s sd=4m15s ipdv=10.22ms
seq=19 rtt=24.51ms rd=-4m23s sd=4m23s ipdv=11.08ms
seq=20 rtt=14.74ms rd=-4m30s sd=4m30s ipdv=9.77ms
seq=21 rtt=26.23ms rd=-4m37s sd=4m37s ipdv=11.49ms
seq=22 rtt=15.74ms rd=-4m44s sd=4m44s ipdv=10.49ms
seq=23 rtt=26.63ms rd=-4m52s sd=4m52s ipdv=10.88ms
seq=24 rtt=17.85ms rd=-4m59s sd=4m59s ipdv=8.78ms
seq=25 rtt=126.3ms rd=-5m6s sd=5m6s ipdv=108.4ms
seq=26 rtt=19.49ms rd=-5m13s sd=5m13s ipdv=106.8ms
seq=27 rtt=9.58ms rd=-5m21s sd=5m21s ipdv=9.92ms
seq=28 rtt=21.34ms rd=-5m28s sd=5m28s ipdv=11.76ms
seq=29 rtt=10.34ms rd=-5m35s sd=5m35s ipdv=11ms
seq=30 rtt=22.36ms rd=-5m42s sd=5m43s ipdv=12.02ms
seq=31 rtt=12.82ms rd=-5m50s sd=5m50s ipdv=9.54ms
seq=32 rtt=23.6ms rd=-5m57s sd=5m57s ipdv=10.78ms
seq=33 rtt=13.82ms rd=-6m4s sd=6m4s ipdv=9.78ms
seq=34 rtt=24.61ms rd=-6m12s sd=6m12s ipdv=10.79ms
seq=35 rtt=16.01ms rd=-6m19s sd=6m19s ipdv=8.61ms
seq=36 rtt=26.86ms rd=-6m26s sd=6m26s ipdv=10.85ms
seq=37 rtt=16.72ms rd=-6m34s sd=6m34s ipdv=10.14ms
seq=38 rtt=27.93ms rd=-6m41s sd=6m41s ipdv=11.21ms
seq=39 rtt=18.93ms rd=-6m48s sd=6m48s ipdv=8.99ms
seq=40 rtt=9.57ms rd=-6m55s sd=6m55s ipdv=9.37ms
seq=41 rtt=19.96ms rd=-7m3s sd=7m3s ipdv=10.39ms
seq=42 rtt=9.47ms rd=-7m10s sd=7m10s ipdv=10.49ms
seq=43 rtt=21.32ms rd=-7m17s sd=7m17s ipdv=11.85ms
seq=44 rtt=11.6ms rd=-7m24s sd=7m24s ipdv=9.72ms
seq=45 rtt=22.9ms rd=-7m32s sd=7m32s ipdv=11.3ms
seq=46 rtt=12.51ms rd=-7m39s sd=7m39s ipdv=10.39ms
seq=47 rtt=24.52ms rd=-7m46s sd=7m46s ipdv=12.01ms
seq=48 rtt=13.57ms rd=-7m53s sd=7m53s ipdv=10.95ms
seq=49 rtt=25.37ms rd=-8m1s sd=8m1s ipdv=11.8ms
seq=50 rtt=15.58ms rd=-8m8s sd=8m8s ipdv=9.79ms
seq=51 rtt=27.02ms rd=-8m15s sd=8m15s ipdv=11.43ms
seq=52 rtt=16.85ms rd=-8m22s sd=8m22s ipdv=10.16ms
seq=53 rtt=27.77ms rd=-8m30s sd=8m30s ipdv=10.91ms
seq=54 rtt=18.23ms rd=-8m37s sd=8m37s ipdv=9.53ms
seq=55 rtt=9.02ms rd=-8m44s sd=8m44s ipdv=9.22ms
seq=56 rtt=19.82ms rd=-8m52s sd=8m52s ipdv=10.81ms
seq=57 rtt=10.22ms rd=-8m59s sd=8m59s ipdv=9.6ms
seq=58 rtt=21.07ms rd=-9m6s sd=9m6s ipdv=10.84ms
seq=59 rtt=11.76ms rd=-9m13s sd=9m13s ipdv=9.31ms
seq=60 rtt=23.33ms rd=-9m21s sd=9m21s ipdv=11.57ms
seq=61 rtt=12.82ms rd=-9m28s sd=9m28s ipdv=10.51ms
seq=62 rtt=24.73ms rd=-9m35s sd=9m35s ipdv=11.91ms
seq=63 rtt=14.49ms rd=-9m42s sd=9m42s ipdv=10.24ms
seq=64 rtt=25.61ms rd=-9m50s sd=9m50s ipdv=11.12ms
