Data plane is up
Running irtt
UE IP is 10.45.0.37
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=548.2ms rd=98.11ms sd=450ms ipdv=n/a
seq=1 rtt=378.8ms rd=88.32ms sd=290.5ms ipdv=169.3ms
seq=2 rtt=702ms rd=113.7ms sd=588.2ms ipdv=323.1ms
seq=3 rtt=563ms rd=123.4ms sd=439.6ms ipdv=139ms
seq=4 rtt=559.7ms rd=42.82ms sd=516.9ms ipdv=3.3ms
seq=5 rtt=667.1ms rd=95.24ms sd=571.9ms ipdv=107.4ms
seq=6 rtt=466.7ms rd=95.24ms sd=371.4ms ipdv=200.5ms
seq=7 rtt=301.1ms rd=79.69ms sd=221.4ms ipdv=165.6ms
seq=8 rtt=670.3ms rd=132.9ms sd=537.4ms ipdv=369.2ms
seq=9 rtt=515.9ms rd=127.7ms sd=388.2ms ipdv=154.4ms
seq=10 rtt=788.2ms rd=62.91ms sd=725.3ms ipdv=272.3ms
seq=11 rtt=650.4ms rd=87.23ms sd=563.1ms ipdv=137.9ms
seq=12 rtt=1.01s rd=107.6ms sd=900.8ms ipdv=358ms
seq=13 rtt=1.07s rd=67.96ms sd=997.9ms ipdv=57.5ms
seq=14 rtt=2.5s rd=35.86ms sd=2.47s ipdv=1.44s
seq=15 rtt=2.3s rd=35.77ms sd=2.27s ipdv=199.6ms
seq=16 rtt=2.1s rd=35.74ms sd=2.07s ipdv=200.3ms
seq=17 rtt=1.9s rd=35.72ms sd=1.87s ipdv=200.4ms
seq=18 rtt=1.7s rd=35.7ms sd=1.67s ipdv=199.9ms
seq=21 rtt=1.48s rd=108.1ms sd=1.37s ipdv=n/a
seq=22 rtt=1.31s rd=99.54ms sd=1.21s ipdv=171.2ms
seq=23 rtt=1.29s rd=44.54ms sd=1.25s ipdv=12.55ms
seq=24 rtt=1.35s rd=48.37ms sd=1.31s ipdv=60.3ms
seq=25 rtt=1.22s rd=90.14ms sd=1.13s ipdv=133.5ms
