Data plane is up
Running irtt
UE IP is 10.45.0.23
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=473.1ms rd=57.45ms sd=415.6ms ipdv=n/a
seq=1 rtt=319.1ms rd=76.95ms sd=242.1ms ipdv=154.1ms
seq=2 rtt=640.2ms rd=85.56ms sd=554.6ms ipdv=321.1ms
seq=3 rtt=526.6ms rd=120.8ms sd=405.9ms ipdv=113.6ms
seq=4 rtt=804.6ms rd=66.51ms sd=738.1ms ipdv=278ms
seq=5 rtt=653.1ms rd=77.99ms sd=575.1ms ipdv=151.5ms
seq=6 rtt=972.8ms rd=69.14ms sd=903.7ms ipdv=319.8ms
seq=7 rtt=841.3ms rd=103.2ms sd=738.1ms ipdv=131.5ms
seq=8 rtt=1.19s rd=98.43ms sd=1.09s ipdv=348.3ms
seq=9 rtt=1.02s rd=87.65ms sd=933.2ms ipdv=168.7ms
seq=10 rtt=1.38s rd=111.4ms sd=1.27s ipdv=358.2ms
seq=11 rtt=1.21s rd=103.8ms sd=1.1s ipdv=171.2ms
seq=12 rtt=1.26s rd=118.8ms sd=1.14s ipdv=49.4ms
seq=13 rtt=1.93s rd=101.6ms sd=1.83s ipdv=675.2ms
seq=14 rtt=1.73s rd=101.5ms sd=1.63s ipdv=200.2ms
seq=15 rtt=2s rd=58.13ms sd=1.95s ipdv=271.4ms
seq=16 rtt=1.86s rd=84.41ms sd=1.77s ipdv=147.4ms
seq=17 rtt=1.71s rd=105.8ms sd=1.6s ipdv=145.6ms
seq=18 rtt=1.74s rd=60.31ms sd=1.68s ipdv=25.55ms
seq=19 rtt=1.85s rd=108.6ms sd=1.74s ipdv=110.5ms
seq=20 rtt=1.65s rd=108.6ms sd=1.54s ipdv=199.5ms
seq=21 rtt=1.45s rd=108.6ms sd=1.34s ipdv=200.6ms
seq=22 rtt=1.25s rd=108.5ms sd=1.14s ipdv=199.5ms
seq=23 rtt=1.08s rd=102.7ms sd=973.1ms ipdv=171.5ms
seq=24 rtt=1.36s rd=62.1ms sd=1.3s ipdv=284.1ms
seq=25 rtt=1.22s rd=96.22ms sd=1.13s ipdv=136.4ms
seq=26 rtt=1.61s rd=135.6ms sd=1.47s ipdv=383.4ms
seq=27 rtt=1.44s rd=151.9ms sd=1.29s ipdv=163.7ms
seq=28 rtt=1.75s rd=73.36ms sd=1.67s ipdv=302.8ms
seq=29 rtt=1.59s rd=88.05ms sd=1.5s ipdv=153.6ms
seq=30 rtt=1.39s rd=88.04ms sd=1.3s ipdv=200.6ms
seq=31 rtt=1.53s rd=144.9ms sd=1.39s ipdv=140.9ms
