minute,x2ap,s1ap,rrc
2,3,2,7
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,3,2,7
8,6,4,14
9,0,0,0
10,0,0,0
11,3,2,7
12,0,0,0
13,3,2,7
