seq=79 rtt=27.5ms rd=-50.78ms sd=78.29ms ipdv=3.9ms
seq=80 rtt=10.9ms rd=-106.1ms sd=117ms ipdv=16.6ms
seq=81 rtt=14.7ms rd=-162.1ms sd=176.8ms ipdv=3.8ms
seq=82 rtt=18.75ms rd=-237.3ms sd=256.1ms ipdv=4.05ms
seq=83 rtt=22.75ms rd=-299.4ms sd=322.2ms ipdv=4ms
seq=84 rtt=26.6ms rd=-360.6ms sd=387.2ms ipdv=3.85ms
seq=85 rtt=10.8ms rd=-427.9ms sd=438.7ms ipdv=15.8ms
seq=86 rtt=14.9ms rd=-493.2ms sd=508.1ms ipdv=4.1ms
seq=87 rtt=18.8ms rd=-538.8ms sd=557.6ms ipdv=3.9ms
seq=88 rtt=22.6ms rd=-614.1ms sd=636.7ms ipdv=3.8ms
seq=89 rtt=26.65ms rd=-671.4ms sd=698ms ipdv=4.05ms
seq=90 rtt=9.6ms rd=-734.9ms sd=744.5ms ipdv=17.05ms
seq=91 rtt=13.65ms rd=-802.5ms sd=816.1ms ipdv=4.05ms
seq=92 rtt=17.75ms rd=-872.7ms sd=890.5ms ipdv=4.1ms
seq=93 rtt=21.85ms rd=-950.4ms sd=972.2ms ipdv=4.1ms
seq=94 rtt=26.75ms rd=-1.02s sd=1.05s ipdv=4.9ms
seq=95 rtt=9.85ms rd=-1.09s sd=1.1s ipdv=16.9ms
seq=96 rtt=13.7ms rd=-1.16s sd=1.17s ipdv=3.85ms
seq=97 rtt=17.55ms rd=-1.23s sd=1.25s ipdv=3.85ms
seq=98 rtt=22ms rd=-1.3s sd=1.32s ipdv=4.45ms
seq=99 rtt=25.6ms rd=-1.37s sd=1.39s ipdv=3.6ms
seq=100 rtt=9.7ms rd=-1.49s sd=1.5s ipdv=15.9ms
seq=101 rtt=13.8ms rd=-1.62s sd=1.63s ipdv=4.1ms
seq=102 rtt=17ms rd=-1.68s sd=1.7s ipdv=3.2ms
seq=103 rtt=21.65ms rd=-1.75s sd=1.77s ipdv=4.65ms
seq=104 rtt=25.45ms rd=-1.82s sd=1.84s ipdv=3.8ms
seq=105 rtt=8.6ms rd=-1.89s sd=1.89s ipdv=16.85ms
seq=106 rtt=12.7ms rd=-1.96s sd=1.97s ipdv=4.1ms
seq=107 rtt=16.8ms rd=-2.03s sd=2.05s ipdv=4.1ms
seq=108 rtt=20.95ms rd=-2.1s sd=2.12s ipdv=4.15ms
seq=109 rtt=24.75ms rd=-2.18s sd=2.2s ipdv=3.8ms
seq=110 rtt=8.9ms rd=-2.3s sd=2.31s ipdv=15.85ms
seq=111 rtt=12.8ms rd=-2.45s sd=2.47s ipdv=3.9ms
seq=112 rtt=16.95ms rd=-2.53s sd=2.54s ipdv=4.15ms
seq=113 rtt=20.6ms rd=-2.59s sd=2.61s ipdv=3.65ms
seq=114 rtt=24.5ms rd=-2.66s sd=2.69s ipdv=3.9ms
seq=115 rtt=8.65ms rd=-2.73s sd=2.74s ipdv=15.85ms
seq=116 rtt=12.8ms rd=-2.8s sd=2.81s ipdv=4.15ms
seq=117 rtt=16.85ms rd=-2.87s sd=2.89s ipdv=4.05ms
seq=118 rtt=20.45ms rd=-2.94s sd=2.96s ipdv=3.6ms
seq=119 rtt=24.85ms rd=-3.01s sd=3.04s ipdv=4.4ms
seq=120 rtt=8.7ms rd=-3.08s sd=3.09s ipdv=16.15ms
seq=121 rtt=11.5ms rd=-3.15s sd=3.16s ipdv=2.8ms
seq=122 rtt=15.6ms rd=-3.23s sd=3.24s ipdv=4.1ms
seq=123 rtt=20.6ms rd=-3.3s sd=3.32s ipdv=5ms
seq=124 rtt=24.6ms rd=-3.36s sd=3.38s ipdv=4ms
seq=125 rtt=8.8ms rd=-3.41s sd=3.42s ipdv=15.8ms
seq=126 rtt=11.55ms rd=-3.47s sd=3.48s ipdv=2.75ms
seq=127 rtt=15.5ms rd=-3.53s sd=3.55s ipdv=3.95ms
seq=128 rtt=19.7ms rd=-3.6s sd=3.62s ipdv=4.2ms
seq=129 rtt=23.7ms rd=-3.68s sd=3.7s ipdv=4ms
