minute,x2ap,s1ap,rrc
1,3,2,7
2,0,0,0
3,0,0,0
4,3,2,7
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,3,2,7
12,3,2,7
13,3,2,7
