Data plane is up
Running irtt
UE IP is 10.45.0.64
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.8ms rd=-14m9s sd=14m9s ipdv=n/a
seq=1 rtt=22.78ms rd=-15m8s sd=15m8s ipdv=1.02ms
seq=2 rtt=20.99ms rd=-16m5s sd=16m5s ipdv=1.79ms
seq=3 rtt=20.15ms rd=-17m3s sd=17m3s ipdv=837µs
seq=4 rtt=17.96ms rd=-18m0s sd=18m0s ipdv=2.2ms
seq=5 rtt=16.62ms rd=-18m57s sd=18m57s ipdv=1.33ms
seq=6 rtt=15.04ms rd=-19m55s sd=19m55s ipdv=1.58ms
seq=7 rtt=13.52ms rd=-20m51s sd=20m52s ipdv=1.52ms
seq=8 rtt=10.56ms rd=-21m48s sd=21m48s ipdv=2.96ms
seq=9 rtt=9.44ms rd=-22m45s sd=22m45s ipdv=1.13ms
seq=10 rtt=30.94ms rd=-23m45s sd=23m45s ipdv=21.5ms
seq=11 rtt=28.57ms rd=-24m42s sd=24m42s ipdv=2.36ms
seq=12 rtt=26.39ms rd=-25m39s sd=25m39s ipdv=2.18ms
seq=13 rtt=25ms rd=-26m36s sd=26m36s ipdv=1.4ms
seq=14 rtt=22.55ms rd=-27m32s sd=27m32s ipdv=2.45ms
seq=15 rtt=20.76ms rd=-28m29s sd=28m29s ipdv=1.78ms
seq=16 rtt=18.57ms rd=-29m26s sd=29m26s ipdv=2.2ms
seq=17 rtt=16.79ms rd=-30m24s sd=30m24s ipdv=1.78ms
seq=18 rtt=16.62ms rd=-31m22s sd=31m22s ipdv=165µs
seq=19 rtt=15.84ms rd=-32m20s sd=32m20s ipdv=783µs
seq=20 rtt=14.74ms rd=-33m19s sd=33m19s ipdv=1.1ms
seq=21 rtt=14.86ms rd=-34m17s sd=34m17s ipdv=124µs
seq=22 rtt=14.27ms rd=-35m15s sd=35m15s ipdv=596µs
seq=23 rtt=12.96ms rd=-36m14s sd=36m14s ipdv=1.31ms
seq=24 rtt=13.1ms rd=-37m12s sd=37m12s ipdv=145µs
seq=25 rtt=12.22ms rd=-38m10s sd=38m10s ipdv=881µs
seq=26 rtt=11.86ms rd=-39m9s sd=39m9s ipdv=356µs
seq=27 rtt=11.25ms rd=-40m7s sd=40m7s ipdv=616µs
seq=28 rtt=10.77ms rd=-41m5s sd=41m5s ipdv=478µs
seq=29 rtt=10.23ms rd=-42m3s sd=42m3s ipdv=544µs
seq=30 rtt=9.84ms rd=-43m2s sd=43m3s ipdv=383µs
seq=31 rtt=9.75ms rd=-44m1s sd=44m1s ipdv=94.5µs
seq=32 rtt=9.88ms rd=-45m0s sd=45m0s ipdv=131µs
seq=33 rtt=10.95ms rd=-45m59s sd=45m59s ipdv=1.07ms
seq=34 rtt=9.64ms rd=-46m58s sd=46m58s ipdv=1.31ms
seq=35 rtt=9.75ms rd=-47m57s sd=47m57s ipdv=107µs
seq=36 rtt=9.54ms rd=-48m55s sd=48m55s ipdv=205µs
seq=37 rtt=9.75ms rd=-49m54s sd=49m54s ipdv=204µs
seq=38 rtt=9.74ms rd=-50m53s sd=50m53s ipdv=3.22µs
seq=39 rtt=9.75ms rd=-51m52s sd=51m52s ipdv=6.46µs
seq=40 rtt=9.43ms rd=-52m51s sd=52m51s ipdv=317µs
seq=41 rtt=9.96ms rd=-53m50s sd=53m50s ipdv=524µs
seq=42 rtt=9.68ms rd=-54m48s sd=54m48s ipdv=280µs
seq=43 rtt=32.31ms rd=-55m50s sd=55m50s ipdv=22.63ms
seq=44 rtt=9.59ms rd=-56m46s sd=56m46s ipdv=22.73ms
seq=45 rtt=32.05ms rd=-57m47s sd=57m47s ipdv=22.46ms
seq=46 rtt=30.09ms rd=-58m46s sd=58m46s ipdv=1.96ms
seq=47 rtt=31.31ms rd=-59m44s sd=59m44s ipdv=1.22ms
seq=48 rtt=30.1ms rd=-1h0m43s sd=1h0m43s ipdv=1.21ms
seq=49 rtt=30.71ms rd=-1h1m42s sd=1h1m42s ipdv=603µs
seq=50 rtt=30.6ms rd=-1h2m40s sd=1h2m40s ipdv=103µs
seq=51 rtt=30.38ms rd=-1h3m39s sd=1h3m39s ipdv=224µs
seq=52 rtt=30.12ms rd=-1h4m38s sd=1h4m38s ipdv=261µs
seq=53 rtt=30.62ms rd=-1h5m37s sd=1h5m37s ipdv=499µs
seq=54 rtt=29.31ms rd=-1h6m35s sd=1h6m35s ipdv=1.31ms
seq=55 rtt=29.7ms rd=-1h7m34s sd=1h7m34s ipdv=392µs
