Data plane is up
Running irtt
UE IP is 10.45.0.12
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.78ms rd=-13m7s sd=13m7s ipdv=n/a
seq=1 rtt=23.67ms rd=-14m6s sd=14m6s ipdv=115µs
seq=2 rtt=23.21ms rd=-15m5s sd=15m5s ipdv=462µs
seq=3 rtt=20.93ms rd=-16m2s sd=16m2s ipdv=2.28ms
seq=4 rtt=22.01ms rd=-17m0s sd=17m0s ipdv=1.08ms
seq=5 rtt=20.2ms rd=-17m58s sd=17m58s ipdv=1.8ms
seq=6 rtt=18.09ms rd=-18m55s sd=18m55s ipdv=2.11ms
seq=7 rtt=16.72ms rd=-19m52s sd=19m52s ipdv=1.37ms
seq=8 rtt=14.55ms rd=-20m49s sd=20m49s ipdv=2.17ms
seq=9 rtt=12.28ms rd=-21m46s sd=21m46s ipdv=2.27ms
seq=10 rtt=10.96ms rd=-22m43s sd=22m43s ipdv=1.33ms
seq=11 rtt=9.37ms rd=-23m40s sd=23m40s ipdv=1.59ms
seq=12 rtt=30.35ms rd=-24m39s sd=24m39s ipdv=20.98ms
seq=13 rtt=27.9ms rd=-25m36s sd=25m36s ipdv=2.45ms
seq=14 rtt=26.46ms rd=-26m33s sd=26m33s ipdv=1.44ms
seq=15 rtt=23.92ms rd=-27m30s sd=27m30s ipdv=2.54ms
seq=16 rtt=22.45ms rd=-28m27s sd=28m27s ipdv=1.46ms
seq=17 rtt=19.48ms rd=-29m24s sd=29m24s ipdv=2.97ms
seq=18 rtt=19.23ms rd=-30m21s sd=30m21s ipdv=249µs
seq=19 rtt=17.74ms rd=-31m19s sd=31m19s ipdv=1.49ms
seq=20 rtt=16.98ms rd=-32m18s sd=32m18s ipdv=759µs
seq=21 rtt=16.79ms rd=-33m16s sd=33m16s ipdv=188µs
seq=22 rtt=15.73ms rd=-34m14s sd=34m14s ipdv=1.06ms
seq=23 rtt=14.81ms rd=-35m13s sd=35m13s ipdv=923µs
seq=24 rtt=14.36ms rd=-36m11s sd=36m11s ipdv=445µs
seq=25 rtt=15.73ms rd=-37m10s sd=37m10s ipdv=1.37ms
seq=26 rtt=14.69ms rd=-38m8s sd=38m8s ipdv=1.04ms
seq=27 rtt=14.9ms rd=-39m6s sd=39m6s ipdv=208µs
seq=28 rtt=14.2ms rd=-40m4s sd=40m4s ipdv=703µs
seq=29 rtt=13.33ms rd=-41m3s sd=41m3s ipdv=864µs
seq=30 rtt=12.11ms rd=-42m1s sd=42m1s ipdv=1.22ms
seq=31 rtt=12.56ms rd=-43m0s sd=43m0s ipdv=448µs
seq=32 rtt=12.64ms rd=-43m59s sd=43m59s ipdv=79.3µs
seq=33 rtt=11.9ms rd=-44m58s sd=44m58s ipdv=734µs
seq=34 rtt=11.77ms rd=-45m56s sd=45m56s ipdv=128µs
seq=35 rtt=11.75ms rd=-46m55s sd=46m55s ipdv=22.4µs
seq=36 rtt=11.75ms rd=-47m54s sd=47m54s ipdv=4.89µs
seq=37 rtt=11.6ms rd=-48m53s sd=48m53s ipdv=145µs
seq=38 rtt=11.7ms rd=-49m52s sd=49m52s ipdv=97.5µs
seq=39 rtt=11.6ms rd=-50m51s sd=50m51s ipdv=97.3µs
seq=40 rtt=11.78ms rd=-51m49s sd=51m49s ipdv=177µs
seq=41 rtt=11.28ms rd=-52m48s sd=52m48s ipdv=495µs
seq=42 rtt=10.67ms rd=-53m47s sd=53m47s ipdv=608µs
seq=43 rtt=10.84ms rd=-54m46s sd=54m46s ipdv=167µs
seq=44 rtt=10.71ms rd=-55m44s sd=55m44s ipdv=129µs
seq=45 rtt=11.13ms rd=-56m43s sd=56m43s ipdv=413µs
seq=46 rtt=10.68ms rd=-57m42s sd=57m42s ipdv=446µs
seq=47 rtt=10.23ms rd=-58m40s sd=58m40s ipdv=446µs
seq=48 rtt=10.27ms rd=-59m39s sd=59m39s ipdv=40.8µs
seq=49 rtt=9.62ms rd=-1h0m38s sd=1h0m38s ipdv=649µs
seq=50 rtt=9.48ms rd=-1h1m36s sd=1h1m36s ipdv=149µs
seq=51 rtt=9.58ms rd=-1h2m35s sd=1h2m35s ipdv=108µs
seq=52 rtt=9.51ms rd=-1h3m34s sd=1h3m34s ipdv=70.8µs
seq=53 rtt=9.66ms rd=-1h4m33s sd=1h4m33s ipdv=148µs
seq=54 rtt=9.44ms rd=-1h5m31s sd=1h5m31s ipdv=217µs
seq=55 rtt=31.12ms rd=-1h6m33s sd=1h6m33s ipdv=21.68ms
seq=56 rtt=139.9ms rd=-1h7m31s sd=1h7m31s ipdv=108.8ms
