Data plane is up
Running irtt
UE IP is 10.45.0.40
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.98ms rd=-14m29s sd=14m29s ipdv=n/a
seq=1 rtt=22.67ms rd=-15m26s sd=15m26s ipdv=1.31ms
seq=2 rtt=21.26ms rd=-16m24s sd=16m24s ipdv=1.42ms
seq=3 rtt=20.45ms rd=-17m22s sd=17m22s ipdv=804µs
seq=4 rtt=19.09ms rd=-18m19s sd=18m19s ipdv=1.36ms
seq=5 rtt=16.9ms rd=-19m16s sd=19m16s ipdv=2.19ms
seq=6 rtt=15.71ms rd=-20m13s sd=20m13s ipdv=1.19ms
seq=7 rtt=13.39ms rd=-21m10s sd=21m10s ipdv=2.32ms
seq=8 rtt=11.89ms rd=-22m7s sd=22m7s ipdv=1.5ms
seq=9 rtt=11.06ms rd=-23m4s sd=23m4s ipdv=829µs
seq=10 rtt=139.1ms rd=-24m3s sd=24m3s ipdv=128ms
seq=11 rtt=28.55ms rd=-25m0s sd=25m0s ipdv=110.5ms
seq=12 rtt=26.88ms rd=-25m57s sd=25m57s ipdv=1.67ms
seq=13 rtt=24.91ms rd=-26m54s sd=26m54s ipdv=1.97ms
seq=14 rtt=22.66ms rd=-27m51s sd=27m51s ipdv=2.24ms
seq=15 rtt=21.47ms rd=-28m48s sd=28m48s ipdv=1.19ms
seq=16 rtt=18.66ms rd=-29m45s sd=29m45s ipdv=2.81ms
seq=17 rtt=17.79ms rd=-30m43s sd=30m43s ipdv=870µs
seq=18 rtt=17.94ms rd=-31m41s sd=31m41s ipdv=155µs
seq=19 rtt=17.01ms rd=-32m40s sd=32m40s ipdv=935µs
seq=20 rtt=16.14ms rd=-33m38s sd=33m38s ipdv=872µs
seq=21 rtt=15.84ms rd=-34m36s sd=34m36s ipdv=297µs
seq=22 rtt=14.74ms rd=-35m34s sd=35m34s ipdv=1.1ms
seq=23 rtt=14.27ms rd=-36m33s sd=36m33s ipdv=468µs
seq=24 rtt=14.51ms rd=-37m31s sd=37m31s ipdv=244µs
seq=25 rtt=14.22ms rd=-38m30s sd=38m30s ipdv=289µs
seq=26 rtt=14.14ms rd=-39m28s sd=39m28s ipdv=80.9µs
seq=27 rtt=13.93ms rd=-40m27s sd=40m27s ipdv=217µs
seq=28 rtt=12.85ms rd=-41m25s sd=41m25s ipdv=1.08ms
seq=29 rtt=12.38ms rd=-42m23s sd=42m23s ipdv=471µs
seq=30 rtt=12.35ms rd=-43m22s sd=43m22s ipdv=30.9µs
seq=31 rtt=11.94ms rd=-44m21s sd=44m21s ipdv=402µs
seq=32 rtt=12.16ms rd=-45m20s sd=45m20s ipdv=211µs
seq=33 rtt=11.65ms rd=-46m19s sd=46m19s ipdv=509µs
seq=34 rtt=11.55ms rd=-47m17s sd=47m17s ipdv=98.6µs
seq=35 rtt=12.06ms rd=-48m16s sd=48m16s ipdv=516µs
seq=36 rtt=11.26ms rd=-49m15s sd=49m15s ipdv=803µs
seq=37 rtt=11.69ms rd=-50m14s sd=50m14s ipdv=433µs
seq=38 rtt=11.5ms rd=-51m13s sd=51m13s ipdv=195µs
seq=39 rtt=11.86ms rd=-52m12s sd=52m12s ipdv=359µs
seq=40 rtt=11.16ms rd=-53m10s sd=53m10s ipdv=700µs
seq=41 rtt=10.77ms rd=-54m9s sd=54m9s ipdv=389µs
seq=42 rtt=10.59ms rd=-55m8s sd=55m8s ipdv=184µs
seq=43 rtt=10.67ms rd=-56m6s sd=56m6s ipdv=87µs
seq=44 rtt=10.6ms rd=-57m5s sd=57m5s ipdv=73µs
seq=45 rtt=9.6ms rd=-58m4s sd=58m4s ipdv=998µs
seq=46 rtt=10.64ms rd=-59m3s sd=59m3s ipdv=1.04ms
seq=47 rtt=9.44ms rd=-1h0m1s sd=1h0m1s ipdv=1.2ms
seq=48 rtt=10.35ms rd=-1h1m0s sd=1h1m0s ipdv=909µs
seq=49 rtt=9.47ms rd=-1h1m58s sd=1h1m58s ipdv=883µs
seq=50 rtt=9.84ms rd=-1h2m57s sd=1h2m57s ipdv=375µs
seq=51 rtt=9.52ms rd=-1h3m56s sd=1h3m56s ipdv=321µs
seq=52 rtt=31.04ms rd=-1h4m57s sd=1h4m57s ipdv=21.51ms
seq=53 rtt=139.8ms rd=-1h5m56s sd=1h5m56s ipdv=108.8ms
seq=54 rtt=30.1ms rd=-1h6m55s sd=1h6m55s ipdv=109.7ms
