Data plane is up
Running irtt
UE IP is 10.45.0.100
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.49ms rd=-14m12s sd=14m12s ipdv=n/a
seq=1 rtt=23.05ms rd=-15m11s sd=15m11s ipdv=435µs
seq=2 rtt=20.73ms rd=-16m8s sd=16m8s ipdv=2.32ms
seq=3 rtt=21.11ms rd=-17m6s sd=17m7s ipdv=375µs
seq=4 rtt=19.94ms rd=-18m4s sd=18m4s ipdv=1.17ms
seq=5 rtt=18.17ms rd=-19m1s sd=19m1s ipdv=1.77ms
seq=6 rtt=16.45ms rd=-19m58s sd=19m58s ipdv=1.72ms
seq=7 rtt=13.95ms rd=-20m55s sd=20m55s ipdv=2.5ms
seq=8 rtt=11.59ms rd=-21m52s sd=21m52s ipdv=2.36ms
seq=9 rtt=10.02ms rd=-22m49s sd=22m49s ipdv=1.57ms
seq=10 rtt=9.51ms rd=-23m45s sd=23m45s ipdv=512µs
seq=11 rtt=29.05ms rd=-24m45s sd=24m45s ipdv=19.54ms
seq=12 rtt=27.75ms rd=-25m42s sd=25m42s ipdv=1.3ms
seq=13 rtt=25.47ms rd=-26m39s sd=26m39s ipdv=2.28ms
seq=14 rtt=23.95ms rd=-27m36s sd=27m36s ipdv=1.52ms
seq=15 rtt=21.19ms rd=-28m33s sd=28m33s ipdv=2.76ms
seq=16 rtt=19.71ms rd=-29m30s sd=29m30s ipdv=1.48ms
seq=17 rtt=18.5ms rd=-30m27s sd=30m27s ipdv=1.21ms
seq=18 rtt=18.11ms rd=-31m25s sd=31m25s ipdv=392µs
seq=19 rtt=17.71ms rd=-32m24s sd=32m24s ipdv=404µs
seq=20 rtt=17.08ms rd=-33m22s sd=33m22s ipdv=629µs
seq=21 rtt=15.63ms rd=-34m20s sd=34m20s ipdv=1.45ms
seq=22 rtt=15.27ms rd=-35m19s sd=35m19s ipdv=355µs
seq=23 rtt=15.06ms rd=-36m17s sd=36m17s ipdv=213µs
seq=24 rtt=15.84ms rd=-37m16s sd=37m16s ipdv=783µs
seq=25 rtt=15.14ms rd=-38m14s sd=38m14s ipdv=697µs
seq=26 rtt=14.36ms rd=-39m12s sd=39m12s ipdv=789µs
seq=27 rtt=14.02ms rd=-40m10s sd=40m10s ipdv=334µs
seq=28 rtt=13.2ms rd=-41m9s sd=41m9s ipdv=825µs
seq=29 rtt=11.9ms rd=-42m7s sd=42m7s ipdv=1.29ms
seq=30 rtt=13.2ms rd=-43m6s sd=43m6s ipdv=1.3ms
seq=31 rtt=12.39ms rd=-44m5s sd=44m5s ipdv=816µs
seq=32 rtt=12.88ms rd=-45m4s sd=45m4s ipdv=488µs
seq=33 rtt=11.93ms rd=-46m2s sd=46m3s ipdv=949µs
seq=34 rtt=12.06ms rd=-47m2s sd=47m2s ipdv=130µs
seq=35 rtt=12.01ms rd=-48m0s sd=48m0s ipdv=49.5µs
seq=36 rtt=12.01ms rd=-48m59s sd=48m59s ipdv=1.22µs
seq=37 rtt=12.21ms rd=-49m58s sd=49m58s ipdv=205µs
seq=38 rtt=11.56ms rd=-50m57s sd=50m57s ipdv=650µs
seq=39 rtt=11.66ms rd=-51m55s sd=51m55s ipdv=93.9µs
seq=40 rtt=11.59ms rd=-52m54s sd=52m54s ipdv=67.9µs
seq=41 rtt=11.69ms rd=-53m53s sd=53m53s ipdv=98.4µs
seq=42 rtt=11.96ms rd=-54m52s sd=54m52s ipdv=274µs
seq=43 rtt=11.37ms rd=-55m50s sd=55m50s ipdv=592µs
seq=44 rtt=10.87ms rd=-56m49s sd=56m49s ipdv=506µs
seq=45 rtt=10.22ms rd=-57m48s sd=57m48s ipdv=642µs
seq=46 rtt=10.77ms rd=-58m47s sd=58m47s ipdv=551µs
seq=47 rtt=9.87ms rd=-59m45s sd=59m45s ipdv=902µs
seq=48 rtt=10.93ms rd=-1h0m44s sd=1h0m44s ipdv=1.06ms
seq=49 rtt=10.36ms rd=-1h1m42s sd=1h1m42s ipdv=565µs
seq=50 rtt=10.88ms rd=-1h2m41s sd=1h2m41s ipdv=517µs
seq=51 rtt=9.39ms rd=-1h3m40s sd=1h3m40s ipdv=1.49ms
seq=52 rtt=9.58ms rd=-1h4m39s sd=1h4m39s ipdv=181µs
seq=53 rtt=9.31ms rd=-1h5m37s sd=1h5m37s ipdv=267µs
seq=54 rtt=9.68ms rd=-1h6m36s sd=1h6m36s ipdv=374µs
seq=55 rtt=9.42ms rd=-1h7m35s sd=1h7m35s ipdv=263µs
