Data plane is up
Running irtt
UE IP is 10.45.0.99
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.69ms rd=-14m6s sd=14m6s ipdv=n/a
seq=1 rtt=23.61ms rd=-15m5s sd=15m5s ipdv=86.4µs
seq=2 rtt=21.87ms rd=-16m2s sd=16m2s ipdv=1.73ms
seq=3 rtt=21.87ms rd=-17m0s sd=17m0s ipdv=128ns
seq=4 rtt=20.19ms rd=-17m57s sd=17m57s ipdv=1.68ms
seq=5 rtt=18.08ms rd=-18m55s sd=18m55s ipdv=2.11ms
seq=6 rtt=16.51ms rd=-19m52s sd=19m52s ipdv=1.57ms
seq=7 rtt=14.49ms rd=-20m49s sd=20m49s ipdv=2.02ms
seq=8 rtt=12.39ms rd=-21m46s sd=21m46s ipdv=2.1ms
seq=9 rtt=9.85ms rd=-22m43s sd=22m43s ipdv=2.54ms
seq=10 rtt=9.71ms rd=-23m39s sd=23m40s ipdv=142µs
seq=11 rtt=29.84ms rd=-24m39s sd=24m39s ipdv=20.13ms
seq=12 rtt=27.49ms rd=-25m36s sd=25m36s ipdv=2.36ms
seq=13 rtt=25.41ms rd=-26m33s sd=26m33s ipdv=2.08ms
seq=14 rtt=23.86ms rd=-27m30s sd=27m30s ipdv=1.54ms
seq=15 rtt=21.35ms rd=-28m27s sd=28m27s ipdv=2.51ms
seq=16 rtt=19.42ms rd=-29m24s sd=29m24s ipdv=1.93ms
seq=17 rtt=21.77ms rd=-30m22s sd=30m22s ipdv=2.35ms
seq=18 rtt=20.9ms rd=-31m20s sd=31m20s ipdv=869µs
seq=19 rtt=20.18ms rd=-32m18s sd=32m18s ipdv=726µs
seq=20 rtt=20.38ms rd=-33m16s sd=33m16s ipdv=205µs
seq=21 rtt=19.02ms rd=-34m14s sd=34m14s ipdv=1.36ms
seq=22 rtt=18.2ms rd=-35m13s sd=35m13s ipdv=827µs
seq=23 rtt=17.92ms rd=-36m11s sd=36m11s ipdv=279µs
seq=24 rtt=17.63ms rd=-37m10s sd=37m10s ipdv=291µs
seq=25 rtt=16.63ms rd=-38m8s sd=38m8s ipdv=997µs
seq=26 rtt=16.89ms rd=-39m6s sd=39m6s ipdv=256µs
seq=27 rtt=16.14ms rd=-40m5s sd=40m5s ipdv=742µs
seq=28 rtt=15.17ms rd=-41m3s sd=41m3s ipdv=970µs
seq=29 rtt=14.16ms rd=-42m1s sd=42m1s ipdv=1.01ms
seq=30 rtt=15.12ms rd=-43m0s sd=43m0s ipdv=964µs
seq=31 rtt=14.03ms rd=-43m59s sd=43m59s ipdv=1.1ms
seq=32 rtt=14.54ms rd=-44m58s sd=44m58s ipdv=516µs
seq=33 rtt=14.26ms rd=-45m57s sd=45m57s ipdv=280µs
seq=34 rtt=14.73ms rd=-46m56s sd=46m56s ipdv=467µs
seq=35 rtt=14.19ms rd=-47m54s sd=47m54s ipdv=538µs
seq=36 rtt=13.44ms rd=-48m53s sd=48m53s ipdv=749µs
seq=37 rtt=13.59ms rd=-49m52s sd=49m52s ipdv=146µs
seq=38 rtt=13.7ms rd=-50m51s sd=50m51s ipdv=111µs
seq=39 rtt=13.27ms rd=-51m50s sd=51m50s ipdv=431µs
seq=40 rtt=13.48ms rd=-52m48s sd=52m48s ipdv=209µs
seq=41 rtt=13.62ms rd=-53m47s sd=53m47s ipdv=147µs
seq=42 rtt=12.58ms rd=-54m46s sd=54m46s ipdv=1.04ms
seq=43 rtt=12.4ms rd=-55m45s sd=55m45s ipdv=179µs
seq=44 rtt=12.52ms rd=-56m43s sd=56m43s ipdv=111µs
seq=45 rtt=12.01ms rd=-57m42s sd=57m42s ipdv=507µs
seq=46 rtt=12.58ms rd=-58m41s sd=58m41s ipdv=575µs
seq=47 rtt=11.36ms rd=-59m39s sd=59m39s ipdv=1.22ms
seq=48 rtt=11.16ms rd=-1h0m38s sd=1h0m38s ipdv=200µs
seq=49 rtt=10.97ms rd=-1h1m36s sd=1h1m36s ipdv=197µs
seq=50 rtt=10.77ms rd=-1h2m35s sd=1h2m35s ipdv=193µs
seq=51 rtt=10.62ms rd=-1h3m34s sd=1h3m34s ipdv=157µs
seq=52 rtt=10.77ms rd=-1h4m33s sd=1h4m33s ipdv=154µs
seq=53 rtt=10.24ms rd=-1h5m31s sd=1h5m31s ipdv=527µs
seq=54 rtt=9.71ms rd=-1h6m30s sd=1h6m30s ipdv=529µs
seq=55 rtt=9.46ms rd=-1h7m29s sd=1h7m29s ipdv=256µs
