Data plane is up
Running irtt
UE IP is 10.45.0.43
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.73ms rd=-14m14s sd=14m14s ipdv=n/a
seq=1 rtt=21.75ms rd=-15m13s sd=15m13s ipdv=1.98ms
seq=2 rtt=19.59ms rd=-16m10s sd=16m10s ipdv=2.16ms
seq=3 rtt=19.35ms rd=-17m8s sd=17m8s ipdv=239µs
seq=4 rtt=17.61ms rd=-18m6s sd=18m6s ipdv=1.74ms
seq=5 rtt=15.45ms rd=-19m3s sd=19m3s ipdv=2.16ms
seq=6 rtt=13.22ms rd=-20m0s sd=20m0s ipdv=2.23ms
seq=7 rtt=10.63ms rd=-20m57s sd=20m57s ipdv=2.59ms
seq=8 rtt=29.81ms rd=-21m56s sd=21m56s ipdv=19.18ms
seq=9 rtt=28.4ms rd=-22m53s sd=22m53s ipdv=1.42ms
seq=10 rtt=26.1ms rd=-23m50s sd=23m50s ipdv=2.29ms
seq=11 rtt=23.75ms rd=-24m47s sd=24m47s ipdv=2.36ms
seq=12 rtt=21.36ms rd=-25m44s sd=25m44s ipdv=2.38ms
seq=13 rtt=19.07ms rd=-26m41s sd=26m41s ipdv=2.3ms
seq=14 rtt=15.74ms rd=-27m38s sd=27m38s ipdv=3.33ms
seq=15 rtt=13.03ms rd=-28m35s sd=28m35s ipdv=2.71ms
seq=16 rtt=10.63ms rd=-29m32s sd=29m32s ipdv=2.4ms
seq=17 rtt=10.33ms rd=-30m29s sd=30m29s ipdv=303µs
seq=18 rtt=9.41ms rd=-31m27s sd=31m27s ipdv=918µs
seq=19 rtt=30.09ms rd=-32m29s sd=32m29s ipdv=20.68ms
seq=20 rtt=29.66ms rd=-33m27s sd=33m27s ipdv=425µs
seq=21 rtt=28.57ms rd=-34m25s sd=34m25s ipdv=1.09ms
seq=22 rtt=26.61ms rd=-35m23s sd=35m23s ipdv=1.96ms
seq=23 rtt=25.65ms rd=-36m22s sd=36m22s ipdv=962µs
seq=24 rtt=24.91ms rd=-37m20s sd=37m20s ipdv=739µs
seq=25 rtt=23.78ms rd=-38m19s sd=38m19s ipdv=1.13ms
seq=26 rtt=22.59ms rd=-39m17s sd=39m17s ipdv=1.19ms
seq=27 rtt=21.61ms rd=-40m15s sd=40m15s ipdv=986µs
seq=28 rtt=20.29ms rd=-41m13s sd=41m13s ipdv=1.32ms
seq=29 rtt=19.83ms rd=-42m12s sd=42m12s ipdv=461µs
seq=30 rtt=19.05ms rd=-43m11s sd=43m11s ipdv=779µs
seq=31 rtt=19.05ms rd=-44m10s sd=44m10s ipdv=1.52µs
seq=32 rtt=18.08ms rd=-45m8s sd=45m8s ipdv=966µs
seq=33 rtt=17.16ms rd=-46m7s sd=46m7s ipdv=925µs
seq=34 rtt=16.17ms rd=-47m6s sd=47m6s ipdv=989µs
seq=35 rtt=16.21ms rd=-48m5s sd=48m5s ipdv=40.9µs
seq=36 rtt=14.91ms rd=-49m4s sd=49m4s ipdv=1.29ms
seq=37 rtt=15.02ms rd=-50m2s sd=50m3s ipdv=106µs
seq=38 rtt=14.21ms rd=-51m1s sd=51m1s ipdv=809µs
seq=39 rtt=13.12ms rd=-52m0s sd=52m0s ipdv=1.09ms
seq=40 rtt=13.03ms rd=-52m59s sd=52m59s ipdv=92.5µs
seq=41 rtt=11.92ms rd=-53m58s sd=53m58s ipdv=1.11ms
seq=42 rtt=11ms rd=-54m56s sd=54m56s ipdv=924µs
seq=43 rtt=10.72ms rd=-55m55s sd=55m55s ipdv=281µs
seq=44 rtt=9.74ms rd=-56m54s sd=56m54s ipdv=984µs
seq=45 rtt=9.91ms rd=-57m53s sd=57m53s ipdv=178µs
seq=46 rtt=30.36ms rd=-58m54s sd=58m54s ipdv=20.44ms
seq=47 rtt=139.1ms rd=-59m52s sd=59m52s ipdv=108.8ms
seq=48 rtt=29.85ms rd=-1h0m51s sd=1h0m51s ipdv=109.3ms
seq=49 rtt=29.69ms rd=-1h1m50s sd=1h1m50s ipdv=159µs
seq=50 rtt=28.1ms rd=-1h2m49s sd=1h2m49s ipdv=1.59ms
seq=51 rtt=27.6ms rd=-1h3m47s sd=1h3m47s ipdv=502µs
seq=52 rtt=27.07ms rd=-1h4m46s sd=1h4m46s ipdv=536µs
seq=53 rtt=25.64ms rd=-1h5m45s sd=1h5m45s ipdv=1.42ms
seq=54 rtt=25.1ms rd=-1h6m43s sd=1h6m43s ipdv=547µs
seq=55 rtt=24.97ms rd=-1h7m42s sd=1h7m42s ipdv=127µs
