Data plane is up
Running irtt
UE IP is 10.45.0.64
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.76ms rd=-14m14s sd=14m14s ipdv=n/a
seq=1 rtt=23.02ms rd=-15m13s sd=15m13s ipdv=741µs
seq=2 rtt=20.97ms rd=-16m10s sd=16m10s ipdv=2.05ms
seq=3 rtt=20.11ms rd=-17m8s sd=17m8s ipdv=854µs
seq=4 rtt=19.06ms rd=-18m6s sd=18m6s ipdv=1.05ms
seq=5 rtt=16.67ms rd=-19m3s sd=19m3s ipdv=2.4ms
seq=6 rtt=14.63ms rd=-20m0s sd=20m0s ipdv=2.04ms
seq=7 rtt=12.64ms rd=-20m57s sd=20m57s ipdv=1.99ms
seq=8 rtt=10.8ms rd=-21m54s sd=21m54s ipdv=1.84ms
seq=9 rtt=9.56ms rd=-22m51s sd=22m51s ipdv=1.24ms
seq=10 rtt=30.34ms rd=-23m50s sd=23m50s ipdv=20.78ms
seq=11 rtt=28.57ms rd=-24m47s sd=24m47s ipdv=1.77ms
seq=12 rtt=26.88ms rd=-25m44s sd=25m44s ipdv=1.69ms
seq=13 rtt=24.88ms rd=-26m41s sd=26m41s ipdv=2ms
seq=14 rtt=22.78ms rd=-27m38s sd=27m38s ipdv=2.11ms
seq=15 rtt=20.86ms rd=-28m35s sd=28m35s ipdv=1.91ms
seq=16 rtt=18.88ms rd=-29m31s sd=29m32s ipdv=1.99ms
seq=17 rtt=16.84ms rd=-30m29s sd=30m29s ipdv=2.03ms
seq=18 rtt=15.88ms rd=-31m27s sd=31m27s ipdv=959µs
seq=19 rtt=16ms rd=-32m26s sd=32m26s ipdv=115µs
seq=20 rtt=14.82ms rd=-33m24s sd=33m24s ipdv=1.18ms
seq=21 rtt=14.94ms rd=-34m22s sd=34m22s ipdv=119µs
seq=22 rtt=14.32ms rd=-35m21s sd=35m21s ipdv=622µs
seq=23 rtt=13.05ms rd=-36m19s sd=36m19s ipdv=1.27ms
seq=24 rtt=12.52ms rd=-37m17s sd=37m17s ipdv=523µs
seq=25 rtt=12.15ms rd=-38m16s sd=38m16s ipdv=374µs
seq=26 rtt=11.13ms rd=-39m14s sd=39m14s ipdv=1.02ms
seq=27 rtt=11.1ms rd=-40m12s sd=40m12s ipdv=33.1µs
seq=28 rtt=10.03ms rd=-41m11s sd=41m11s ipdv=1.07ms
seq=29 rtt=9.98ms rd=-42m9s sd=42m9s ipdv=55.6µs
seq=30 rtt=9.63ms rd=-43m8s sd=43m8s ipdv=344µs
seq=31 rtt=10.65ms rd=-44m7s sd=44m7s ipdv=1.02ms
seq=32 rtt=10.58ms rd=-45m6s sd=45m6s ipdv=77.3µs
seq=33 rtt=10.19ms rd=-46m5s sd=46m5s ipdv=381µs
seq=34 rtt=9.58ms rd=-47m3s sd=47m3s ipdv=615µs
seq=35 rtt=10.44ms rd=-48m2s sd=48m2s ipdv=857µs
seq=36 rtt=9.59ms rd=-49m1s sd=49m1s ipdv=844µs
seq=37 rtt=9.84ms rd=-50m0s sd=50m0s ipdv=245µs
seq=38 rtt=9.47ms rd=-50m59s sd=50m59s ipdv=363µs
seq=39 rtt=9.79ms rd=-51m57s sd=51m57s ipdv=317µs
seq=40 rtt=9.63ms rd=-52m56s sd=52m56s ipdv=158µs
seq=41 rtt=9.79ms rd=-53m55s sd=53m55s ipdv=153µs
seq=42 rtt=9.62ms rd=-54m54s sd=54m54s ipdv=170µs
seq=43 rtt=30.74ms rd=-55m55s sd=55m55s ipdv=21.13ms
seq=44 rtt=139.6ms rd=-56m54s sd=56m54s ipdv=108.8ms
seq=45 rtt=30.09ms rd=-57m52s sd=57m52s ipdv=109.5ms
seq=46 rtt=139.2ms rd=-58m51s sd=58m51s ipdv=109.1ms
seq=47 rtt=29.99ms rd=-59m50s sd=59m50s ipdv=109.2ms
seq=48 rtt=139.2ms rd=-1h0m48s sd=1h0m48s ipdv=109.2ms
seq=49 rtt=30.15ms rd=-1h1m47s sd=1h1m47s ipdv=109ms
seq=50 rtt=30.5ms rd=-1h2m46s sd=1h2m46s ipdv=349µs
seq=51 rtt=30.65ms rd=-1h3m45s sd=1h3m45s ipdv=152µs
seq=52 rtt=29.32ms rd=-1h4m43s sd=1h4m43s ipdv=1.32ms
seq=53 rtt=29.24ms rd=-1h5m42s sd=1h5m42s ipdv=81.2µs
seq=54 rtt=29.14ms rd=-1h6m41s sd=1h6m41s ipdv=106µs
seq=55 rtt=28.72ms rd=-1h7m39s sd=1h7m39s ipdv=420µs
