Data plane is up
Running irtt
UE IP is 10.45.0.25
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.6ms rd=-12m50s sd=12m50s ipdv=n/a
seq=1 rtt=22.76ms rd=-13m49s sd=13m49s ipdv=836µs
seq=2 rtt=23.76ms rd=-14m48s sd=14m48s ipdv=1ms
seq=3 rtt=25.17ms rd=-15m46s sd=15m46s ipdv=1.4ms
seq=4 rtt=23.4ms rd=-16m44s sd=16m44s ipdv=1.77ms
seq=5 rtt=22.1ms rd=-17m41s sd=17m41s ipdv=1.29ms
seq=6 rtt=21.06ms rd=-18m38s sd=18m38s ipdv=1.04ms
seq=7 rtt=18.87ms rd=-19m35s sd=19m35s ipdv=2.19ms
seq=8 rtt=16.77ms rd=-20m32s sd=20m32s ipdv=2.1ms
seq=9 rtt=15.38ms rd=-21m29s sd=21m29s ipdv=1.39ms
seq=10 rtt=13.42ms rd=-22m26s sd=22m26s ipdv=1.96ms
seq=11 rtt=10.73ms rd=-23m23s sd=23m23s ipdv=2.69ms
seq=12 rtt=9.84ms rd=-24m20s sd=24m20s ipdv=883µs
seq=13 rtt=138.7ms rd=-25m19s sd=25m19s ipdv=128.9ms
seq=14 rtt=28.65ms rd=-26m16s sd=26m16s ipdv=110.1ms
seq=15 rtt=26.38ms rd=-27m13s sd=27m13s ipdv=2.26ms
seq=16 rtt=24.32ms rd=-28m10s sd=28m10s ipdv=2.06ms
seq=17 rtt=22.66ms rd=-29m7s sd=29m7s ipdv=1.66ms
seq=18 rtt=21.54ms rd=-30m5s sd=30m5s ipdv=1.12ms
seq=19 rtt=30.16ms rd=-31m3s sd=31m3s ipdv=8.62ms
seq=20 rtt=28.69ms rd=-32m2s sd=32m2s ipdv=1.47ms
seq=21 rtt=28.44ms rd=-33m0s sd=33m0s ipdv=244µs
seq=22 rtt=27.9ms rd=-33m58s sd=33m58s ipdv=538µs
seq=23 rtt=27.46ms rd=-34m57s sd=34m57s ipdv=443µs
seq=24 rtt=26.08ms rd=-35m55s sd=35m55s ipdv=1.39ms
seq=25 rtt=26.65ms rd=-36m54s sd=36m54s ipdv=574µs
seq=26 rtt=25.78ms rd=-37m52s sd=37m52s ipdv=872µs
seq=27 rtt=24.42ms rd=-38m50s sd=38m50s ipdv=1.36ms
seq=28 rtt=23.91ms rd=-39m48s sd=39m48s ipdv=504µs
seq=29 rtt=23.18ms rd=-40m47s sd=40m47s ipdv=735µs
seq=30 rtt=22.61ms rd=-41m45s sd=41m45s ipdv=573µs
seq=31 rtt=22.94ms rd=-42m44s sd=42m44s ipdv=335µs
seq=32 rtt=23.18ms rd=-43m43s sd=43m43s ipdv=237µs
seq=33 rtt=22.88ms rd=-44m42s sd=44m42s ipdv=298µs
seq=34 rtt=22.51ms rd=-45m40s sd=45m40s ipdv=364µs
seq=35 rtt=23.03ms rd=-46m39s sd=46m39s ipdv=518µs
seq=36 rtt=22.48ms rd=-47m38s sd=47m38s ipdv=556µs
seq=37 rtt=21.7ms rd=-48m37s sd=48m37s ipdv=777µs
seq=38 rtt=22.42ms rd=-49m35s sd=49m35s ipdv=716µs
seq=39 rtt=21.76ms rd=-50m34s sd=50m34s ipdv=652µs
seq=40 rtt=21.35ms rd=-51m33s sd=51m33s ipdv=415µs
seq=41 rtt=21.76ms rd=-52m32s sd=52m32s ipdv=411µs
seq=42 rtt=21.48ms rd=-53m31s sd=53m31s ipdv=282µs
seq=43 rtt=21.73ms rd=-54m30s sd=54m30s ipdv=257µs
seq=44 rtt=21.32ms rd=-55m28s sd=55m28s ipdv=415µs
seq=45 rtt=20.75ms rd=-56m27s sd=56m27s ipdv=573µs
seq=46 rtt=20.12ms rd=-57m25s sd=57m25s ipdv=630µs
seq=47 rtt=20.6ms rd=-58m24s sd=58m24s ipdv=487µs
seq=48 rtt=20.04ms rd=-59m23s sd=59m23s ipdv=558µs
seq=49 rtt=19.44ms rd=-1h0m22s sd=1h0m22s ipdv=609µs
seq=50 rtt=19.15ms rd=-1h1m20s sd=1h1m20s ipdv=282µs
seq=51 rtt=19.65ms rd=-1h2m19s sd=1h2m19s ipdv=494µs
seq=52 rtt=19.11ms rd=-1h3m18s sd=1h3m18s ipdv=534µs
seq=53 rtt=18.72ms rd=-1h4m16s sd=1h4m16s ipdv=395µs
seq=54 rtt=18.42ms rd=-1h5m15s sd=1h5m15s ipdv=302µs
seq=55 rtt=18.68ms rd=-1h6m14s sd=1h6m14s ipdv=264µs
seq=56 rtt=18.32ms rd=-1h7m12s sd=1h7m12s ipdv=364µs
