Data plane is up
Running irtt
UE IP is 10.45.0.73
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.76ms rd=-14m19s sd=14m19s ipdv=n/a
seq=1 rtt=23.02ms rd=-15m18s sd=15m18s ipdv=749µs
seq=2 rtt=20.63ms rd=-16m15s sd=16m15s ipdv=2.39ms
seq=3 rtt=20.14ms rd=-17m13s sd=17m13s ipdv=492µs
seq=4 rtt=17.84ms rd=-18m10s sd=18m10s ipdv=2.3ms
seq=5 rtt=16.72ms rd=-19m8s sd=19m8s ipdv=1.12ms
seq=6 rtt=14.53ms rd=-20m4s sd=20m4s ipdv=2.19ms
seq=7 rtt=12.99ms rd=-21m2s sd=21m2s ipdv=1.54ms
seq=8 rtt=10.73ms rd=-21m58s sd=21m58s ipdv=2.27ms
seq=9 rtt=9.97ms rd=-22m56s sd=22m56s ipdv=756µs
seq=10 rtt=30.1ms rd=-23m55s sd=23m55s ipdv=20.13ms
seq=11 rtt=28.33ms rd=-24m52s sd=24m52s ipdv=1.78ms
seq=12 rtt=26.62ms rd=-25m49s sd=25m49s ipdv=1.71ms
seq=13 rtt=23.51ms rd=-26m45s sd=26m45s ipdv=3.11ms
seq=14 rtt=21.52ms rd=-27m43s sd=27m43s ipdv=1.98ms
seq=15 rtt=19.21ms rd=-28m39s sd=28m39s ipdv=2.31ms
seq=16 rtt=17.6ms rd=-29m36s sd=29m36s ipdv=1.61ms
seq=17 rtt=16.68ms rd=-30m34s sd=30m34s ipdv=921µs
seq=18 rtt=16.13ms rd=-31m32s sd=31m32s ipdv=550µs
seq=19 rtt=15.23ms rd=-32m31s sd=32m31s ipdv=898µs
seq=20 rtt=14.28ms rd=-33m29s sd=33m29s ipdv=947µs
seq=21 rtt=13.9ms rd=-34m27s sd=34m27s ipdv=382µs
seq=22 rtt=13.19ms rd=-35m26s sd=35m26s ipdv=710µs
seq=23 rtt=12.07ms rd=-36m24s sd=36m24s ipdv=1.12ms
seq=24 rtt=12.2ms rd=-37m22s sd=37m22s ipdv=136µs
seq=25 rtt=10.89ms rd=-38m20s sd=38m20s ipdv=1.31ms
seq=26 rtt=10.87ms rd=-39m19s sd=39m19s ipdv=19µs
seq=27 rtt=9.66ms rd=-40m17s sd=40m17s ipdv=1.21ms
seq=28 rtt=9.96ms rd=-41m16s sd=41m16s ipdv=300µs
seq=29 rtt=9.85ms rd=-42m14s sd=42m14s ipdv=111µs
seq=30 rtt=9.91ms rd=-43m13s sd=43m13s ipdv=56.6µs
seq=31 rtt=9.67ms rd=-44m12s sd=44m12s ipdv=238µs
seq=32 rtt=9.59ms rd=-45m11s sd=45m11s ipdv=76.9µs
seq=33 rtt=30.84ms rd=-46m12s sd=46m12s ipdv=21.25ms
seq=34 rtt=31.77ms rd=-47m11s sd=47m11s ipdv=924µs
seq=35 rtt=30.58ms rd=-48m10s sd=48m10s ipdv=1.19ms
seq=36 rtt=31.7ms rd=-49m8s sd=49m8s ipdv=1.12ms
seq=37 rtt=9.69ms rd=-50m5s sd=50m5s ipdv=22.01ms
seq=38 rtt=9.61ms rd=-51m4s sd=51m4s ipdv=77.7µs
seq=39 rtt=30.06ms rd=-52m5s sd=52m5s ipdv=20.45ms
seq=40 rtt=31.1ms rd=-53m4s sd=53m4s ipdv=1.04ms
seq=41 rtt=30.68ms rd=-54m3s sd=54m3s ipdv=424µs
seq=42 rtt=30.76ms rd=-55m1s sd=55m1s ipdv=82.5µs
seq=43 rtt=30.12ms rd=-56m0s sd=56m0s ipdv=638µs
seq=44 rtt=30.36ms rd=-56m59s sd=56m59s ipdv=237µs
seq=45 rtt=30.2ms rd=-57m58s sd=57m58s ipdv=156µs
seq=46 rtt=29.51ms rd=-58m56s sd=58m56s ipdv=692µs
seq=47 rtt=30.28ms rd=-59m55s sd=59m55s ipdv=769µs
seq=48 rtt=29.38ms rd=-1h0m53s sd=1h0m53s ipdv=895µs
seq=49 rtt=28.77ms rd=-1h1m52s sd=1h1m52s ipdv=615µs
seq=50 rtt=28.56ms rd=-1h2m51s sd=1h2m51s ipdv=207µs
seq=51 rtt=28.88ms rd=-1h3m50s sd=1h3m50s ipdv=316µs
seq=52 rtt=28.45ms rd=-1h4m48s sd=1h4m48s ipdv=429µs
seq=53 rtt=27.75ms rd=-1h5m47s sd=1h5m47s ipdv=696µs
seq=54 rtt=27.29ms rd=-1h6m45s sd=1h6m45s ipdv=461µs
seq=55 rtt=27.83ms rd=-1h7m44s sd=1h7m44s ipdv=538µs
