Data plane is up
Running irtt
UE IP is 10.45.0.124
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.6ms rd=-14m18s sd=14m18s ipdv=n/a
seq=1 rtt=21.66ms rd=-15m16s sd=15m16s ipdv=1.94ms
seq=2 rtt=19.23ms rd=-16m13s sd=16m14s ipdv=2.43ms
seq=3 rtt=18.22ms rd=-17m12s sd=17m12s ipdv=1.01ms
seq=4 rtt=16.49ms rd=-18m9s sd=18m9s ipdv=1.72ms
seq=5 rtt=14.46ms rd=-19m6s sd=19m6s ipdv=2.04ms
seq=6 rtt=11.3ms rd=-20m3s sd=20m3s ipdv=3.16ms
seq=7 rtt=10.25ms rd=-21m0s sd=21m0s ipdv=1.05ms
seq=8 rtt=29.78ms rd=-22m0s sd=22m0s ipdv=19.53ms
seq=9 rtt=27.3ms rd=-22m57s sd=22m57s ipdv=2.48ms
seq=10 rtt=25ms rd=-23m53s sd=23m53s ipdv=2.29ms
seq=11 rtt=21.87ms rd=-24m50s sd=24m50s ipdv=3.13ms
seq=12 rtt=20.28ms rd=-25m47s sd=25m47s ipdv=1.59ms
seq=13 rtt=17.19ms rd=-26m44s sd=26m44s ipdv=3.09ms
seq=14 rtt=15.06ms rd=-27m41s sd=27m41s ipdv=2.13ms
seq=15 rtt=12.19ms rd=-28m38s sd=28m38s ipdv=2.87ms
seq=16 rtt=10.25ms rd=-29m35s sd=29m35s ipdv=1.94ms
seq=17 rtt=31.74ms rd=-30m35s sd=30m35s ipdv=21.49ms
seq=18 rtt=30.36ms rd=-31m34s sd=31m34s ipdv=1.38ms
seq=19 rtt=30.02ms rd=-32m32s sd=32m32s ipdv=345µs
seq=20 rtt=28.5ms rd=-33m30s sd=33m30s ipdv=1.52ms
seq=21 rtt=27.33ms rd=-34m28s sd=34m28s ipdv=1.18ms
seq=22 rtt=26.21ms rd=-35m27s sd=35m27s ipdv=1.11ms
seq=23 rtt=24.64ms rd=-36m25s sd=36m25s ipdv=1.57ms
seq=24 rtt=23.72ms rd=-37m24s sd=37m24s ipdv=923µs
seq=25 rtt=22.5ms rd=-38m22s sd=38m22s ipdv=1.22ms
seq=26 rtt=21.41ms rd=-39m20s sd=39m20s ipdv=1.09ms
seq=27 rtt=20.51ms rd=-40m19s sd=40m19s ipdv=899µs
seq=28 rtt=19.28ms rd=-41m17s sd=41m17s ipdv=1.23ms
seq=29 rtt=18.11ms rd=-42m15s sd=42m15s ipdv=1.18ms
seq=30 rtt=20.44ms rd=-43m14s sd=43m14s ipdv=2.33ms
seq=31 rtt=19.32ms rd=-44m13s sd=44m13s ipdv=1.12ms
seq=32 rtt=18.89ms rd=-45m12s sd=45m12s ipdv=430µs
seq=33 rtt=18.18ms rd=-46m11s sd=46m11s ipdv=708µs
seq=34 rtt=18.09ms rd=-47m10s sd=47m10s ipdv=88.6µs
seq=35 rtt=17.02ms rd=-48m9s sd=48m9s ipdv=1.07ms
seq=36 rtt=16ms rd=-49m7s sd=49m7s ipdv=1.02ms
seq=37 rtt=15.27ms rd=-50m6s sd=50m6s ipdv=722µs
seq=38 rtt=15.02ms rd=-51m5s sd=51m5s ipdv=253µs
seq=39 rtt=14.54ms rd=-52m4s sd=52m4s ipdv=481µs
seq=40 rtt=13.54ms rd=-53m3s sd=53m3s ipdv=998µs
seq=41 rtt=13.41ms rd=-54m1s sd=54m1s ipdv=130µs
seq=42 rtt=11.79ms rd=-55m0s sd=55m0s ipdv=1.62ms
seq=43 rtt=12.04ms rd=-55m59s sd=55m59s ipdv=250µs
seq=44 rtt=10.79ms rd=-56m57s sd=56m57s ipdv=1.25ms
seq=45 rtt=9.7ms rd=-57m56s sd=57m56s ipdv=1.08ms
seq=46 rtt=10.01ms rd=-58m55s sd=58m55s ipdv=309µs
seq=47 rtt=9.86ms rd=-59m54s sd=59m54s ipdv=154µs
seq=48 rtt=31.62ms rd=-1h0m55s sd=1h0m55s ipdv=21.76ms
seq=49 rtt=29.61ms rd=-1h1m53s sd=1h1m53s ipdv=2.01ms
seq=50 rtt=30.1ms rd=-1h2m52s sd=1h2m52s ipdv=487µs
seq=51 rtt=28.51ms rd=-1h3m51s sd=1h3m51s ipdv=1.59ms
seq=52 rtt=27.66ms rd=-1h4m50s sd=1h4m50s ipdv=850µs
seq=53 rtt=27.56ms rd=-1h5m48s sd=1h5m48s ipdv=93.8µs
seq=54 rtt=26.95ms rd=-1h6m47s sd=1h6m47s ipdv=609µs
