Data plane is up
Running irtt
UE IP is 10.45.0.106
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.86ms rd=-13m49s sd=13m49s ipdv=n/a
seq=1 rtt=23.26ms rd=-14m48s sd=14m48s ipdv=594µs
seq=2 rtt=24.82ms rd=-15m46s sd=15m46s ipdv=1.56ms
seq=3 rtt=23.7ms rd=-16m44s sd=16m44s ipdv=1.12ms
seq=4 rtt=22.1ms rd=-17m41s sd=17m41s ipdv=1.6ms
seq=5 rtt=21.11ms rd=-18m38s sd=18m38s ipdv=990µs
seq=6 rtt=19.18ms rd=-19m35s sd=19m35s ipdv=1.94ms
seq=7 rtt=16.82ms rd=-20m32s sd=20m32s ipdv=2.36ms
seq=8 rtt=14.73ms rd=-21m29s sd=21m29s ipdv=2.09ms
seq=9 rtt=13.77ms rd=-22m26s sd=22m26s ipdv=957µs
seq=10 rtt=11.87ms rd=-23m23s sd=23m23s ipdv=1.9ms
seq=11 rtt=9.8ms rd=-24m20s sd=24m20s ipdv=2.07ms
seq=12 rtt=30.43ms rd=-25m19s sd=25m19s ipdv=20.63ms
seq=13 rtt=28.6ms rd=-26m16s sd=26m16s ipdv=1.83ms
seq=14 rtt=26.43ms rd=-27m13s sd=27m13s ipdv=2.17ms
seq=15 rtt=24.87ms rd=-28m10s sd=28m10s ipdv=1.56ms
seq=16 rtt=22.76ms rd=-29m7s sd=29m7s ipdv=2.11ms
seq=17 rtt=21.14ms rd=-30m5s sd=30m5s ipdv=1.62ms
seq=18 rtt=30.21ms rd=-31m3s sd=31m3s ipdv=9.07ms
seq=19 rtt=29.14ms rd=-32m2s sd=32m2s ipdv=1.07ms
seq=20 rtt=28.41ms rd=-33m0s sd=33m0s ipdv=732µs
seq=21 rtt=27.53ms rd=-33m58s sd=33m58s ipdv=875µs
seq=22 rtt=27.45ms rd=-34m57s sd=34m57s ipdv=85.3µs
seq=23 rtt=27.17ms rd=-35m55s sd=35m55s ipdv=275µs
seq=24 rtt=26.35ms rd=-36m54s sd=36m54s ipdv=820µs
seq=25 rtt=26.1ms rd=-37m52s sd=37m52s ipdv=252µs
seq=26 rtt=25.22ms rd=-38m50s sd=38m50s ipdv=885µs
seq=27 rtt=24.92ms rd=-39m48s sd=39m48s ipdv=294µs
seq=28 rtt=24.05ms rd=-40m47s sd=40m47s ipdv=872µs
seq=29 rtt=23.89ms rd=-41m45s sd=41m45s ipdv=162µs
seq=30 rtt=24.03ms rd=-42m44s sd=42m44s ipdv=142µs
seq=31 rtt=23.73ms rd=-43m43s sd=43m43s ipdv=303µs
seq=32 rtt=24.07ms rd=-44m42s sd=44m42s ipdv=347µs
seq=33 rtt=23.72ms rd=-45m40s sd=45m40s ipdv=358µs
seq=34 rtt=24.02ms rd=-46m39s sd=46m39s ipdv=304µs
seq=35 rtt=23.62ms rd=-47m38s sd=47m38s ipdv=400µs
seq=36 rtt=24.07ms rd=-48m37s sd=48m37s ipdv=451µs
seq=37 rtt=24.86ms rd=-49m35s sd=49m35s ipdv=789µs
seq=38 rtt=24.08ms rd=-50m34s sd=50m34s ipdv=776µs
seq=39 rtt=24.94ms rd=-51m33s sd=51m33s ipdv=853µs
seq=40 rtt=24.77ms rd=-52m32s sd=52m32s ipdv=167µs
seq=41 rtt=24.22ms rd=-53m31s sd=53m31s ipdv=545µs
seq=42 rtt=23.97ms rd=-54m30s sd=54m30s ipdv=254µs
seq=43 rtt=24.51ms rd=-55m28s sd=55m28s ipdv=536µs
seq=44 rtt=23.54ms rd=-56m27s sd=56m27s ipdv=967µs
seq=45 rtt=24ms rd=-57m25s sd=57m25s ipdv=458µs
seq=46 rtt=23.55ms rd=-58m24s sd=58m24s ipdv=449µs
seq=47 rtt=22.89ms rd=-59m23s sd=59m23s ipdv=662µs
seq=48 rtt=22.9ms rd=-1h0m22s sd=1h0m22s ipdv=11.5µs
seq=49 rtt=22.49ms rd=-1h1m20s sd=1h1m20s ipdv=407µs
seq=50 rtt=22.92ms rd=-1h2m19s sd=1h2m19s ipdv=427µs
seq=51 rtt=22.51ms rd=-1h3m18s sd=1h3m18s ipdv=411µs
seq=52 rtt=21.72ms rd=-1h4m16s sd=1h4m17s ipdv=784µs
seq=53 rtt=22.41ms rd=-1h5m15s sd=1h5m15s ipdv=683µs
seq=54 rtt=21.68ms rd=-1h6m14s sd=1h6m14s ipdv=724µs
seq=55 rtt=21.32ms rd=-1h7m12s sd=1h7m12s ipdv=367µs
