Data plane is up
Running irtt
UE IP is 10.45.0.21
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.82ms rd=-13m47s sd=13m47s ipdv=n/a
seq=1 rtt=24.1ms rd=-14m45s sd=14m45s ipdv=274µs
seq=2 rtt=22.27ms rd=-15m43s sd=15m43s ipdv=1.83ms
seq=3 rtt=22.5ms rd=-16m41s sd=16m41s ipdv=236µs
seq=4 rtt=21.52ms rd=-17m39s sd=17m39s ipdv=981µs
seq=5 rtt=20.06ms rd=-18m36s sd=18m36s ipdv=1.46ms
seq=6 rtt=18.08ms rd=-19m33s sd=19m33s ipdv=1.99ms
seq=7 rtt=15.36ms rd=-20m30s sd=20m30s ipdv=2.71ms
seq=8 rtt=13.78ms rd=-21m27s sd=21m27s ipdv=1.59ms
seq=9 rtt=11.47ms rd=-22m24s sd=22m24s ipdv=2.31ms
seq=10 rtt=9.89ms rd=-23m21s sd=23m21s ipdv=1.58ms
seq=11 rtt=138.8ms rd=-24m20s sd=24m20s ipdv=128.9ms
seq=12 rtt=29.86ms rd=-25m17s sd=25m17s ipdv=109ms
seq=13 rtt=27.7ms rd=-26m14s sd=26m14s ipdv=2.16ms
seq=14 rtt=25.27ms rd=-27m11s sd=27m11s ipdv=2.43ms
seq=15 rtt=23.78ms rd=-28m8s sd=28m8s ipdv=1.49ms
seq=16 rtt=21.69ms rd=-29m5s sd=29m5s ipdv=2.08ms
seq=17 rtt=19.02ms rd=-30m2s sd=30m2s ipdv=2.67ms
seq=18 rtt=17.76ms rd=-31m0s sd=31m0s ipdv=1.25ms
seq=19 rtt=18.42ms rd=-31m58s sd=31m58s ipdv=655µs
seq=20 rtt=17.9ms rd=-32m57s sd=32m57s ipdv=522µs
seq=21 rtt=17.29ms rd=-33m55s sd=33m55s ipdv=609µs
seq=22 rtt=16.08ms rd=-34m53s sd=34m53s ipdv=1.21ms
seq=23 rtt=16.14ms rd=-35m52s sd=35m52s ipdv=52.9µs
seq=24 rtt=15.5ms rd=-36m50s sd=36m50s ipdv=634µs
seq=25 rtt=14.82ms rd=-37m48s sd=37m48s ipdv=686µs
seq=26 rtt=14.17ms rd=-38m47s sd=38m47s ipdv=647µs
seq=27 rtt=14.2ms rd=-39m45s sd=39m45s ipdv=28.3µs
seq=28 rtt=13.13ms rd=-40m43s sd=40m43s ipdv=1.07ms
seq=29 rtt=12.26ms rd=-41m42s sd=41m42s ipdv=873µs
seq=30 rtt=12.77ms rd=-42m40s sd=42m40s ipdv=514µs
seq=31 rtt=11.78ms rd=-43m39s sd=43m39s ipdv=988µs
seq=32 rtt=11.8ms rd=-44m38s sd=44m38s ipdv=14.1µs
seq=33 rtt=12.28ms rd=-45m37s sd=45m37s ipdv=481µs
seq=34 rtt=11.82ms rd=-46m36s sd=46m36s ipdv=458µs
seq=35 rtt=11.23ms rd=-47m34s sd=47m34s ipdv=594µs
seq=36 rtt=11.32ms rd=-48m33s sd=48m33s ipdv=98.7µs
seq=37 rtt=11.58ms rd=-49m32s sd=49m32s ipdv=260µs
seq=38 rtt=11.77ms rd=-50m31s sd=50m31s ipdv=186µs
seq=39 rtt=10.88ms rd=-51m30s sd=51m30s ipdv=893µs
seq=40 rtt=10.69ms rd=-52m29s sd=52m29s ipdv=191µs
seq=41 rtt=11.33ms rd=-53m27s sd=53m27s ipdv=643µs
seq=42 rtt=10.62ms rd=-54m26s sd=54m26s ipdv=714µs
seq=43 rtt=10.63ms rd=-55m25s sd=55m25s ipdv=10.9µs
seq=44 rtt=10.67ms rd=-56m24s sd=56m24s ipdv=38.8µs
seq=45 rtt=9.63ms rd=-57m22s sd=57m22s ipdv=1.03ms
seq=46 rtt=9.43ms rd=-58m21s sd=58m21s ipdv=207µs
seq=47 rtt=9.63ms rd=-59m20s sd=59m20s ipdv=202µs
seq=48 rtt=9.5ms rd=-1h0m18s sd=1h0m18s ipdv=131µs
seq=49 rtt=9.68ms rd=-1h1m17s sd=1h1m17s ipdv=179µs
seq=50 rtt=9.49ms rd=-1h2m16s sd=1h2m16s ipdv=186µs
seq=51 rtt=9.71ms rd=-1h3m14s sd=1h3m15s ipdv=222µs
seq=52 rtt=9.46ms rd=-1h4m13s sd=1h4m13s ipdv=249µs
seq=53 rtt=9.72ms rd=-1h5m12s sd=1h5m12s ipdv=261µs
seq=54 rtt=9.36ms rd=-1h6m11s sd=1h6m11s ipdv=362µs
seq=55 rtt=30.04ms rd=-1h7m12s sd=1h7m12s ipdv=20.68ms
