Data plane is up
Running irtt
UE IP is 10.45.0.17
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.71ms rd=-13m5s sd=13m5s ipdv=n/a
seq=1 rtt=23.89ms rd=-14m4s sd=14m4s ipdv=179µs
seq=2 rtt=22.65ms rd=-15m2s sd=15m2s ipdv=1.24ms
seq=3 rtt=21.08ms rd=-16m0s sd=16m0s ipdv=1.57ms
seq=4 rtt=21.24ms rd=-16m58s sd=16m58s ipdv=154µs
seq=5 rtt=19.25ms rd=-17m55s sd=17m55s ipdv=1.99ms
seq=6 rtt=17.74ms rd=-18m52s sd=18m52s ipdv=1.51ms
seq=7 rtt=15.85ms rd=-19m50s sd=19m50s ipdv=1.9ms
seq=8 rtt=13.76ms rd=-20m47s sd=20m47s ipdv=2.09ms
seq=9 rtt=11.62ms rd=-21m43s sd=21m43s ipdv=2.14ms
seq=10 rtt=9.77ms rd=-22m40s sd=22m40s ipdv=1.85ms
seq=11 rtt=9.66ms rd=-23m37s sd=23m37s ipdv=110µs
seq=12 rtt=29.88ms rd=-24m37s sd=24m37s ipdv=20.22ms
seq=13 rtt=27.7ms rd=-25m33s sd=25m33s ipdv=2.18ms
seq=14 rtt=25.82ms rd=-26m30s sd=26m30s ipdv=1.88ms
seq=15 rtt=23.71ms rd=-27m27s sd=27m27s ipdv=2.12ms
seq=16 rtt=21.63ms rd=-28m24s sd=28m24s ipdv=2.08ms
seq=17 rtt=19.75ms rd=-29m21s sd=29m21s ipdv=1.88ms
seq=18 rtt=18.77ms rd=-30m19s sd=30m19s ipdv=979µs
seq=19 rtt=17.7ms rd=-31m17s sd=31m17s ipdv=1.07ms
seq=20 rtt=17.34ms rd=-32m15s sd=32m15s ipdv=358µs
seq=21 rtt=16.97ms rd=-33m13s sd=33m13s ipdv=375µs
seq=22 rtt=15.83ms rd=-34m12s sd=34m12s ipdv=1.14ms
seq=23 rtt=15.77ms rd=-35m10s sd=35m10s ipdv=56µs
seq=24 rtt=14.93ms rd=-36m8s sd=36m8s ipdv=838µs
seq=25 rtt=14.6ms rd=-37m7s sd=37m7s ipdv=337µs
seq=26 rtt=14.04ms rd=-38m5s sd=38m5s ipdv=554µs
seq=27 rtt=13.02ms rd=-39m4s sd=39m4s ipdv=1.03ms
seq=28 rtt=13.47ms rd=-40m2s sd=40m2s ipdv=458µs
seq=29 rtt=11.82ms rd=-41m0s sd=41m0s ipdv=1.65ms
seq=30 rtt=11.22ms rd=-41m58s sd=41m58s ipdv=599µs
seq=31 rtt=14.11ms rd=-42m58s sd=42m58s ipdv=2.88ms
seq=32 rtt=14.69ms rd=-43m56s sd=43m56s ipdv=581µs
seq=33 rtt=13.65ms rd=-44m55s sd=44m55s ipdv=1.03ms
seq=34 rtt=13.76ms rd=-45m54s sd=45m54s ipdv=106µs
seq=35 rtt=13.76ms rd=-46m53s sd=46m53s ipdv=3.4µs
seq=36 rtt=14.58ms rd=-47m52s sd=47m52s ipdv=816µs
seq=37 rtt=14.18ms rd=-48m50s sd=48m50s ipdv=399µs
seq=38 rtt=13.56ms rd=-49m49s sd=49m49s ipdv=617µs
seq=39 rtt=13.16ms rd=-50m48s sd=50m48s ipdv=407µs
seq=40 rtt=14.07ms rd=-51m47s sd=51m47s ipdv=918µs
seq=41 rtt=12.85ms rd=-52m46s sd=52m46s ipdv=1.22ms
seq=42 rtt=13.91ms rd=-53m45s sd=53m45s ipdv=1.05ms
seq=43 rtt=13.07ms rd=-54m43s sd=54m43s ipdv=841µs
seq=44 rtt=13.51ms rd=-55m42s sd=55m42s ipdv=443µs
seq=45 rtt=13.07ms rd=-56m41s sd=56m41s ipdv=439µs
seq=46 rtt=12.78ms rd=-57m39s sd=57m39s ipdv=285µs
seq=47 rtt=12.35ms rd=-58m38s sd=58m38s ipdv=437µs
seq=48 rtt=12.56ms rd=-59m37s sd=59m37s ipdv=213µs
seq=49 rtt=12.4ms rd=-1h0m35s sd=1h0m35s ipdv=162µs
seq=50 rtt=12.4ms rd=-1h1m34s sd=1h1m34s ipdv=3.61µs
seq=51 rtt=11.14ms rd=-1h2m33s sd=1h2m33s ipdv=1.26ms
seq=52 rtt=12.03ms rd=-1h3m31s sd=1h3m31s ipdv=885µs
seq=53 rtt=11.25ms rd=-1h4m30s sd=1h4m30s ipdv=781µs
seq=54 rtt=10.7ms rd=-1h5m29s sd=1h5m29s ipdv=545µs
seq=55 rtt=10.58ms rd=-1h6m27s sd=1h6m27s ipdv=124µs
seq=56 rtt=10.86ms rd=-1h7m26s sd=1h7m26s ipdv=281µs
