Data plane is up
Running irtt
UE IP is 10.45.0.108
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.6ms rd=-14m12s sd=14m12s ipdv=n/a
seq=1 rtt=22.23ms rd=-15m10s sd=15m10s ipdv=1.37ms
seq=2 rtt=21.11ms rd=-16m8s sd=16m8s ipdv=1.12ms
seq=3 rtt=20.77ms rd=-17m6s sd=17m6s ipdv=337µs
seq=4 rtt=18.89ms rd=-18m3s sd=18m3s ipdv=1.87ms
seq=5 rtt=16.88ms rd=-19m0s sd=19m0s ipdv=2.01ms
seq=6 rtt=14.51ms rd=-19m57s sd=19m57s ipdv=2.37ms
seq=7 rtt=12.73ms rd=-20m54s sd=20m54s ipdv=1.78ms
seq=8 rtt=10.22ms rd=-21m51s sd=21m51s ipdv=2.51ms
seq=9 rtt=9.84ms rd=-22m48s sd=22m48s ipdv=378µs
seq=10 rtt=29.64ms rd=-23m47s sd=23m47s ipdv=19.8ms
seq=11 rtt=28.87ms rd=-24m44s sd=24m44s ipdv=774µs
seq=12 rtt=26.58ms rd=-25m41s sd=25m41s ipdv=2.29ms
seq=13 rtt=24.59ms rd=-26m38s sd=26m38s ipdv=1.99ms
seq=14 rtt=22.65ms rd=-27m35s sd=27m35s ipdv=1.94ms
seq=15 rtt=20.58ms rd=-28m32s sd=28m32s ipdv=2.07ms
seq=16 rtt=17.96ms rd=-29m29s sd=29m29s ipdv=2.62ms
seq=17 rtt=17.7ms rd=-30m27s sd=30m27s ipdv=260µs
seq=18 rtt=16.77ms rd=-31m25s sd=31m25s ipdv=931µs
seq=19 rtt=15.98ms rd=-32m23s sd=32m23s ipdv=785µs
seq=20 rtt=14.76ms rd=-33m21s sd=33m21s ipdv=1.22ms
seq=21 rtt=14.2ms rd=-34m20s sd=34m20s ipdv=557µs
seq=22 rtt=14.03ms rd=-35m18s sd=35m18s ipdv=168µs
seq=23 rtt=13.08ms rd=-36m16s sd=36m16s ipdv=956µs
seq=24 rtt=13.29ms rd=-37m15s sd=37m15s ipdv=208µs
seq=25 rtt=11.93ms rd=-38m13s sd=38m13s ipdv=1.35ms
seq=26 rtt=12.15ms rd=-39m11s sd=39m11s ipdv=214µs
seq=27 rtt=11.1ms rd=-40m10s sd=40m10s ipdv=1.05ms
seq=28 rtt=9.83ms rd=-41m8s sd=41m8s ipdv=1.27ms
seq=29 rtt=10.52ms rd=-42m6s sd=42m6s ipdv=690µs
seq=30 rtt=10.59ms rd=-43m5s sd=43m5s ipdv=69.6µs
seq=31 rtt=9.6ms rd=-44m4s sd=44m4s ipdv=991µs
seq=32 rtt=10.7ms rd=-45m3s sd=45m3s ipdv=1.1ms
seq=33 rtt=9.48ms rd=-46m2s sd=46m2s ipdv=1.21ms
seq=34 rtt=9.87ms rd=-47m1s sd=47m1s ipdv=385µs
seq=35 rtt=9.54ms rd=-47m59s sd=47m59s ipdv=331µs
seq=36 rtt=9.79ms rd=-48m58s sd=48m58s ipdv=255µs
seq=37 rtt=9.43ms rd=-49m57s sd=49m57s ipdv=361µs
seq=38 rtt=10.6ms rd=-50m56s sd=50m56s ipdv=1.17ms
seq=39 rtt=9.53ms rd=-51m55s sd=51m55s ipdv=1.07ms
seq=40 rtt=10.24ms rd=-52m53s sd=52m53s ipdv=710µs
seq=41 rtt=9.6ms rd=-53m52s sd=53m52s ipdv=636µs
seq=42 rtt=139.8ms rd=-54m54s sd=54m54s ipdv=130.2ms
seq=43 rtt=30.24ms rd=-55m52s sd=55m52s ipdv=109.6ms
seq=44 rtt=139.8ms rd=-56m51s sd=56m51s ipdv=109.5ms
seq=45 rtt=30.21ms rd=-57m50s sd=57m50s ipdv=109.6ms
seq=46 rtt=30.83ms rd=-58m49s sd=58m49s ipdv=623µs
seq=47 rtt=30.14ms rd=-59m47s sd=59m47s ipdv=687µs
seq=48 rtt=30.82ms rd=-1h0m46s sd=1h0m46s ipdv=682µs
seq=49 rtt=30.28ms rd=-1h1m44s sd=1h1m44s ipdv=548µs
seq=50 rtt=29.97ms rd=-1h2m43s sd=1h2m43s ipdv=309µs
seq=51 rtt=30.6ms rd=-1h3m42s sd=1h3m42s ipdv=635µs
seq=52 rtt=30.43ms rd=-1h4m41s sd=1h4m41s ipdv=176µs
seq=53 rtt=29.64ms rd=-1h5m39s sd=1h5m39s ipdv=786µs
seq=54 rtt=29.59ms rd=-1h6m38s sd=1h6m38s ipdv=53.5µs
seq=55 rtt=29.19ms rd=-1h7m37s sd=1h7m37s ipdv=399µs
