Data plane is up
Running irtt
UE IP is 10.45.0.3
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.72ms rd=-13m33s sd=13m33s ipdv=n/a
seq=1 rtt=23.74ms rd=-14m32s sd=14m32s ipdv=13.1µs
seq=2 rtt=25.51ms rd=-15m30s sd=15m30s ipdv=1.77ms
seq=3 rtt=24.13ms rd=-16m27s sd=16m27s ipdv=1.38ms
seq=4 rtt=22.58ms rd=-17m25s sd=17m25s ipdv=1.54ms
seq=5 rtt=21.14ms rd=-18m22s sd=18m22s ipdv=1.45ms
seq=6 rtt=19.13ms rd=-19m19s sd=19m19s ipdv=2.01ms
seq=7 rtt=17.1ms rd=-20m16s sd=20m17s ipdv=2.03ms
seq=8 rtt=15.43ms rd=-21m13s sd=21m13s ipdv=1.66ms
seq=9 rtt=13.61ms rd=-22m10s sd=22m10s ipdv=1.83ms
seq=10 rtt=11.78ms rd=-23m7s sd=23m7s ipdv=1.83ms
seq=11 rtt=9.74ms rd=-24m4s sd=24m4s ipdv=2.04ms
seq=12 rtt=138.9ms rd=-25m3s sd=25m3s ipdv=129.1ms
seq=13 rtt=28.53ms rd=-26m0s sd=26m0s ipdv=110.3ms
seq=14 rtt=26.52ms rd=-26m57s sd=26m57s ipdv=2.02ms
seq=15 rtt=24.91ms rd=-27m54s sd=27m54s ipdv=1.61ms
seq=16 rtt=22.66ms rd=-28m51s sd=28m51s ipdv=2.24ms
seq=17 rtt=20.86ms rd=-29m48s sd=29m48s ipdv=1.8ms
seq=18 rtt=19.65ms rd=-30m46s sd=30m46s ipdv=1.21ms
seq=19 rtt=28.45ms rd=-31m45s sd=31m45s ipdv=8.8ms
seq=20 rtt=28.56ms rd=-32m44s sd=32m44s ipdv=106µs
seq=21 rtt=27.07ms rd=-33m42s sd=33m42s ipdv=1.48ms
seq=22 rtt=26.42ms rd=-34m40s sd=34m40s ipdv=655µs
seq=23 rtt=26.02ms rd=-35m38s sd=35m38s ipdv=401µs
seq=24 rtt=25.3ms rd=-36m37s sd=36m37s ipdv=719µs
seq=25 rtt=24.83ms rd=-37m35s sd=37m35s ipdv=465µs
seq=26 rtt=25.21ms rd=-38m34s sd=38m34s ipdv=379µs
seq=27 rtt=23.55ms rd=-39m32s sd=39m32s ipdv=1.67ms
seq=28 rtt=23.26ms rd=-40m31s sd=40m31s ipdv=281µs
seq=29 rtt=22.85ms rd=-41m29s sd=41m29s ipdv=419µs
seq=30 rtt=22.67ms rd=-42m27s sd=42m27s ipdv=177µs
seq=31 rtt=22.41ms rd=-43m26s sd=43m26s ipdv=259µs
seq=32 rtt=22.93ms rd=-44m25s sd=44m25s ipdv=522µs
seq=33 rtt=22.34ms rd=-45m24s sd=45m24s ipdv=592µs
seq=34 rtt=21.83ms rd=-46m23s sd=46m23s ipdv=508µs
seq=35 rtt=22.38ms rd=-47m21s sd=47m21s ipdv=550µs
seq=36 rtt=21.81ms rd=-48m20s sd=48m20s ipdv=568µs
seq=37 rtt=22.3ms rd=-49m19s sd=49m19s ipdv=485µs
seq=38 rtt=21.72ms rd=-50m18s sd=50m18s ipdv=581µs
seq=39 rtt=21.1ms rd=-51m17s sd=51m17s ipdv=615µs
seq=40 rtt=21.84ms rd=-52m16s sd=52m16s ipdv=732µs
seq=41 rtt=21.23ms rd=-53m14s sd=53m14s ipdv=602µs
seq=42 rtt=20.93ms rd=-54m13s sd=54m13s ipdv=307µs
seq=43 rtt=21.11ms rd=-55m12s sd=55m12s ipdv=185µs
seq=44 rtt=20.63ms rd=-56m11s sd=56m11s ipdv=483µs
seq=45 rtt=20.01ms rd=-57m9s sd=57m9s ipdv=619µs
seq=46 rtt=20.95ms rd=-58m8s sd=58m8s ipdv=939µs
seq=47 rtt=19.99ms rd=-59m6s sd=59m6s ipdv=959µs
seq=48 rtt=20.51ms rd=-1h0m5s sd=1h0m5s ipdv=521µs
seq=49 rtt=19.18ms rd=-1h1m4s sd=1h1m4s ipdv=1.33ms
seq=50 rtt=19.8ms rd=-1h2m3s sd=1h2m3s ipdv=621µs
seq=51 rtt=19.34ms rd=-1h3m1s sd=1h3m1s ipdv=461µs
seq=52 rtt=18.68ms rd=-1h4m0s sd=1h4m0s ipdv=657µs
seq=53 rtt=19.06ms rd=-1h4m58s sd=1h4m58s ipdv=373µs
seq=54 rtt=18.86ms rd=-1h5m57s sd=1h5m57s ipdv=198µs
seq=55 rtt=17.83ms rd=-1h6m56s sd=1h6m56s ipdv=1.03ms
seq=56 rtt=18.62ms rd=-1h7m55s sd=1h7m55s ipdv=790µs
