Data plane is up
Running irtt
UE IP is 10.45.0.73
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.57ms rd=-14m18s sd=14m18s ipdv=n/a
seq=1 rtt=23.52ms rd=-15m17s sd=15m17s ipdv=49.9µs
seq=2 rtt=22.54ms rd=-16m14s sd=16m14s ipdv=984µs
seq=3 rtt=21.18ms rd=-17m12s sd=17m12s ipdv=1.35ms
seq=4 rtt=19.97ms rd=-18m9s sd=18m9s ipdv=1.21ms
seq=5 rtt=18.16ms rd=-19m6s sd=19m6s ipdv=1.81ms
seq=6 rtt=15.35ms rd=-20m3s sd=20m3s ipdv=2.82ms
seq=7 rtt=13.63ms rd=-21m0s sd=21m0s ipdv=1.72ms
seq=8 rtt=11.62ms rd=-21m57s sd=21m57s ipdv=2.01ms
seq=9 rtt=10.84ms rd=-22m54s sd=22m54s ipdv=780µs
seq=10 rtt=32.08ms rd=-23m54s sd=23m54s ipdv=21.24ms
seq=11 rtt=29.38ms rd=-24m50s sd=24m50s ipdv=2.7ms
seq=12 rtt=28.08ms rd=-25m48s sd=25m48s ipdv=1.31ms
seq=13 rtt=25.45ms rd=-26m44s sd=26m44s ipdv=2.63ms
seq=14 rtt=23.99ms rd=-27m41s sd=27m41s ipdv=1.45ms
seq=15 rtt=21.17ms rd=-28m38s sd=28m38s ipdv=2.82ms
seq=16 rtt=19.9ms rd=-29m35s sd=29m35s ipdv=1.27ms
seq=17 rtt=21.12ms rd=-30m33s sd=30m33s ipdv=1.22ms
seq=18 rtt=21.04ms rd=-31m31s sd=31m32s ipdv=82.2µs
seq=19 rtt=20.04ms rd=-32m30s sd=32m30s ipdv=1ms
seq=20 rtt=20.51ms rd=-33m28s sd=33m28s ipdv=475µs
seq=21 rtt=18.82ms rd=-34m26s sd=34m26s ipdv=1.69ms
seq=22 rtt=19.25ms rd=-35m25s sd=35m25s ipdv=426µs
seq=23 rtt=17.55ms rd=-36m23s sd=36m23s ipdv=1.7ms
seq=24 rtt=17.79ms rd=-37m22s sd=37m22s ipdv=239µs
seq=25 rtt=16.44ms rd=-38m20s sd=38m20s ipdv=1.35ms
seq=26 rtt=16.4ms rd=-39m18s sd=39m18s ipdv=41µs
seq=27 rtt=15.73ms rd=-40m16s sd=40m16s ipdv=665µs
seq=28 rtt=15.53ms rd=-41m15s sd=41m15s ipdv=204µs
seq=29 rtt=14.82ms rd=-42m13s sd=42m13s ipdv=708µs
seq=30 rtt=15.26ms rd=-43m12s sd=43m12s ipdv=438µs
seq=31 rtt=14.16ms rd=-44m11s sd=44m11s ipdv=1.1ms
seq=32 rtt=15.06ms rd=-45m10s sd=45m10s ipdv=905µs
seq=33 rtt=14.26ms rd=-46m8s sd=46m8s ipdv=799µs
seq=34 rtt=14.81ms rd=-47m7s sd=47m8s ipdv=544µs
seq=35 rtt=14.36ms rd=-48m6s sd=48m6s ipdv=445µs
seq=36 rtt=13.71ms rd=-49m5s sd=49m5s ipdv=649µs
seq=37 rtt=13.83ms rd=-50m4s sd=50m4s ipdv=114µs
seq=38 rtt=14.06ms rd=-51m3s sd=51m3s ipdv=237µs
seq=39 rtt=13.19ms rd=-52m1s sd=52m1s ipdv=872µs
seq=40 rtt=13.46ms rd=-53m0s sd=53m0s ipdv=273µs
seq=41 rtt=13.01ms rd=-53m59s sd=53m59s ipdv=457µs
seq=42 rtt=13.6ms rd=-54m58s sd=54m58s ipdv=597µs
seq=43 rtt=12.96ms rd=-55m56s sd=55m56s ipdv=647µs
seq=44 rtt=12.46ms rd=-56m55s sd=56m55s ipdv=496µs
seq=45 rtt=11.81ms rd=-57m54s sd=57m54s ipdv=653µs
seq=46 rtt=11.96ms rd=-58m53s sd=58m53s ipdv=147µs
seq=47 rtt=12.23ms rd=-59m51s sd=59m51s ipdv=278µs
seq=48 rtt=11.37ms rd=-1h0m50s sd=1h0m50s ipdv=864µs
seq=49 rtt=10.91ms rd=-1h1m48s sd=1h1m48s ipdv=456µs
seq=50 rtt=11.89ms rd=-1h2m47s sd=1h2m47s ipdv=977µs
seq=51 rtt=10.46ms rd=-1h3m46s sd=1h3m46s ipdv=1.43ms
seq=52 rtt=10.88ms rd=-1h4m45s sd=1h4m45s ipdv=419µs
seq=53 rtt=10.21ms rd=-1h5m43s sd=1h5m43s ipdv=667µs
seq=54 rtt=10.77ms rd=-1h6m42s sd=1h6m42s ipdv=560µs
seq=55 rtt=9.36ms rd=-1h7m41s sd=1h7m41s ipdv=1.41ms
