Data plane is up
Running irtt
UE IP is 10.45.0.99
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.83ms rd=-13m47s sd=13m47s ipdv=n/a
seq=1 rtt=22.79ms rd=-14m45s sd=14m45s ipdv=1.05ms
seq=2 rtt=21.7ms rd=-15m43s sd=15m43s ipdv=1.09ms
seq=3 rtt=19.96ms rd=-16m41s sd=16m41s ipdv=1.74ms
seq=4 rtt=19.51ms rd=-17m38s sd=17m38s ipdv=447µs
seq=5 rtt=17.72ms rd=-18m36s sd=18m36s ipdv=1.79ms
seq=6 rtt=15.15ms rd=-19m33s sd=19m33s ipdv=2.57ms
seq=7 rtt=13.52ms rd=-20m30s sd=20m30s ipdv=1.63ms
seq=8 rtt=11.17ms rd=-21m27s sd=21m27s ipdv=2.35ms
seq=9 rtt=9.37ms rd=-22m24s sd=22m24s ipdv=1.8ms
seq=10 rtt=30.2ms rd=-23m23s sd=23m23s ipdv=20.83ms
seq=11 rtt=28.89ms rd=-24m20s sd=24m20s ipdv=1.31ms
seq=12 rtt=27.4ms rd=-25m17s sd=25m17s ipdv=1.5ms
seq=13 rtt=24.99ms rd=-26m14s sd=26m14s ipdv=2.4ms
seq=14 rtt=23.63ms rd=-27m11s sd=27m11s ipdv=1.36ms
seq=15 rtt=20.74ms rd=-28m8s sd=28m8s ipdv=2.89ms
seq=16 rtt=19.5ms rd=-29m4s sd=29m4s ipdv=1.24ms
seq=17 rtt=16.88ms rd=-30m1s sd=30m2s ipdv=2.62ms
seq=18 rtt=16.52ms rd=-30m59s sd=30m59s ipdv=352µs
seq=19 rtt=15.62ms rd=-31m58s sd=31m58s ipdv=901µs
seq=20 rtt=15.16ms rd=-32m56s sd=32m56s ipdv=465µs
seq=21 rtt=14.86ms rd=-33m55s sd=33m55s ipdv=297µs
seq=22 rtt=14.27ms rd=-34m53s sd=34m53s ipdv=588µs
seq=23 rtt=13.09ms rd=-35m51s sd=35m51s ipdv=1.18ms
seq=24 rtt=13.1ms rd=-36m50s sd=36m50s ipdv=11.9µs
seq=25 rtt=12.16ms rd=-37m48s sd=37m48s ipdv=945µs
seq=26 rtt=12.17ms rd=-38m46s sd=38m47s ipdv=13.1µs
seq=27 rtt=10.99ms rd=-39m45s sd=39m45s ipdv=1.18ms
seq=28 rtt=10.09ms rd=-40m43s sd=40m43s ipdv=907µs
seq=29 rtt=9.85ms rd=-41m41s sd=41m41s ipdv=235µs
seq=30 rtt=9.96ms rd=-42m40s sd=42m40s ipdv=110µs
seq=31 rtt=10.96ms rd=-43m39s sd=43m39s ipdv=996µs
seq=32 rtt=9.54ms rd=-44m38s sd=44m38s ipdv=1.41ms
seq=33 rtt=10.79ms rd=-45m37s sd=45m37s ipdv=1.24ms
seq=34 rtt=9.62ms rd=-46m35s sd=46m35s ipdv=1.17ms
seq=35 rtt=10.38ms rd=-47m34s sd=47m34s ipdv=761µs
seq=36 rtt=9.54ms rd=-48m33s sd=48m33s ipdv=843µs
seq=37 rtt=9.74ms rd=-49m32s sd=49m32s ipdv=197µs
seq=38 rtt=9.33ms rd=-50m31s sd=50m31s ipdv=409µs
seq=39 rtt=10.68ms rd=-51m30s sd=51m30s ipdv=1.36ms
seq=40 rtt=9.34ms rd=-52m28s sd=52m28s ipdv=1.34ms
seq=41 rtt=9.95ms rd=-53m27s sd=53m27s ipdv=614µs
seq=42 rtt=9.52ms rd=-54m26s sd=54m26s ipdv=433µs
seq=43 rtt=30.73ms rd=-55m27s sd=55m27s ipdv=21.21ms
seq=44 rtt=139.9ms rd=-56m26s sd=56m26s ipdv=109.1ms
seq=45 rtt=31.13ms rd=-57m25s sd=57m25s ipdv=108.7ms
seq=46 rtt=140.1ms rd=-58m23s sd=58m23s ipdv=109ms
seq=47 rtt=29.93ms rd=-59m22s sd=59m22s ipdv=110.2ms
seq=48 rtt=139.8ms rd=-1h0m20s sd=1h0m20s ipdv=109.9ms
seq=49 rtt=30.11ms rd=-1h1m19s sd=1h1m19s ipdv=109.7ms
seq=50 rtt=139.2ms rd=-1h2m18s sd=1h2m18s ipdv=109.1ms
seq=51 rtt=30.32ms rd=-1h3m17s sd=1h3m17s ipdv=108.9ms
seq=52 rtt=29.63ms rd=-1h4m15s sd=1h4m15s ipdv=684µs
seq=53 rtt=29.48ms rd=-1h5m14s sd=1h5m14s ipdv=150µs
seq=54 rtt=29.55ms rd=-1h6m13s sd=1h6m13s ipdv=67.1µs
seq=55 rtt=29.68ms rd=-1h7m12s sd=1h7m12s ipdv=127µs
