Component 1 is at IP 10.1.2.1
Running global slot checker on 10.4.1.1:6000
Error: Numerical argument out of domain
Starting component 1
Elapsed: 6529171, Dilation factor: 6.53
Elapsed: 6580184, Dilation factor: 6.58
Elapsed: 3787348, Dilation factor: 3.79
Elapsed: 6575323, Dilation factor: 6.58
Elapsed: 6523235, Dilation factor: 6.52
Elapsed: 3850281, Dilation factor: 3.85
Elapsed: 6570339, Dilation factor: 6.57
Elapsed: 6604414, Dilation factor: 6.60
Elapsed: 3824840, Dilation factor: 3.82
Elapsed: 6546048, Dilation factor: 6.55
Elapsed: 6564987, Dilation factor: 6.56
Elapsed: 6580482, Dilation factor: 6.58
Elapsed: 3816030, Dilation factor: 3.82
Elapsed: 6520612, Dilation factor: 6.52
