Data plane is up
Running irtt
UE IP is 10.45.0.10
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=80 rtt=13.5ms rd=-36.2s sd=36.3s ipdv=1.05ms
seq=81 rtt=14.49ms rd=-37.3s sd=37.3s ipdv=998µs
seq=82 rtt=15.85ms rd=-38.4s sd=38.5s ipdv=1.36ms
seq=83 rtt=17.6ms rd=-39.6s sd=39.7s ipdv=1.75ms
seq=84 rtt=18.7ms rd=-40.8s sd=40.8s ipdv=1.1ms
seq=85 rtt=19.55ms rd=-42s sd=42s ipdv=849µs
seq=86 rtt=20.65ms rd=-43.2s sd=43.2s ipdv=1.1ms
seq=87 rtt=21.45ms rd=-44.4s sd=44.4s ipdv=799µs
seq=88 rtt=23.5ms rd=-45.5s sd=45.6s ipdv=2.05ms
seq=89 rtt=24.76ms rd=-46.7s sd=46.8s ipdv=1.25ms
seq=90 rtt=25.75ms rd=-47.8s sd=47.9s ipdv=992µs
seq=91 rtt=26.45ms rd=-48.9s sd=48.9s ipdv=701µs
seq=92 rtt=27.55ms rd=-49.9s sd=50s ipdv=1.1ms
seq=93 rtt=28.45ms rd=-51s sd=51s ipdv=900µs
seq=94 rtt=29.85ms rd=-52s sd=52.1s ipdv=1.4ms
seq=95 rtt=30.86ms rd=-53.1s sd=53.1s ipdv=1.01ms
seq=96 rtt=10.45ms rd=-22.17ms sd=32.62ms ipdv=20.41ms
seq=97 rtt=11.6ms rd=-1.06s sd=1.07s ipdv=1.15ms
seq=98 rtt=13.4ms rd=-2.1s sd=2.12s ipdv=1.8ms
seq=99 rtt=13.4ms rd=-3.15s sd=3.17s ipdv=1.01µs
seq=100 rtt=15.55ms rd=-4.21s sd=4.23s ipdv=2.15ms
seq=101 rtt=16.45ms rd=-5.26s sd=5.28s ipdv=900µs
seq=102 rtt=17.7ms rd=-6.31s sd=6.32s ipdv=1.26ms
seq=103 rtt=17.65ms rd=-6.35s sd=6.37s ipdv=55µs
seq=104 rtt=18.54ms rd=-7.41s sd=7.43s ipdv=896µs
seq=105 rtt=18.8ms rd=-8.47s sd=8.48s ipdv=253µs
seq=106 rtt=20.55ms rd=-9.52s sd=9.54s ipdv=1.75ms
seq=107 rtt=21.55ms rd=-10.6s sd=10.6s ipdv=999µs
seq=108 rtt=22.4ms rd=-11.6s sd=11.7s ipdv=851µs
seq=109 rtt=23.6ms rd=-12.7s sd=12.7s ipdv=1.2ms
seq=110 rtt=23.6ms rd=-12.7s sd=12.7s ipdv=119ns
seq=111 rtt=24.55ms rd=-13.8s sd=13.8s ipdv=950µs
seq=112 rtt=25.74ms rd=-14.8s sd=14.9s ipdv=1.2ms
seq=113 rtt=26.65ms rd=-15.9s sd=15.9s ipdv=903µs
seq=114 rtt=27.6ms rd=-16.9s sd=17s ipdv=951µs
seq=115 rtt=28.59ms rd=-18s sd=18s ipdv=995µs
seq=116 rtt=29.55ms rd=-19s sd=19.1s ipdv=956µs
seq=117 rtt=29.75ms rd=-19.1s sd=19.1s ipdv=200µs
seq=118 rtt=10.4ms rd=-20.1s sd=20.1s ipdv=19.35ms
seq=119 rtt=11.9ms rd=-21.2s sd=21.2s ipdv=1.5ms
seq=120 rtt=13.55ms rd=-22.3s sd=22.3s ipdv=1.65ms
seq=121 rtt=13.85ms rd=-23.3s sd=23.3s ipdv=300µs
seq=122 rtt=15.6ms rd=-24.4s sd=24.4s ipdv=1.75ms
seq=123 rtt=16.65ms rd=-25.6s sd=25.7s ipdv=1.05ms
seq=124 rtt=17.7ms rd=-26.8s sd=26.9s ipdv=1.05ms
seq=125 rtt=18.45ms rd=-28s sd=28.1s ipdv=750µs
seq=126 rtt=20ms rd=-29.2s sd=29.3s ipdv=1.55ms
seq=127 rtt=21.8ms rd=-30.4s sd=30.4s ipdv=1.8ms
seq=128 rtt=22.55ms rd=-31.6s sd=31.6s ipdv=750µs
seq=129 rtt=23.6ms rd=-32.8s sd=32.8s ipdv=1.05ms
seq=130 rtt=24.85ms rd=-33.9s sd=33.9s ipdv=1.24ms
seq=131 rtt=25.6ms rd=-34.9s sd=35s ipdv=747µs
seq=132 rtt=26.45ms rd=-36s sd=36s ipdv=853µs
seq=133 rtt=27.8ms rd=-37.1s sd=37.1s ipdv=1.35ms
seq=134 rtt=29.35ms rd=-38.1s sd=38.1s ipdv=1.55ms
seq=135 rtt=29.55ms rd=-39.2s sd=39.2s ipdv=200µs
seq=136 rtt=11.85ms rd=-40.2s sd=40.2s ipdv=17.7ms
seq=137 rtt=11.45ms rd=-40.3s sd=40.3s ipdv=400µs
seq=138 rtt=11.75ms rd=-41.3s sd=41.4s ipdv=300µs
seq=139 rtt=13.85ms rd=-42.4s sd=42.4s ipdv=2.1ms
seq=140 rtt=14.94ms rd=-43.5s sd=43.5s ipdv=1.1ms
seq=141 rtt=15.45ms rd=-44.5s sd=44.5s ipdv=503µs
seq=142 rtt=16.6ms rd=-45.6s sd=45.6s ipdv=1.15ms
seq=143 rtt=17.4ms rd=-46.6s sd=46.6s ipdv=800µs
seq=144 rtt=18.6ms rd=-47.7s sd=47.7s ipdv=1.2ms
seq=145 rtt=18.6ms rd=-47.7s sd=47.7s ipdv=61ns
seq=146 rtt=19.9ms rd=-48.8s sd=48.8s ipdv=1.3ms
seq=147 rtt=20.5ms rd=-49.8s sd=49.8s ipdv=600µs
seq=148 rtt=21.65ms rd=-51s sd=51s ipdv=1.16ms
seq=149 rtt=23.55ms rd=-52.1s sd=52.2s ipdv=1.9ms
seq=150 rtt=23.75ms rd=-53.2s sd=53.3s ipdv=195µs
seq=151 rtt=25.45ms rd=-54.3s sd=54.3s ipdv=1.7ms
seq=152 rtt=26.7ms rd=-55.4s sd=55.4s ipdv=1.25ms
seq=153 rtt=27.35ms rd=-56.4s sd=56.4s ipdv=649µs
seq=154 rtt=28.5ms rd=-57.5s sd=57.5s ipdv=1.15ms
seq=155 rtt=28.5ms rd=-57.5s sd=57.5s ipdv=250ns
seq=156 rtt=29.6ms rd=-58.6s sd=58.6s ipdv=1.1ms
seq=157 rtt=10.89ms rd=-59.6s sd=59.6s ipdv=18.7ms
seq=158 rtt=11.45ms rd=-1m1s sd=1m1s ipdv=553µs
seq=159 rtt=12.5ms rd=-1m2s sd=1m2s ipdv=1.05ms
seq=160 rtt=13.45ms rd=-1.01s sd=1.02s ipdv=948µs
seq=161 rtt=14.7ms rd=-2.06s sd=2.08s ipdv=1.25ms
seq=162 rtt=15.65ms rd=-3.12s sd=3.13s ipdv=950µs
seq=163 rtt=15.7ms rd=-3.16s sd=3.18s ipdv=49.9µs
seq=164 rtt=16.7ms rd=-4.22s sd=4.24s ipdv=1ms
seq=165 rtt=17.65ms rd=-5.29s sd=5.3s ipdv=948µs
seq=166 rtt=19.64ms rd=-6.34s sd=6.36s ipdv=2ms
seq=167 rtt=20.6ms rd=-7.38s sd=7.4s ipdv=954µs
seq=168 rtt=21.45ms rd=-8.42s sd=8.44s ipdv=850µs
seq=169 rtt=22.55ms rd=-9.46s sd=9.48s ipdv=1.1ms
seq=170 rtt=22.65ms rd=-9.48s sd=9.5s ipdv=101µs
seq=171 rtt=23.4ms rd=-10.5s sd=10.6s ipdv=750µs
seq=172 rtt=24.85ms rd=-11.6s sd=11.6s ipdv=1.45ms
seq=173 rtt=26.55ms rd=-12.7s sd=12.7s ipdv=1.7ms
seq=174 rtt=26.45ms rd=-13.7s sd=13.7s ipdv=99.3µs
seq=175 rtt=27.45ms rd=-14.8s sd=14.8s ipdv=1ms
seq=176 rtt=28.3ms rd=-15.8s sd=15.9s ipdv=847µs
seq=177 rtt=28.55ms rd=-15.9s sd=15.9s ipdv=252µs
seq=178 rtt=29.6ms rd=-16.9s sd=16.9s ipdv=1.05ms
seq=179 rtt=10.4ms rd=-18s sd=18s ipdv=19.2ms
seq=180 rtt=11.4ms rd=-19s sd=19s ipdv=1ms
seq=181 rtt=12.55ms rd=-20.1s sd=20.1s ipdv=1.15ms
seq=182 rtt=13.75ms rd=-21.2s sd=21.2s ipdv=1.2ms
seq=183 rtt=14.85ms rd=-22.4s sd=22.4s ipdv=1.1ms
seq=184 rtt=16.7ms rd=-23.6s sd=23.6s ipdv=1.85ms
seq=185 rtt=17.95ms rd=-24.8s sd=24.8s ipdv=1.25ms
seq=186 rtt=18.8ms rd=-26s sd=26s ipdv=845µs
seq=187 rtt=19.65ms rd=-27.1s sd=27.1s ipdv=855µs
seq=188 rtt=21ms rd=-28.3s sd=28.3s ipdv=1.35ms
seq=189 rtt=22.56ms rd=-29.5s sd=29.5s ipdv=1.55ms
