minute,x2ap,s1ap,rrc
1,3,2,7
2,12,8,28
3,6,4,14
4,9,6,21
5,3,2,7
6,3,2,7
7,3,2,7
8,3,2,7
9,15,10,35
10,3,2,7
11,0,0,0
12,3,2,7
13,3,2,7
14,6,4,14
