minute,x2ap,s1ap,rrc
0,3,2,7
1,0,0,0
2,3,2,7
3,0,0,0
4,0,0,0
5,0,0,0
6,3,2,7
7,0,0,0
8,3,2,7
9,0,0,0
10,0,0,0
11,0,0,0
12,3,2,7
