Data plane is up
Running irtt
UE IP is 10.45.0.2
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=77 rtt=308.9ms rd=31.76ms sd=277.1ms ipdv=37.2ms
seq=78 rtt=239.5ms rd=33.65ms sd=205.8ms ipdv=69.45ms
seq=79 rtt=631.8ms rd=31.01ms sd=600.8ms ipdv=392.4ms
seq=80 rtt=575.1ms rd=19.78ms sd=555.3ms ipdv=56.7ms
seq=81 rtt=523ms rd=22.26ms sd=500.8ms ipdv=52.1ms
seq=82 rtt=492.1ms rd=48.09ms sd=444ms ipdv=30.95ms
seq=83 rtt=451.6ms rd=58.86ms sd=392.7ms ipdv=40.5ms
seq=84 rtt=403.9ms rd=38.49ms sd=365.4ms ipdv=47.65ms
seq=85 rtt=335.2ms rd=32.19ms sd=303ms ipdv=68.71ms
seq=86 rtt=310.7ms rd=64.56ms sd=246.1ms ipdv=24.55ms
seq=87 rtt=252.4ms rd=54.09ms sd=198.3ms ipdv=58.25ms
seq=88 rtt=627.4ms rd=40.62ms sd=586.7ms ipdv=375ms
seq=89 rtt=581.6ms rd=32.27ms sd=549.3ms ipdv=45.75ms
seq=90 rtt=532.9ms rd=16.05ms sd=516.8ms ipdv=48.75ms
seq=91 rtt=501.2ms rd=41.04ms sd=460.2ms ipdv=31.65ms
seq=92 rtt=471.9ms rd=75.03ms sd=396.8ms ipdv=29.35ms
seq=93 rtt=404.5ms rd=46.55ms sd=358ms ipdv=67.35ms
seq=94 rtt=344.6ms rd=50.91ms sd=293.6ms ipdv=59.95ms
seq=95 rtt=303.4ms rd=33.74ms sd=269.6ms ipdv=41.21ms
seq=96 rtt=227.1ms rd=28.91ms sd=198.2ms ipdv=76.2ms
seq=97 rtt=637.1ms rd=39.6ms sd=597.5ms ipdv=409.9ms
seq=98 rtt=609.4ms rd=44.92ms sd=564.4ms ipdv=27.71ms
seq=99 rtt=542.4ms rd=32.93ms sd=509.5ms ipdv=66.95ms
seq=100 rtt=510.7ms rd=43.23ms sd=467.5ms ipdv=31.7ms
seq=101 rtt=456.3ms rd=35.16ms sd=421.1ms ipdv=54.45ms
seq=102 rtt=431.3ms rd=82.07ms sd=349.2ms ipdv=25ms
seq=103 rtt=346.4ms rd=27.38ms sd=319ms ipdv=84.9ms
seq=104 rtt=340.6ms rd=64.2ms sd=276.4ms ipdv=5.75ms
seq=105 rtt=265.6ms rd=19.69ms sd=245.9ms ipdv=75.05ms
seq=106 rtt=246.2ms rd=30.92ms sd=215.3ms ipdv=19.35ms
seq=107 rtt=640ms rd=61.13ms sd=578.8ms ipdv=393.8ms
seq=108 rtt=546.4ms rd=18.38ms sd=528ms ipdv=93.6ms
seq=109 rtt=514.4ms rd=35.87ms sd=478.5ms ipdv=32.05ms
seq=110 rtt=451.4ms rd=42.06ms sd=409.4ms ipdv=62.95ms
seq=111 rtt=413.5ms rd=48.65ms sd=364.9ms ipdv=37.91ms
seq=112 rtt=350.9ms rd=44.96ms sd=305.9ms ipdv=62.65ms
seq=113 rtt=317.7ms rd=23.67ms sd=294ms ipdv=33.15ms
seq=114 rtt=267.9ms rd=60.95ms sd=206.9ms ipdv=49.85ms
seq=115 rtt=630.7ms rd=47.35ms sd=583.3ms ipdv=362.8ms
seq=116 rtt=592.4ms rd=35.1ms sd=557.3ms ipdv=38.3ms
seq=117 rtt=546.8ms rd=60.58ms sd=486.2ms ipdv=45.55ms
seq=118 rtt=511.8ms rd=29.38ms sd=482.4ms ipdv=35ms
seq=119 rtt=434.8ms rd=38.29ms sd=396.5ms ipdv=77.01ms
seq=120 rtt=383.7ms rd=21.3ms sd=362.4ms ipdv=51.1ms
seq=121 rtt=340ms rd=39.19ms sd=300.8ms ipdv=43.75ms
seq=122 rtt=353.1ms rd=104.8ms sd=248.3ms ipdv=13.09ms
seq=123 rtt=249.5ms rd=48.16ms sd=201.3ms ipdv=103.6ms
seq=124 rtt=634.6ms rd=27.19ms sd=607.4ms ipdv=385.1ms
seq=125 rtt=588.9ms rd=49.24ms sd=539.6ms ipdv=45.75ms
seq=126 rtt=536.9ms rd=35.12ms sd=501.8ms ipdv=51.95ms
seq=127 rtt=2.31s rd=71.92ms sd=2.24s ipdv=1.78s
seq=128 rtt=1.81s rd=71.87ms sd=1.74s ipdv=499.8ms
seq=129 rtt=1.32s rd=71.9ms sd=1.24s ipdv=499.5ms
seq=130 rtt=814.5ms rd=71.89ms sd=742.6ms ipdv=500.8ms
seq=131 rtt=472.8ms rd=33.9ms sd=438.9ms ipdv=341.7ms
seq=132 rtt=215.4ms rd=28.75ms sd=186.6ms ipdv=257.4ms
seq=133 rtt=625.8ms rd=51.66ms sd=574.1ms ipdv=410.4ms
seq=134 rtt=570.7ms rd=45.13ms sd=525.5ms ipdv=55.15ms
seq=135 rtt=515.8ms rd=42.85ms sd=472.9ms ipdv=54.9ms
seq=136 rtt=483.2ms rd=57.37ms sd=425.8ms ipdv=32.6ms
seq=137 rtt=428.1ms rd=39.16ms sd=388.9ms ipdv=55.05ms
seq=138 rtt=365.4ms rd=49.11ms sd=316.2ms ipdv=62.75ms
seq=139 rtt=303.9ms rd=40.78ms sd=263.1ms ipdv=61.5ms
seq=140 rtt=267.7ms rd=30.21ms sd=237.4ms ipdv=36.2ms
seq=141 rtt=219.9ms rd=33.03ms sd=186.9ms ipdv=47.7ms
seq=142 rtt=602ms rd=42.15ms sd=559.9ms ipdv=382.1ms
seq=143 rtt=552.1ms rd=47.49ms sd=504.6ms ipdv=49.9ms
seq=144 rtt=496.3ms rd=44.2ms sd=452.1ms ipdv=55.86ms
seq=145 rtt=461.5ms rd=18.71ms sd=442.7ms ipdv=34.8ms
seq=146 rtt=397.1ms rd=47.87ms sd=349.2ms ipdv=64.35ms
seq=147 rtt=371.4ms rd=29.07ms sd=342.3ms ipdv=25.7ms
seq=148 rtt=300.9ms rd=43.86ms sd=257ms ipdv=70.55ms
seq=149 rtt=281.7ms rd=52.09ms sd=229.6ms ipdv=19.15ms
seq=150 rtt=216.3ms rd=14.76ms sd=201.5ms ipdv=65.4ms
seq=151 rtt=579.1ms rd=38.73ms sd=540.3ms ipdv=362.8ms
seq=152 rtt=539.1ms rd=14.54ms sd=524.6ms ipdv=39.95ms
seq=153 rtt=483.6ms rd=34.72ms sd=448.8ms ipdv=55.55ms
seq=154 rtt=443.7ms rd=54.91ms sd=388.7ms ipdv=39.9ms
seq=155 rtt=388ms rd=39.35ms sd=348.7ms ipdv=55.65ms
seq=156 rtt=364ms rd=46.66ms sd=317.3ms ipdv=24.01ms
seq=157 rtt=296.1ms rd=42.1ms sd=254ms ipdv=67.9ms
seq=158 rtt=261.3ms rd=53.85ms sd=207.5ms ipdv=34.75ms
seq=159 rtt=642.9ms rd=45.35ms sd=597.6ms ipdv=381.6ms
seq=160 rtt=577.5ms rd=40.19ms sd=537.3ms ipdv=65.4ms
seq=161 rtt=534.3ms rd=40.46ms sd=493.8ms ipdv=43.2ms
seq=162 rtt=495.6ms rd=25.91ms sd=469.6ms ipdv=38.76ms
seq=163 rtt=469ms rd=68.67ms sd=400.3ms ipdv=26.6ms
seq=164 rtt=2.62s rd=50.57ms sd=2.57s ipdv=2.15s
seq=165 rtt=2.12s rd=50.56ms sd=2.07s ipdv=500.6ms
seq=166 rtt=1.62s rd=50.22ms sd=1.57s ipdv=499.6ms
seq=167 rtt=1.12s rd=50.18ms sd=1.07s ipdv=499.7ms
seq=168 rtt=640.9ms rd=34.72ms sd=606.2ms ipdv=482.4ms
seq=169 rtt=570.3ms rd=38.62ms sd=531.7ms ipdv=70.6ms
seq=170 rtt=563.4ms rd=57.6ms sd=505.8ms ipdv=6.96ms
seq=171 rtt=465.6ms rd=20.7ms sd=444.9ms ipdv=97.75ms
seq=172 rtt=445.4ms rd=61.12ms sd=384.2ms ipdv=20.25ms
seq=173 rtt=357.2ms rd=33.9ms sd=323.3ms ipdv=88.15ms
seq=174 rtt=324.5ms rd=44.53ms sd=279.9ms ipdv=32.74ms
seq=175 rtt=271.4ms rd=33.39ms sd=238ms ipdv=53.06ms
seq=176 rtt=260.4ms rd=68ms sd=192.4ms ipdv=10.95ms
seq=177 rtt=608.4ms rd=42.4ms sd=566ms ipdv=347.9ms
seq=178 rtt=546.7ms rd=42.13ms sd=504.6ms ipdv=61.65ms
seq=179 rtt=513.4ms rd=55.57ms sd=457.8ms ipdv=33.3ms
seq=180 rtt=434.9ms rd=26.88ms sd=408ms ipdv=78.5ms
seq=181 rtt=415ms rd=64.42ms sd=350.5ms ipdv=19.95ms
seq=182 rtt=330.8ms rd=43ms sd=287.8ms ipdv=84.15ms
seq=183 rtt=299.3ms rd=54.36ms sd=244.9ms ipdv=31.49ms
seq=184 rtt=244.1ms rd=37.33ms sd=206.7ms ipdv=55.25ms
seq=185 rtt=232.9ms rd=26.16ms sd=206.8ms ipdv=11.11ms
seq=186 rtt=607.8ms rd=42.52ms sd=565.2ms ipdv=374.8ms
seq=187 rtt=550.2ms rd=39.85ms sd=510.3ms ipdv=57.6ms
seq=188 rtt=503ms rd=39.52ms sd=463.5ms ipdv=47.15ms
seq=189 rtt=433.1ms rd=38ms sd=395.1ms ipdv=69.96ms
seq=190 rtt=410.3ms rd=40ms sd=370.4ms ipdv=22.75ms
seq=191 rtt=349.2ms rd=28.39ms sd=320.8ms ipdv=61.1ms
seq=192 rtt=336.9ms rd=54.28ms sd=282.6ms ipdv=12.35ms
seq=193 rtt=245.7ms rd=40.48ms sd=205.3ms ipdv=91.1ms
seq=194 rtt=639.7ms rd=20.38ms sd=619.3ms ipdv=393.9ms
seq=195 rtt=624.6ms rd=15.96ms sd=608.6ms ipdv=15.1ms
seq=196 rtt=533.2ms rd=34.89ms sd=498.3ms ipdv=91.35ms
seq=197 rtt=494.1ms rd=31.16ms sd=462.9ms ipdv=39.1ms
