minute,x2ap,s1ap,rrc
0,6,4,14
1,12,8,28
2,9,6,21
3,6,4,14
4,9,6,21
5,9,6,21
6,6,4,14
7,0,0,0
8,3,2,7
9,6,4,14
10,6,4,14
11,3,2,7
12,3,2,7
13,0,0,0
14,6,4,14
