minute,x2ap,s1ap,rrc
0,6,4,14
1,3,2,7
2,6,4,14
3,0,0,0
4,9,6,21
5,3,2,7
6,9,6,21
7,9,6,21
8,9,6,21
9,3,2,7
10,9,6,21
11,0,0,0
12,3,2,7
13,6,4,14
14,3,2,7
