minute,x2ap,s1ap,rrc
0,6,4,14
1,0,0,0
2,0,0,0
3,6,4,14
4,3,2,7
5,6,4,14
6,6,4,14
7,9,6,21
8,6,4,14
9,3,2,7
10,6,4,14
11,3,2,7
12,3,2,7
13,3,2,7
