Data plane is up
Running irtt
UE IP is 10.45.0.4
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=21.2ms rd=-12m45s sd=12m45s ipdv=n/a
seq=1 rtt=9.33ms rd=-12m50s sd=12m50s ipdv=11.86ms
seq=2 rtt=16.8ms rd=-12m55s sd=12m55s ipdv=7.47ms
seq=3 rtt=25.59ms rd=-12m59s sd=12m59s ipdv=8.79ms
seq=4 rtt=12.78ms rd=-13m4s sd=13m4s ipdv=12.81ms
seq=5 rtt=22.61ms rd=-13m9s sd=13m9s ipdv=9.84ms
seq=6 rtt=9.39ms rd=-13m13s sd=13m13s ipdv=13.23ms
seq=7 rtt=18.87ms rd=-13m18s sd=13m18s ipdv=9.49ms
seq=8 rtt=27.17ms rd=-13m23s sd=13m23s ipdv=8.29ms
seq=9 rtt=14.5ms rd=-13m28s sd=13m28s ipdv=12.67ms
seq=10 rtt=23.52ms rd=-13m33s sd=13m33s ipdv=9.02ms
seq=11 rtt=11.05ms rd=-13m37s sd=13m37s ipdv=12.47ms
seq=12 rtt=20.38ms rd=-13m42s sd=13m42s ipdv=9.33ms
seq=13 rtt=9.5ms rd=-13m47s sd=13m47s ipdv=10.88ms
seq=14 rtt=17.36ms rd=-13m51s sd=13m51s ipdv=7.86ms
seq=15 rtt=26.15ms rd=-13m56s sd=13m56s ipdv=8.79ms
seq=16 rtt=13.78ms rd=-14m1s sd=14m1s ipdv=12.38ms
seq=17 rtt=22.2ms rd=-14m6s sd=14m6s ipdv=8.43ms
seq=18 rtt=9.99ms rd=-14m10s sd=14m10s ipdv=12.21ms
seq=19 rtt=18.56ms rd=-14m15s sd=14m15s ipdv=8.57ms
seq=20 rtt=27.66ms rd=-14m20s sd=14m20s ipdv=9.09ms
seq=21 rtt=14.84ms rd=-14m25s sd=14m25s ipdv=12.82ms
seq=22 rtt=23.72ms rd=-14m29s sd=14m29s ipdv=8.88ms
seq=23 rtt=11.56ms rd=-14m34s sd=14m34s ipdv=12.16ms
seq=24 rtt=19.84ms rd=-14m39s sd=14m39s ipdv=8.28ms
seq=25 rtt=8.28ms rd=-14m43s sd=14m43s ipdv=11.56ms
seq=26 rtt=16.8ms rd=-14m48s sd=14m48s ipdv=8.52ms
seq=27 rtt=25.24ms rd=-14m53s sd=14m53s ipdv=8.43ms
seq=28 rtt=13.42ms rd=-14m57s sd=14m57s ipdv=11.82ms
seq=29 rtt=21.86ms rd=-15m2s sd=15m2s ipdv=8.43ms
seq=30 rtt=9.14ms rd=-15m7s sd=15m7s ipdv=12.72ms
seq=31 rtt=18.01ms rd=-15m11s sd=15m11s ipdv=8.88ms
seq=32 rtt=27.11ms rd=-15m16s sd=15m16s ipdv=9.09ms
seq=33 rtt=14.69ms rd=-15m21s sd=15m21s ipdv=12.41ms
seq=34 rtt=22.9ms rd=-15m25s sd=15m25s ipdv=8.21ms
seq=35 rtt=9.79ms rd=-15m29s sd=15m29s ipdv=13.11ms
seq=36 rtt=18.63ms rd=-15m34s sd=15m34s ipdv=8.84ms
seq=37 rtt=27.71ms rd=-15m39s sd=15m39s ipdv=9.08ms
seq=38 rtt=15.19ms rd=-15m44s sd=15m44s ipdv=12.52ms
seq=39 rtt=24.58ms rd=-15m48s sd=15m48s ipdv=9.39ms
seq=40 rtt=12.01ms rd=-15m53s sd=15m53s ipdv=12.57ms
