Data plane is up
Running irtt
UE IP is 10.45.0.8
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=914.5ms rd=88.27ms sd=826.2ms ipdv=n/a
seq=1 rtt=462.4ms rd=75.29ms sd=387.1ms ipdv=452.1ms
seq=2 rtt=940.9ms rd=118.3ms sd=822.7ms ipdv=478.6ms
seq=3 rtt=1.35s rd=90.32ms sd=1.26s ipdv=407ms
seq=4 rtt=848.5ms rd=90.32ms sd=758.2ms ipdv=499.3ms
seq=5 rtt=1.39s rd=239.1ms sd=1.15s ipdv=542.8ms
seq=6 rtt=896.7ms rd=141.7ms sd=755ms ipdv=494.6ms
seq=7 rtt=1.33s rd=69.74ms sd=1.26s ipdv=433.9ms
seq=8 rtt=879.7ms rd=59.69ms sd=820.1ms ipdv=450.9ms
seq=9 rtt=1.35s rd=87ms sd=1.26s ipdv=467ms
seq=10 rtt=926.7ms rd=110ms sd=816.7ms ipdv=420ms
seq=11 rtt=1.37s rd=103.7ms sd=1.27s ipdv=445.3ms
seq=12 rtt=930.4ms rd=94.31ms sd=836.1ms ipdv=441.6ms
seq=13 rtt=1.5s rd=121.3ms sd=1.38s ipdv=568ms
seq=14 rtt=1.05s rd=94.74ms sd=957.4ms ipdv=446.4ms
seq=15 rtt=1.49s rd=109.3ms sd=1.38s ipdv=435.9ms
seq=16 rtt=1.04s rd=111.3ms sd=928.8ms ipdv=447.9ms
seq=17 rtt=614.2ms rd=107.1ms sd=507.2ms ipdv=425.9ms
seq=18 rtt=1.15s rd=120.9ms sd=1.03s ipdv=537.4ms
seq=19 rtt=1.13s rd=87.59ms sd=1.05s ipdv=17.25ms
seq=20 rtt=1.12s rd=108ms sd=1.02s ipdv=10.75ms
seq=21 rtt=624.6ms rd=108ms sd=516.6ms ipdv=499ms
seq=22 rtt=1.23s rd=133.3ms sd=1.09s ipdv=603ms
seq=23 rtt=798.8ms rd=131.3ms sd=667.4ms ipdv=428.9ms
seq=24 rtt=1.24s rd=105.6ms sd=1.14s ipdv=443.1ms
seq=25 rtt=787.9ms rd=75.6ms sd=712.3ms ipdv=454ms
seq=26 rtt=4.41s rd=98.88ms sd=4.31s ipdv=3.62s
seq=27 rtt=3.91s rd=98.88ms sd=3.81s ipdv=499.5ms
seq=28 rtt=3.41s rd=98.87ms sd=3.31s ipdv=499.6ms
seq=29 rtt=2.91s rd=98.86ms sd=2.81s ipdv=500.7ms
seq=30 rtt=2.41s rd=98.9ms sd=2.31s ipdv=499.6ms
seq=32 rtt=1.47s rd=113.4ms sd=1.36s ipdv=n/a
seq=33 rtt=1.41s rd=89.02ms sd=1.32s ipdv=62.71ms
seq=34 rtt=1.61s rd=189.2ms sd=1.42s ipdv=201ms
seq=35 rtt=1.11s rd=189.2ms sd=923.2ms ipdv=499.2ms
seq=36 rtt=664.8ms rd=134.2ms sd=530.6ms ipdv=447.6ms
seq=37 rtt=1.07s rd=98.25ms sd=967ms ipdv=400.4ms
seq=38 rtt=646.5ms rd=122.9ms sd=523.7ms ipdv=418.7ms
seq=39 rtt=1.25s rd=165ms sd=1.09s ipdv=607.6ms
seq=40 rtt=805.6ms rd=155.7ms sd=649.9ms ipdv=448.5ms
seq=41 rtt=1.33s rd=134.1ms sd=1.19s ipdv=519.4ms
seq=42 rtt=881.1ms rd=115.3ms sd=765.8ms ipdv=443.9ms
seq=43 rtt=1.5s rd=156.9ms sd=1.34s ipdv=617.8ms
seq=44 rtt=1.06s rd=175.7ms sd=884.6ms ipdv=438.5ms
seq=45 rtt=1.6s rd=151.6ms sd=1.45s ipdv=538.1ms
seq=46 rtt=1.17s rd=132ms sd=1.04s ipdv=430.4ms
seq=47 rtt=1.14s rd=106.7ms sd=1.03s ipdv=30.15ms
seq=48 rtt=1.3s rd=91.07ms sd=1.21s ipdv=159.4ms
seq=49 rtt=797.5ms rd=91.07ms sd=706.5ms ipdv=499.8ms
seq=50 rtt=1.41s rd=128.5ms sd=1.29s ipdv=616.1ms
seq=51 rtt=1.44s rd=114.2ms sd=1.32s ipdv=22.95ms
seq=52 rtt=1.7s rd=210ms sd=1.49s ipdv=262.5ms
seq=53 rtt=1.2s rd=210.1ms sd=989ms ipdv=500.1ms
seq=54 rtt=740.7ms rd=164.7ms sd=576.1ms ipdv=458.3ms
seq=55 rtt=1.18s rd=114.7ms sd=1.07s ipdv=439.2ms
seq=56 rtt=739.1ms rd=111.1ms sd=628.1ms ipdv=440.8ms
seq=57 rtt=1.4s rd=126.7ms sd=1.27s ipdv=660.3ms
seq=58 rtt=963.5ms rd=112.2ms sd=851.3ms ipdv=435.9ms
seq=59 rtt=1.55s rd=130.8ms sd=1.42s ipdv=587ms
seq=60 rtt=1.11s rd=114.5ms sd=994.4ms ipdv=441.6ms
seq=61 rtt=1.13s rd=154.1ms sd=977ms ipdv=22.2ms
seq=62 rtt=1.25s rd=138.5ms sd=1.11s ipdv=116.3ms
seq=63 rtt=747.6ms rd=138.4ms sd=609.1ms ipdv=499.8ms
seq=64 rtt=1.33s rd=106.8ms sd=1.22s ipdv=580.3ms
seq=65 rtt=900.5ms rd=113.6ms sd=786.9ms ipdv=427.3ms
seq=66 rtt=1.53s rd=120.9ms sd=1.41s ipdv=632.7ms
seq=67 rtt=1.11s rd=125ms sd=988.2ms ipdv=420ms
seq=68 rtt=1.66s rd=142.5ms sd=1.52s ipdv=547.1ms
seq=69 rtt=1.22s rd=138.2ms sd=1.08s ipdv=439.6ms
seq=70 rtt=779.1ms rd=99.01ms sd=680.1ms ipdv=441.6ms
seq=71 rtt=1.44s rd=171.6ms sd=1.27s ipdv=661.6ms
seq=72 rtt=1.03s rd=153.1ms sd=875ms ipdv=412.6ms
seq=73 rtt=1.62s rd=206.3ms sd=1.42s ipdv=594.7ms
seq=74 rtt=1.17s rd=156.6ms sd=1.02s ipdv=450.1ms
seq=75 rtt=1.19s rd=200.9ms sd=985.4ms ipdv=13.55ms
seq=76 rtt=1.34s rd=169.9ms sd=1.17s ipdv=150.4ms
seq=77 rtt=836.3ms rd=169.9ms sd=666.4ms ipdv=500.4ms
seq=78 rtt=1.47s rd=164.1ms sd=1.31s ipdv=633.9ms
seq=79 rtt=1.06s rd=142.7ms sd=918.1ms ipdv=409.5ms
seq=80 rtt=1.71s rd=168.2ms sd=1.54s ipdv=651.2ms
seq=81 rtt=1.28s rd=135.8ms sd=1.14s ipdv=435.1ms
seq=82 rtt=1.28s rd=113.5ms sd=1.17s ipdv=1.8ms
seq=83 rtt=1.45s rd=190.5ms sd=1.26s ipdv=172.5ms
seq=84 rtt=951.6ms rd=190.5ms sd=761.1ms ipdv=499.6ms
seq=85 rtt=1.64s rd=128.7ms sd=1.51s ipdv=691.3ms
seq=86 rtt=1.21s rd=65.3ms sd=1.14s ipdv=436.7ms
seq=87 rtt=1.19s rd=94.42ms sd=1.1s ipdv=12.05ms
seq=88 rtt=1.31s rd=135.4ms sd=1.18s ipdv=119.2ms
seq=89 rtt=812.8ms rd=135.4ms sd=677.5ms ipdv=500.5ms
seq=90 rtt=1.51s rd=131.7ms sd=1.38s ipdv=697.3ms
seq=91 rtt=1.08s rd=124.4ms sd=960ms ipdv=425.6ms
seq=92 rtt=1.72s rd=177.9ms sd=1.54s ipdv=635.9ms
seq=93 rtt=1.26s rd=133.9ms sd=1.13s ipdv=460.1ms
seq=94 rtt=1.22s rd=128.3ms sd=1.09s ipdv=40.3ms
seq=95 rtt=1.37s rd=132.1ms sd=1.24s ipdv=153.4ms
seq=96 rtt=873.1ms rd=132ms sd=741ms ipdv=500.4ms
seq=97 rtt=1.55s rd=123.2ms sd=1.42s ipdv=675.1ms
seq=98 rtt=1.1s rd=73.58ms sd=1.03s ipdv=443.5ms
seq=99 rtt=1.16s rd=185.4ms sd=975ms ipdv=55.65ms
seq=100 rtt=1.2s rd=178.5ms sd=1.02s ipdv=38.8ms
seq=101 rtt=842.9ms rd=123ms sd=720ms ipdv=356.2ms
seq=102 rtt=1.41s rd=93.86ms sd=1.31s ipdv=564.9ms
seq=103 rtt=977.3ms rd=115ms sd=862.3ms ipdv=430.5ms
seq=104 rtt=1.65s rd=140.9ms sd=1.51s ipdv=669.8ms
seq=105 rtt=1.19s rd=94.41ms sd=1.09s ipdv=457.7ms
seq=106 rtt=1.19s rd=103.4ms sd=1.09s ipdv=3.9ms
seq=107 rtt=1.32s rd=134.8ms sd=1.18s ipdv=123ms
seq=108 rtt=815.7ms rd=134.8ms sd=680.9ms ipdv=500.5ms
seq=109 rtt=1.51s rd=140.9ms sd=1.37s ipdv=691.3ms
seq=110 rtt=1.08s rd=132ms sd=950.1ms ipdv=424.8ms
seq=111 rtt=1.6s rd=101.1ms sd=1.5s ipdv=519.5ms
seq=112 rtt=1.19s rd=143.3ms sd=1.04s ipdv=416ms
seq=113 rtt=756.4ms rd=133.3ms sd=623.1ms ipdv=429.2ms
seq=114 rtt=1.45s rd=178.4ms sd=1.27s ipdv=693.8ms
seq=115 rtt=1.04s rd=186.8ms sd=850.2ms ipdv=413.2ms
seq=116 rtt=1.65s rd=141.8ms sd=1.51s ipdv=616.7ms
seq=117 rtt=1.27s rd=97.53ms sd=1.17s ipdv=382.1ms
seq=118 rtt=772.2ms rd=97.53ms sd=674.7ms ipdv=499.3ms
seq=119 rtt=1.4s rd=150.8ms sd=1.25s ipdv=625.4ms
seq=120 rtt=959.8ms rd=121.6ms sd=838.2ms ipdv=437.8ms
seq=121 rtt=1.62s rd=187.1ms sd=1.43s ipdv=657.6ms
seq=122 rtt=1.17s rd=174.6ms sd=990.6ms ipdv=452.2ms
seq=123 rtt=1.11s rd=110.7ms sd=997.9ms ipdv=56.55ms
seq=124 rtt=1.38s rd=221.9ms sd=1.15s ipdv=266.6ms
seq=125 rtt=875ms rd=221.9ms sd=653.1ms ipdv=500.3ms
seq=126 rtt=1.46s rd=110.9ms sd=1.35s ipdv=582.2ms
seq=127 rtt=1.04s rd=114ms sd=922.7ms ipdv=420.4ms
seq=128 rtt=1.7s rd=140.9ms sd=1.56s ipdv=668.2ms
seq=129 rtt=1.29s rd=133.9ms sd=1.16s ipdv=413.1ms
seq=130 rtt=1.25s rd=94.49ms sd=1.15s ipdv=44.81ms
seq=131 rtt=1.36s rd=124.8ms sd=1.23s ipdv=110.7ms
seq=132 rtt=858.3ms rd=124.8ms sd=733.5ms ipdv=499.5ms
seq=133 rtt=1.6s rd=162.4ms sd=1.43s ipdv=738.3ms
