Data plane is up
Running irtt
UE IP is 10.45.0.2
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=18.9ms rd=14.11ms sd=4.79ms ipdv=n/a
seq=1 rtt=20ms rd=14.15ms sd=5.85ms ipdv=1.1ms
seq=2 rtt=20.2ms rd=14.28ms sd=5.92ms ipdv=201µs
seq=3 rtt=19.85ms rd=14.16ms sd=5.68ms ipdv=350µs
seq=4 rtt=21.7ms rd=14.21ms sd=7.48ms ipdv=1.85ms
seq=5 rtt=23.05ms rd=14.12ms sd=8.92ms ipdv=1.35ms
seq=6 rtt=24.3ms rd=14.12ms sd=10.17ms ipdv=1.25ms
seq=7 rtt=27.25ms rd=14.07ms sd=13.17ms ipdv=2.95ms
seq=8 rtt=9.9ms rd=14.17ms sd=-4.27ms ipdv=17.35ms
seq=9 rtt=11.7ms rd=14.02ms sd=-2.38ms ipdv=1.8ms
seq=10 rtt=13.6ms rd=14.11ms sd=-510µs ipdv=1.9ms
seq=11 rtt=16ms rd=14.21ms sd=1.79ms ipdv=2.4ms
seq=12 rtt=18.85ms rd=13.94ms sd=4.91ms ipdv=2.85ms
seq=13 rtt=20.85ms rd=14ms sd=6.85ms ipdv=2ms
seq=14 rtt=22.7ms rd=13.98ms sd=8.71ms ipdv=1.85ms
seq=15 rtt=24.9ms rd=13.94ms sd=10.95ms ipdv=2.2ms
seq=16 rtt=26.95ms rd=13.85ms sd=13.1ms ipdv=2.05ms
seq=17 rtt=28.35ms rd=13.91ms sd=14.43ms ipdv=1.4ms
seq=18 rtt=27.4ms rd=13.92ms sd=13.48ms ipdv=950µs
seq=19 rtt=28.3ms rd=13.88ms sd=14.41ms ipdv=900µs
seq=20 rtt=28.3ms rd=13.87ms sd=14.42ms ipdv=129ns
seq=21 rtt=9.7ms rd=13.86ms sd=-4.16ms ipdv=18.6ms
seq=22 rtt=12.35ms rd=13.9ms sd=-1.56ms ipdv=2.65ms
seq=23 rtt=14.25ms rd=14.02ms sd=224µs ipdv=1.9ms
seq=24 rtt=14.3ms rd=13.94ms sd=354µs ipdv=50µs
