minute,x2ap,s1ap,rrc
0,9,6,21
1,12,8,28
2,3,2,7
3,3,2,7
4,9,6,21
5,6,4,14
6,9,6,21
7,6,4,14
8,3,2,7
9,12,8,28
10,6,4,14
11,6,4,14
12,9,6,21
13,9,6,21
14,6,4,14
