minute,x2ap,s1ap,rrc
0,3,2,7
1,0,0,0
2,3,2,7
3,3,2,7
4,3,2,7
5,0,0,0
6,6,4,14
7,6,4,14
8,3,2,7
9,3,2,7
10,12,8,28
11,6,4,14
12,9,6,21
13,3,2,7
14,9,6,21
