minute,x2ap,s1ap,rrc
0,3,2,7
1,9,6,21
2,3,2,7
3,0,0,0
4,6,4,14
5,6,4,14
6,3,2,7
7,3,2,7
8,3,2,7
9,3,2,7
10,3,2,7
11,6,4,14
12,6,4,14
13,9,6,21
14,9,6,21
