Data plane is up
Running irtt
UE IP is 10.45.0.121
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.94ms rd=-14m22s sd=14m22s ipdv=n/a
seq=1 rtt=22.39ms rd=-15m20s sd=15m20s ipdv=1.55ms
seq=2 rtt=21.08ms rd=-16m17s sd=16m17s ipdv=1.31ms
seq=3 rtt=19.85ms rd=-17m15s sd=17m15s ipdv=1.23ms
seq=4 rtt=19.24ms rd=-18m12s sd=18m12s ipdv=610µs
seq=5 rtt=16.39ms rd=-19m9s sd=19m9s ipdv=2.85ms
seq=6 rtt=15.05ms rd=-20m7s sd=20m7s ipdv=1.33ms
seq=7 rtt=12.58ms rd=-21m3s sd=21m3s ipdv=2.47ms
seq=8 rtt=11.1ms rd=-22m1s sd=22m1s ipdv=1.48ms
seq=9 rtt=9.25ms rd=-22m57s sd=22m57s ipdv=1.85ms
seq=10 rtt=30.45ms rd=-23m57s sd=23m57s ipdv=21.2ms
seq=11 rtt=28.68ms rd=-24m54s sd=24m54s ipdv=1.78ms
seq=12 rtt=26.43ms rd=-25m50s sd=25m51s ipdv=2.25ms
seq=13 rtt=25.14ms rd=-26m48s sd=26m48s ipdv=1.29ms
seq=14 rtt=22.35ms rd=-27m44s sd=27m44s ipdv=2.78ms
seq=15 rtt=20.61ms rd=-28m41s sd=28m41s ipdv=1.75ms
seq=16 rtt=18.68ms rd=-29m38s sd=29m38s ipdv=1.93ms
seq=17 rtt=17.91ms rd=-30m36s sd=30m36s ipdv=770µs
seq=18 rtt=16.67ms rd=-31m34s sd=31m34s ipdv=1.24ms
seq=19 rtt=16.69ms rd=-32m33s sd=32m33s ipdv=23.7µs
seq=20 rtt=15.35ms rd=-33m31s sd=33m31s ipdv=1.34ms
seq=21 rtt=15.49ms rd=-34m29s sd=34m29s ipdv=140µs
seq=22 rtt=14ms rd=-35m27s sd=35m27s ipdv=1.5ms
seq=23 rtt=14.31ms rd=-36m26s sd=36m26s ipdv=309µs
seq=24 rtt=12.81ms rd=-37m24s sd=37m24s ipdv=1.5ms
seq=25 rtt=12.38ms rd=-38m23s sd=38m23s ipdv=421µs
seq=26 rtt=11.75ms rd=-39m21s sd=39m21s ipdv=632µs
seq=27 rtt=11.36ms rd=-40m19s sd=40m19s ipdv=394µs
seq=28 rtt=10.48ms rd=-41m17s sd=41m18s ipdv=882µs
seq=29 rtt=10.36ms rd=-42m16s sd=42m16s ipdv=114µs
seq=30 rtt=10.47ms rd=-43m15s sd=43m15s ipdv=104µs
seq=31 rtt=10.77ms rd=-44m14s sd=44m14s ipdv=305µs
seq=32 rtt=10.47ms rd=-45m12s sd=45m12s ipdv=305µs
seq=33 rtt=10.78ms rd=-46m11s sd=46m11s ipdv=309µs
seq=34 rtt=10.52ms rd=-47m10s sd=47m10s ipdv=260µs
seq=35 rtt=10.78ms rd=-48m9s sd=48m9s ipdv=265µs
seq=36 rtt=10.5ms rd=-49m8s sd=49m8s ipdv=282µs
seq=37 rtt=10.53ms rd=-50m7s sd=50m7s ipdv=29.8µs
seq=38 rtt=10.46ms rd=-51m5s sd=51m5s ipdv=68.3µs
seq=39 rtt=10.76ms rd=-52m4s sd=52m4s ipdv=301µs
seq=40 rtt=9.36ms rd=-53m3s sd=53m3s ipdv=1.4ms
seq=41 rtt=9.77ms rd=-54m2s sd=54m2s ipdv=415µs
seq=42 rtt=10.18ms rd=-55m1s sd=55m1s ipdv=409µs
seq=43 rtt=9.62ms rd=-55m59s sd=55m59s ipdv=562µs
seq=44 rtt=9.31ms rd=-56m58s sd=56m58s ipdv=308µs
seq=45 rtt=9.61ms rd=-57m57s sd=57m57s ipdv=302µs
seq=46 rtt=32.2ms rd=-58m58s sd=58m58s ipdv=22.59ms
seq=47 rtt=9.56ms rd=-59m54s sd=59m54s ipdv=22.63ms
seq=48 rtt=32ms rd=-1h0m55s sd=1h0m55s ipdv=22.44ms
seq=49 rtt=30.73ms rd=-1h1m54s sd=1h1m54s ipdv=1.27ms
seq=50 rtt=9.26ms rd=-1h2m50s sd=1h2m50s ipdv=21.47ms
seq=51 rtt=30.17ms rd=-1h3m51s sd=1h3m51s ipdv=20.91ms
seq=52 rtt=31.04ms rd=-1h4m50s sd=1h4m50s ipdv=871µs
seq=53 rtt=30.25ms rd=-1h5m49s sd=1h5m49s ipdv=790µs
seq=54 rtt=30.75ms rd=-1h6m48s sd=1h6m48s ipdv=499µs
seq=55 rtt=29.8ms rd=-1h7m46s sd=1h7m46s ipdv=952µs
