Data plane is up
Running irtt
UE IP is 10.45.0.125
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.88ms rd=-14m20s sd=14m20s ipdv=n/a
seq=1 rtt=22.96ms rd=-15m19s sd=15m19s ipdv=922µs
seq=2 rtt=20.83ms rd=-16m16s sd=16m16s ipdv=2.13ms
seq=3 rtt=20.41ms rd=-17m14s sd=17m14s ipdv=419µs
seq=4 rtt=19.35ms rd=-18m11s sd=18m11s ipdv=1.07ms
seq=5 rtt=17.81ms rd=-19m8s sd=19m8s ipdv=1.53ms
seq=6 rtt=15.28ms rd=-20m5s sd=20m5s ipdv=2.53ms
seq=7 rtt=14.19ms rd=-21m2s sd=21m2s ipdv=1.09ms
seq=8 rtt=11.83ms rd=-21m59s sd=21m59s ipdv=2.36ms
seq=9 rtt=10.94ms rd=-22m56s sd=22m56s ipdv=883µs
seq=10 rtt=9.63ms rd=-23m53s sd=23m53s ipdv=1.32ms
seq=11 rtt=29.61ms rd=-24m53s sd=24m53s ipdv=19.99ms
seq=12 rtt=27.99ms rd=-25m50s sd=25m50s ipdv=1.63ms
seq=13 rtt=25.5ms rd=-26m46s sd=26m47s ipdv=2.49ms
seq=14 rtt=23.75ms rd=-27m43s sd=27m43s ipdv=1.75ms
seq=15 rtt=21.76ms rd=-28m40s sd=28m40s ipdv=1.99ms
seq=16 rtt=19.25ms rd=-29m37s sd=29m37s ipdv=2.51ms
seq=17 rtt=18.73ms rd=-30m35s sd=30m35s ipdv=515µs
seq=18 rtt=18.17ms rd=-31m33s sd=31m33s ipdv=562µs
seq=19 rtt=17.26ms rd=-32m32s sd=32m32s ipdv=907µs
seq=20 rtt=16.73ms rd=-33m30s sd=33m30s ipdv=536µs
seq=21 rtt=16ms rd=-34m28s sd=34m28s ipdv=723µs
seq=22 rtt=14.73ms rd=-35m26s sd=35m26s ipdv=1.27ms
seq=23 rtt=15ms rd=-36m25s sd=36m25s ipdv=265µs
seq=24 rtt=14.34ms rd=-37m23s sd=37m23s ipdv=663µs
seq=25 rtt=13.95ms rd=-38m22s sd=38m22s ipdv=385µs
seq=26 rtt=13.06ms rd=-39m20s sd=39m20s ipdv=893µs
seq=27 rtt=12.21ms rd=-40m18s sd=40m18s ipdv=852µs
seq=28 rtt=11.93ms rd=-41m17s sd=41m17s ipdv=280µs
seq=29 rtt=11.1ms rd=-42m15s sd=42m15s ipdv=823µs
seq=30 rtt=10.49ms rd=-43m14s sd=43m14s ipdv=613µs
seq=31 rtt=11.45ms rd=-44m13s sd=44m13s ipdv=956µs
seq=32 rtt=10.64ms rd=-45m12s sd=45m12s ipdv=807µs
seq=33 rtt=11.31ms rd=-46m10s sd=46m10s ipdv=674µs
seq=34 rtt=10.65ms rd=-47m9s sd=47m9s ipdv=663µs
seq=35 rtt=10.45ms rd=-48m8s sd=48m8s ipdv=198µs
seq=36 rtt=10.75ms rd=-49m7s sd=49m7s ipdv=295µs
seq=37 rtt=10.67ms rd=-50m6s sd=50m6s ipdv=74.3µs
seq=38 rtt=10.78ms rd=-51m4s sd=51m4s ipdv=108µs
seq=39 rtt=10.39ms rd=-52m3s sd=52m3s ipdv=394µs
seq=40 rtt=10.64ms rd=-53m2s sd=53m2s ipdv=251µs
seq=41 rtt=10.95ms rd=-54m1s sd=54m1s ipdv=309µs
seq=42 rtt=9.54ms rd=-55m0s sd=55m0s ipdv=1.41ms
seq=43 rtt=10.38ms rd=-55m58s sd=55m58s ipdv=839µs
seq=44 rtt=9.48ms rd=-56m57s sd=56m57s ipdv=896µs
seq=45 rtt=9.77ms rd=-57m56s sd=57m56s ipdv=291µs
seq=46 rtt=32.16ms rd=-58m57s sd=58m57s ipdv=22.39ms
seq=47 rtt=9.78ms rd=-59m53s sd=59m53s ipdv=22.39ms
seq=48 rtt=9.54ms rd=-1h0m52s sd=1h0m52s ipdv=234µs
seq=49 rtt=9.7ms rd=-1h1m50s sd=1h1m50s ipdv=154µs
seq=50 rtt=9.42ms rd=-1h2m49s sd=1h2m49s ipdv=271µs
seq=51 rtt=29.77ms rd=-1h3m50s sd=1h3m50s ipdv=20.35ms
seq=52 rtt=30.87ms rd=-1h4m49s sd=1h4m49s ipdv=1.1ms
seq=53 rtt=30.13ms rd=-1h5m48s sd=1h5m48s ipdv=743µs
seq=54 rtt=30.82ms rd=-1h6m46s sd=1h6m46s ipdv=690µs
