Data plane is up
Running irtt
UE IP is 10.45.0.66
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.65ms rd=-14m25s sd=14m25s ipdv=n/a
seq=1 rtt=21.97ms rd=-15m24s sd=15m24s ipdv=1.68ms
seq=2 rtt=21.32ms rd=-16m21s sd=16m21s ipdv=658µs
seq=3 rtt=21.01ms rd=-17m19s sd=17m19s ipdv=307µs
seq=4 rtt=19.11ms rd=-18m16s sd=18m16s ipdv=1.9ms
seq=5 rtt=17.76ms rd=-19m13s sd=19m13s ipdv=1.35ms
seq=6 rtt=15.64ms rd=-20m10s sd=20m10s ipdv=2.12ms
seq=7 rtt=14.02ms rd=-21m7s sd=21m7s ipdv=1.62ms
seq=8 rtt=12.48ms rd=-22m4s sd=22m4s ipdv=1.54ms
seq=9 rtt=9.54ms rd=-23m1s sd=23m1s ipdv=2.94ms
seq=10 rtt=30.04ms rd=-24m1s sd=24m1s ipdv=20.5ms
seq=11 rtt=29.88ms rd=-24m57s sd=24m57s ipdv=158µs
seq=12 rtt=27.95ms rd=-25m54s sd=25m55s ipdv=1.93ms
seq=13 rtt=25.67ms rd=-26m51s sd=26m51s ipdv=2.28ms
seq=14 rtt=23.83ms rd=-27m48s sd=27m48s ipdv=1.84ms
seq=15 rtt=21.5ms rd=-28m45s sd=28m45s ipdv=2.33ms
seq=16 rtt=20.36ms rd=-29m42s sd=29m42s ipdv=1.15ms
seq=17 rtt=19.43ms rd=-30m40s sd=30m40s ipdv=925µs
seq=18 rtt=17.9ms rd=-31m38s sd=31m38s ipdv=1.53ms
seq=19 rtt=17.88ms rd=-32m37s sd=32m37s ipdv=20.4µs
seq=20 rtt=17.06ms rd=-33m35s sd=33m35s ipdv=822µs
seq=21 rtt=16.88ms rd=-34m33s sd=34m33s ipdv=177µs
seq=22 rtt=16.09ms rd=-35m31s sd=35m31s ipdv=791µs
seq=23 rtt=15.14ms rd=-36m30s sd=36m30s ipdv=950µs
seq=24 rtt=16.33ms rd=-37m28s sd=37m28s ipdv=1.18ms
seq=25 rtt=15.04ms rd=-38m27s sd=38m27s ipdv=1.29ms
seq=26 rtt=14.44ms rd=-39m25s sd=39m25s ipdv=598µs
seq=27 rtt=13.94ms rd=-40m23s sd=40m23s ipdv=499µs
seq=28 rtt=13.17ms rd=-41m22s sd=41m22s ipdv=770µs
seq=29 rtt=12.93ms rd=-42m20s sd=42m20s ipdv=244µs
seq=30 rtt=12.87ms rd=-43m19s sd=43m19s ipdv=59µs
seq=31 rtt=13.29ms rd=-44m18s sd=44m18s ipdv=419µs
seq=32 rtt=13.38ms rd=-45m17s sd=45m17s ipdv=89.5µs
seq=33 rtt=12.45ms rd=-46m15s sd=46m15s ipdv=932µs
seq=34 rtt=12.59ms rd=-47m14s sd=47m14s ipdv=141µs
seq=35 rtt=12.42ms rd=-48m13s sd=48m13s ipdv=167µs
seq=36 rtt=12.71ms rd=-49m12s sd=49m12s ipdv=291µs
seq=37 rtt=12.4ms rd=-50m11s sd=50m11s ipdv=316µs
seq=38 rtt=11.88ms rd=-51m10s sd=51m10s ipdv=513µs
seq=39 rtt=12.29ms rd=-52m8s sd=52m8s ipdv=404µs
seq=40 rtt=11.44ms rd=-53m7s sd=53m7s ipdv=846µs
seq=41 rtt=11.7ms rd=-54m6s sd=54m6s ipdv=254µs
seq=42 rtt=11.26ms rd=-55m5s sd=55m5s ipdv=435µs
seq=43 rtt=11.45ms rd=-56m3s sd=56m3s ipdv=187µs
seq=44 rtt=10.73ms rd=-57m2s sd=57m2s ipdv=716µs
seq=45 rtt=11.12ms rd=-58m1s sd=58m1s ipdv=389µs
seq=46 rtt=10.78ms rd=-59m0s sd=59m0s ipdv=347µs
seq=47 rtt=10.01ms rd=-59m58s sd=59m58s ipdv=761µs
seq=48 rtt=10.68ms rd=-1h0m57s sd=1h0m57s ipdv=665µs
seq=49 rtt=10.7ms rd=-1h1m55s sd=1h1m55s ipdv=24.1µs
seq=50 rtt=9.55ms rd=-1h2m54s sd=1h2m54s ipdv=1.16ms
seq=51 rtt=10.51ms rd=-1h3m53s sd=1h3m53s ipdv=961µs
seq=52 rtt=9.55ms rd=-1h4m52s sd=1h4m52s ipdv=961µs
seq=53 rtt=9.75ms rd=-1h5m50s sd=1h5m50s ipdv=201µs
seq=54 rtt=9.59ms rd=-1h6m49s sd=1h6m49s ipdv=153µs
