Data plane is up
Running irtt
UE IP is 10.45.0.36
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.98ms rd=-14m10s sd=14m10s ipdv=n/a
seq=1 rtt=22.86ms rd=-15m8s sd=15m8s ipdv=1.11ms
seq=2 rtt=21.26ms rd=-16m6s sd=16m6s ipdv=1.6ms
seq=3 rtt=20.71ms rd=-17m4s sd=17m4s ipdv=553µs
seq=4 rtt=19.33ms rd=-18m1s sd=18m1s ipdv=1.37ms
seq=5 rtt=16.41ms rd=-18m58s sd=18m58s ipdv=2.93ms
seq=6 rtt=15.4ms rd=-19m56s sd=19m56s ipdv=1.01ms
seq=7 rtt=13.25ms rd=-20m52s sd=20m52s ipdv=2.14ms
seq=8 rtt=10.83ms rd=-21m49s sd=21m49s ipdv=2.42ms
seq=9 rtt=9.33ms rd=-22m46s sd=22m46s ipdv=1.5ms
seq=10 rtt=30.39ms rd=-23m46s sd=23m46s ipdv=21.06ms
seq=11 rtt=28.72ms rd=-24m43s sd=24m43s ipdv=1.67ms
seq=12 rtt=26.21ms rd=-25m40s sd=25m40s ipdv=2.51ms
seq=13 rtt=25.17ms rd=-26m37s sd=26m37s ipdv=1.05ms
seq=14 rtt=22.3ms rd=-27m33s sd=27m33s ipdv=2.86ms
seq=15 rtt=20.6ms rd=-28m30s sd=28m30s ipdv=1.7ms
seq=16 rtt=18.7ms rd=-29m27s sd=29m27s ipdv=1.9ms
seq=17 rtt=16.95ms rd=-30m25s sd=30m25s ipdv=1.75ms
seq=18 rtt=16.36ms rd=-31m23s sd=31m23s ipdv=593µs
seq=19 rtt=15.5ms rd=-32m21s sd=32m21s ipdv=862µs
seq=20 rtt=14.94ms rd=-33m19s sd=33m19s ipdv=562µs
seq=21 rtt=13.98ms rd=-34m18s sd=34m18s ipdv=958µs
seq=22 rtt=14.14ms rd=-35m16s sd=35m16s ipdv=156µs
seq=23 rtt=13.26ms rd=-36m15s sd=36m15s ipdv=876µs
seq=24 rtt=12.86ms rd=-37m13s sd=37m13s ipdv=396µs
seq=25 rtt=12.42ms rd=-38m11s sd=38m12s ipdv=447µs
seq=26 rtt=11.03ms rd=-39m10s sd=39m10s ipdv=1.39ms
seq=27 rtt=11.12ms rd=-40m8s sd=40m8s ipdv=89.5µs
seq=28 rtt=10.69ms rd=-41m6s sd=41m6s ipdv=432µs
seq=29 rtt=9.98ms rd=-42m5s sd=42m5s ipdv=703µs
seq=30 rtt=9.6ms rd=-43m3s sd=43m3s ipdv=385µs
seq=31 rtt=9.32ms rd=-44m2s sd=44m2s ipdv=279µs
seq=32 rtt=9.38ms rd=-45m1s sd=45m1s ipdv=60.8µs
seq=33 rtt=9.63ms rd=-46m0s sd=46m0s ipdv=251µs
seq=34 rtt=9.37ms rd=-46m59s sd=46m59s ipdv=259µs
seq=35 rtt=10.06ms rd=-47m58s sd=47m58s ipdv=687µs
seq=36 rtt=9.32ms rd=-48m56s sd=48m56s ipdv=737µs
seq=37 rtt=9.58ms rd=-49m55s sd=49m55s ipdv=260µs
seq=38 rtt=9.52ms rd=-50m54s sd=50m54s ipdv=63.1µs
seq=39 rtt=9.67ms rd=-51m53s sd=51m53s ipdv=148µs
seq=40 rtt=9.29ms rd=-52m52s sd=52m52s ipdv=375µs
seq=41 rtt=9.82ms rd=-53m51s sd=53m51s ipdv=528µs
seq=42 rtt=9.37ms rd=-54m49s sd=54m49s ipdv=453µs
seq=43 rtt=10.02ms rd=-55m48s sd=55m48s ipdv=650µs
seq=44 rtt=9.42ms rd=-56m47s sd=56m47s ipdv=597µs
seq=45 rtt=30.84ms rd=-57m48s sd=57m48s ipdv=21.42ms
seq=46 rtt=30.29ms rd=-58m47s sd=58m47s ipdv=552µs
seq=47 rtt=30.27ms rd=-59m45s sd=59m45s ipdv=15.2µs
seq=48 rtt=30.39ms rd=-1h0m44s sd=1h0m44s ipdv=120µs
seq=49 rtt=29.93ms rd=-1h1m43s sd=1h1m43s ipdv=457µs
seq=50 rtt=29.91ms rd=-1h2m41s sd=1h2m41s ipdv=23.4µs
seq=51 rtt=29.63ms rd=-1h3m40s sd=1h3m40s ipdv=285µs
seq=52 rtt=29.96ms rd=-1h4m39s sd=1h4m39s ipdv=331µs
seq=53 rtt=29.12ms rd=-1h5m38s sd=1h5m38s ipdv=833µs
seq=54 rtt=29.87ms rd=-1h6m36s sd=1h6m36s ipdv=742µs
seq=55 rtt=28.4ms rd=-1h7m35s sd=1h7m35s ipdv=1.46ms
