Data plane is up
Running irtt
UE IP is 10.45.0.98
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.84ms rd=-14m24s sd=14m24s ipdv=n/a
seq=1 rtt=23.66ms rd=-15m22s sd=15m22s ipdv=171µs
seq=2 rtt=22.38ms rd=-16m19s sd=16m20s ipdv=1.28ms
seq=3 rtt=21.55ms rd=-17m17s sd=17m17s ipdv=830µs
seq=4 rtt=18.87ms rd=-18m14s sd=18m14s ipdv=2.68ms
seq=5 rtt=18.07ms rd=-19m12s sd=19m12s ipdv=801µs
seq=6 rtt=15.51ms rd=-20m9s sd=20m9s ipdv=2.56ms
seq=7 rtt=13.63ms rd=-21m6s sd=21m6s ipdv=1.88ms
seq=8 rtt=11.74ms rd=-22m3s sd=22m3s ipdv=1.9ms
seq=9 rtt=9.62ms rd=-23m0s sd=23m0s ipdv=2.11ms
seq=10 rtt=9.57ms rd=-23m56s sd=23m56s ipdv=54.1µs
seq=11 rtt=29.86ms rd=-24m56s sd=24m56s ipdv=20.29ms
seq=12 rtt=27.7ms rd=-25m53s sd=25m53s ipdv=2.16ms
seq=13 rtt=25.27ms rd=-26m50s sd=26m50s ipdv=2.43ms
seq=14 rtt=24.05ms rd=-27m47s sd=27m47s ipdv=1.22ms
seq=15 rtt=20.94ms rd=-28m43s sd=28m43s ipdv=3.11ms
seq=16 rtt=19.42ms rd=-29m41s sd=29m41s ipdv=1.52ms
seq=17 rtt=21.75ms rd=-30m39s sd=30m39s ipdv=2.33ms
seq=18 rtt=22.09ms rd=-31m37s sd=31m37s ipdv=341µs
seq=19 rtt=21.11ms rd=-32m35s sd=32m35s ipdv=975µs
seq=20 rtt=20.46ms rd=-33m34s sd=33m34s ipdv=649µs
seq=21 rtt=19.81ms rd=-34m32s sd=34m32s ipdv=659µs
seq=22 rtt=19.36ms rd=-35m30s sd=35m30s ipdv=442µs
seq=23 rtt=18.71ms rd=-36m28s sd=36m28s ipdv=655µs
seq=24 rtt=18.46ms rd=-37m27s sd=37m27s ipdv=249µs
seq=25 rtt=17.63ms rd=-38m25s sd=38m25s ipdv=833µs
seq=26 rtt=16.66ms rd=-39m24s sd=39m24s ipdv=969µs
seq=27 rtt=15.58ms rd=-40m22s sd=40m22s ipdv=1.08ms
seq=28 rtt=15.51ms rd=-41m20s sd=41m20s ipdv=62.5µs
seq=29 rtt=14.61ms rd=-42m19s sd=42m19s ipdv=903µs
seq=30 rtt=14.75ms rd=-43m18s sd=43m18s ipdv=134µs
seq=31 rtt=15.21ms rd=-44m16s sd=44m16s ipdv=468µs
seq=32 rtt=14.46ms rd=-45m15s sd=45m15s ipdv=752µs
seq=33 rtt=14.1ms rd=-46m14s sd=46m14s ipdv=361µs
seq=34 rtt=14.72ms rd=-47m13s sd=47m13s ipdv=616µs
seq=35 rtt=13.89ms rd=-48m12s sd=48m12s ipdv=826µs
seq=36 rtt=14.97ms rd=-49m11s sd=49m11s ipdv=1.08ms
seq=37 rtt=14.12ms rd=-50m9s sd=50m9s ipdv=849µs
seq=38 rtt=13.96ms rd=-51m8s sd=51m8s ipdv=160µs
seq=39 rtt=14.26ms rd=-52m7s sd=52m7s ipdv=292µs
seq=40 rtt=14.55ms rd=-53m6s sd=53m6s ipdv=299µs
seq=41 rtt=13.41ms rd=-54m5s sd=54m5s ipdv=1.15ms
seq=42 rtt=13.63ms rd=-55m3s sd=55m3s ipdv=224µs
seq=43 rtt=13.17ms rd=-56m2s sd=56m2s ipdv=464µs
seq=44 rtt=13.48ms rd=-57m1s sd=57m1s ipdv=310µs
seq=45 rtt=12.9ms rd=-57m59s sd=57m59s ipdv=577µs
seq=46 rtt=12.56ms rd=-58m58s sd=58m58s ipdv=337µs
seq=47 rtt=12.24ms rd=-59m57s sd=59m57s ipdv=319µs
seq=48 rtt=11.97ms rd=-1h0m56s sd=1h0m56s ipdv=275µs
seq=49 rtt=12.38ms rd=-1h1m54s sd=1h1m54s ipdv=405µs
seq=50 rtt=11.95ms rd=-1h2m53s sd=1h2m53s ipdv=422µs
seq=51 rtt=11.18ms rd=-1h3m51s sd=1h3m51s ipdv=769µs
seq=52 rtt=11.93ms rd=-1h4m50s sd=1h4m50s ipdv=745µs
seq=53 rtt=10.77ms rd=-1h5m49s sd=1h5m49s ipdv=1.15ms
seq=54 rtt=10.88ms rd=-1h6m48s sd=1h6m48s ipdv=105µs
seq=55 rtt=9.96ms rd=-1h7m46s sd=1h7m46s ipdv=921µs
