Data plane is up
Running irtt
UE IP is 10.45.0.36
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=19.17ms rd=-14m15s sd=14m15s ipdv=n/a
seq=1 rtt=17.94ms rd=-15m13s sd=15m13s ipdv=1.23ms
seq=2 rtt=16.08ms rd=-16m10s sd=16m10s ipdv=1.86ms
seq=3 rtt=15.67ms rd=-17m9s sd=17m9s ipdv=409µs
seq=4 rtt=14.08ms rd=-18m6s sd=18m6s ipdv=1.59ms
seq=5 rtt=11.89ms rd=-19m3s sd=19m3s ipdv=2.19ms
seq=6 rtt=10.94ms rd=-20m0s sd=20m0s ipdv=949µs
seq=7 rtt=9.48ms rd=-20m57s sd=20m57s ipdv=1.46ms
seq=8 rtt=30.28ms rd=-21m56s sd=21m56s ipdv=20.8ms
seq=9 rtt=27.93ms rd=-22m53s sd=22m53s ipdv=2.35ms
seq=10 rtt=26.4ms rd=-23m50s sd=23m50s ipdv=1.52ms
seq=11 rtt=23.8ms rd=-24m47s sd=24m47s ipdv=2.61ms
seq=12 rtt=22.48ms rd=-25m44s sd=25m44s ipdv=1.32ms
seq=13 rtt=19.76ms rd=-26m41s sd=26m41s ipdv=2.72ms
seq=14 rtt=17.8ms rd=-27m38s sd=27m38s ipdv=1.96ms
seq=15 rtt=15.69ms rd=-28m35s sd=28m35s ipdv=2.11ms
seq=16 rtt=13.86ms rd=-29m32s sd=29m32s ipdv=1.83ms
seq=17 rtt=13.39ms rd=-30m29s sd=30m29s ipdv=462µs
seq=18 rtt=11.93ms rd=-31m27s sd=31m27s ipdv=1.47ms
seq=19 rtt=11.05ms rd=-32m26s sd=32m26s ipdv=873µs
seq=20 rtt=11.05ms rd=-33m24s sd=33m24s ipdv=528ns
seq=21 rtt=9.9ms rd=-34m22s sd=34m22s ipdv=1.15ms
seq=22 rtt=10.23ms rd=-35m21s sd=35m21s ipdv=328µs
seq=23 rtt=9.94ms rd=-36m19s sd=36m19s ipdv=293µs
seq=24 rtt=9.57ms rd=-37m18s sd=37m18s ipdv=366µs
seq=25 rtt=30.54ms rd=-38m19s sd=38m19s ipdv=20.97ms
seq=26 rtt=139.2ms rd=-39m17s sd=39m17s ipdv=108.7ms
seq=27 rtt=29.78ms rd=-40m15s sd=40m15s ipdv=109.4ms
seq=28 rtt=29.92ms rd=-41m14s sd=41m14s ipdv=139µs
seq=29 rtt=29.93ms rd=-42m12s sd=42m12s ipdv=13.6µs
seq=30 rtt=29.79ms rd=-43m11s sd=43m11s ipdv=141µs
seq=31 rtt=29.84ms rd=-44m10s sd=44m10s ipdv=47.3µs
seq=32 rtt=29.7ms rd=-45m9s sd=45m9s ipdv=138µs
seq=33 rtt=29.79ms rd=-46m7s sd=46m7s ipdv=87µs
seq=34 rtt=29.62ms rd=-47m6s sd=47m6s ipdv=165µs
seq=35 rtt=28.7ms rd=-48m5s sd=48m5s ipdv=927µs
seq=36 rtt=28.63ms rd=-49m4s sd=49m4s ipdv=66.3µs
seq=37 rtt=28.64ms rd=-50m3s sd=50m3s ipdv=9.23µs
seq=38 rtt=29.67ms rd=-51m1s sd=51m1s ipdv=1.03ms
seq=39 rtt=28.77ms rd=-52m0s sd=52m0s ipdv=894µs
seq=40 rtt=28.61ms rd=-52m59s sd=52m59s ipdv=166µs
seq=41 rtt=28.69ms rd=-53m58s sd=53m58s ipdv=83.5µs
seq=42 rtt=28.55ms rd=-54m57s sd=54m57s ipdv=145µs
seq=43 rtt=28.68ms rd=-55m55s sd=55m55s ipdv=139µs
seq=44 rtt=28.52ms rd=-56m54s sd=56m54s ipdv=168µs
seq=45 rtt=27.48ms rd=-57m53s sd=57m53s ipdv=1.04ms
seq=46 rtt=27.34ms rd=-58m51s sd=58m51s ipdv=139µs
seq=47 rtt=27.5ms rd=-59m50s sd=59m50s ipdv=157µs
seq=48 rtt=27.33ms rd=-1h0m49s sd=1h0m49s ipdv=168µs
seq=49 rtt=27.47ms rd=-1h1m47s sd=1h1m47s ipdv=140µs
seq=50 rtt=26.3ms rd=-1h2m46s sd=1h2m46s ipdv=1.17ms
seq=51 rtt=26.55ms rd=-1h3m45s sd=1h3m45s ipdv=248µs
seq=52 rtt=26.41ms rd=-1h4m43s sd=1h4m43s ipdv=141µs
seq=53 rtt=26.28ms rd=-1h5m42s sd=1h5m42s ipdv=125µs
seq=54 rtt=26.43ms rd=-1h6m41s sd=1h6m41s ipdv=147µs
seq=55 rtt=26.33ms rd=-1h7m40s sd=1h7m40s ipdv=101µs
