Data plane is up
Running irtt
UE IP is 10.45.0.106
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.76ms rd=-13m50s sd=13m50s ipdv=n/a
seq=1 rtt=23.38ms rd=-14m48s sd=14m48s ipdv=380µs
seq=2 rtt=22.32ms rd=-15m46s sd=15m46s ipdv=1.06ms
seq=3 rtt=21.74ms rd=-16m44s sd=16m44s ipdv=573µs
seq=4 rtt=20.01ms rd=-17m41s sd=17m41s ipdv=1.73ms
seq=5 rtt=18.08ms rd=-18m38s sd=18m38s ipdv=1.94ms
seq=6 rtt=16.64ms rd=-19m36s sd=19m36s ipdv=1.44ms
seq=7 rtt=14.48ms rd=-20m32s sd=20m32s ipdv=2.16ms
seq=8 rtt=12.34ms rd=-21m29s sd=21m29s ipdv=2.14ms
seq=9 rtt=11.06ms rd=-22m26s sd=22m26s ipdv=1.28ms
seq=10 rtt=9.59ms rd=-23m23s sd=23m23s ipdv=1.47ms
seq=11 rtt=29.91ms rd=-24m23s sd=24m23s ipdv=20.31ms
seq=12 rtt=28.78ms rd=-25m20s sd=25m20s ipdv=1.13ms
seq=13 rtt=26.4ms rd=-26m17s sd=26m17s ipdv=2.38ms
seq=14 rtt=23.79ms rd=-27m13s sd=27m13s ipdv=2.61ms
seq=15 rtt=22.42ms rd=-28m10s sd=28m10s ipdv=1.36ms
seq=16 rtt=20.52ms rd=-29m7s sd=29m7s ipdv=1.91ms
seq=17 rtt=21.95ms rd=-30m5s sd=30m5s ipdv=1.44ms
seq=18 rtt=20.77ms rd=-31m3s sd=31m3s ipdv=1.18ms
seq=19 rtt=20.27ms rd=-32m1s sd=32m1s ipdv=498µs
seq=20 rtt=20.42ms rd=-33m0s sd=33m0s ipdv=151µs
seq=21 rtt=19.02ms rd=-33m58s sd=33m58s ipdv=1.41ms
seq=22 rtt=19.17ms rd=-34m56s sd=34m56s ipdv=155µs
seq=23 rtt=17.89ms rd=-35m54s sd=35m54s ipdv=1.28ms
seq=24 rtt=18.35ms rd=-36m53s sd=36m53s ipdv=464µs
seq=25 rtt=16.66ms rd=-37m51s sd=37m51s ipdv=1.69ms
seq=26 rtt=16.99ms rd=-38m50s sd=38m50s ipdv=331µs
seq=27 rtt=15.59ms rd=-39m48s sd=39m48s ipdv=1.4ms
seq=28 rtt=15.2ms rd=-40m46s sd=40m46s ipdv=392µs
seq=29 rtt=14.17ms rd=-41m45s sd=41m45s ipdv=1.03ms
seq=30 rtt=14.86ms rd=-42m43s sd=42m43s ipdv=692µs
seq=31 rtt=14.59ms rd=-43m42s sd=43m42s ipdv=267µs
seq=32 rtt=14.71ms rd=-44m41s sd=44m41s ipdv=117µs
seq=33 rtt=14.28ms rd=-45m40s sd=45m40s ipdv=423µs
seq=34 rtt=14.54ms rd=-46m39s sd=46m39s ipdv=258µs
seq=35 rtt=14.19ms rd=-47m37s sd=47m37s ipdv=356µs
seq=36 rtt=13.81ms rd=-48m36s sd=48m36s ipdv=373µs
seq=37 rtt=13.72ms rd=-49m35s sd=49m35s ipdv=91.5µs
seq=38 rtt=13.85ms rd=-50m34s sd=50m34s ipdv=126µs
seq=39 rtt=14.56ms rd=-51m33s sd=51m33s ipdv=709µs
seq=40 rtt=14.61ms rd=-52m32s sd=52m32s ipdv=49.9µs
seq=41 rtt=14.45ms rd=-53m30s sd=53m30s ipdv=160µs
seq=42 rtt=14.61ms rd=-54m29s sd=54m29s ipdv=167µs
seq=43 rtt=14.12ms rd=-55m28s sd=55m28s ipdv=489µs
seq=44 rtt=13.42ms rd=-56m26s sd=56m26s ipdv=707µs
seq=45 rtt=13.56ms rd=-57m25s sd=57m25s ipdv=146µs
seq=46 rtt=12.69ms rd=-58m24s sd=58m24s ipdv=878µs
seq=47 rtt=13.05ms rd=-59m22s sd=59m22s ipdv=368µs
seq=48 rtt=12.23ms rd=-1h0m21s sd=1h0m21s ipdv=820µs
seq=49 rtt=12.25ms rd=-1h1m20s sd=1h1m20s ipdv=13.3µs
seq=50 rtt=12.9ms rd=-1h2m18s sd=1h2m18s ipdv=655µs
seq=51 rtt=11.81ms rd=-1h3m17s sd=1h3m17s ipdv=1.09ms
seq=52 rtt=11.72ms rd=-1h4m16s sd=1h4m16s ipdv=85.3µs
seq=53 rtt=12.37ms rd=-1h5m15s sd=1h5m15s ipdv=647µs
seq=54 rtt=11.37ms rd=-1h6m13s sd=1h6m13s ipdv=1.01ms
seq=55 rtt=11.12ms rd=-1h7m12s sd=1h7m12s ipdv=246µs
