Data plane is up
Running irtt
UE IP is 10.45.0.121
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=24.08ms rd=-13m58s sd=13m58s ipdv=n/a
seq=1 rtt=23ms rd=-14m56s sd=14m57s ipdv=1.08ms
seq=2 rtt=20.42ms rd=-15m54s sd=15m54s ipdv=2.58ms
seq=3 rtt=21.66ms rd=-16m52s sd=16m52s ipdv=1.23ms
seq=4 rtt=19.69ms rd=-17m49s sd=17m49s ipdv=1.97ms
seq=5 rtt=18.07ms rd=-18m46s sd=18m46s ipdv=1.62ms
seq=6 rtt=16.89ms rd=-19m44s sd=19m44s ipdv=1.18ms
seq=7 rtt=14.73ms rd=-20m41s sd=20m41s ipdv=2.16ms
seq=8 rtt=12.7ms rd=-21m37s sd=21m37s ipdv=2.03ms
seq=9 rtt=10.94ms rd=-22m34s sd=22m34s ipdv=1.76ms
seq=10 rtt=9.84ms rd=-23m31s sd=23m31s ipdv=1.1ms
seq=11 rtt=29.96ms rd=-24m31s sd=24m31s ipdv=20.13ms
seq=12 rtt=27.77ms rd=-25m28s sd=25m28s ipdv=2.19ms
seq=13 rtt=25.69ms rd=-26m24s sd=26m24s ipdv=2.08ms
seq=14 rtt=23.79ms rd=-27m21s sd=27m21s ipdv=1.9ms
seq=15 rtt=21.51ms rd=-28m18s sd=28m18s ipdv=2.28ms
seq=16 rtt=19.55ms rd=-29m15s sd=29m15s ipdv=1.96ms
seq=17 rtt=19.56ms rd=-30m13s sd=30m13s ipdv=7.95µs
seq=18 rtt=17.36ms rd=-31m11s sd=31m11s ipdv=2.21ms
seq=19 rtt=16.84ms rd=-32m9s sd=32m9s ipdv=512µs
seq=20 rtt=17.07ms rd=-33m7s sd=33m7s ipdv=224µs
seq=21 rtt=15.7ms rd=-34m6s sd=34m6s ipdv=1.37ms
seq=22 rtt=14.98ms rd=-35m4s sd=35m4s ipdv=714µs
seq=23 rtt=15.04ms rd=-36m2s sd=36m2s ipdv=51.8µs
seq=24 rtt=15.53ms rd=-37m1s sd=37m1s ipdv=490µs
seq=25 rtt=15.25ms rd=-37m59s sd=37m59s ipdv=273µs
seq=26 rtt=14.45ms rd=-38m58s sd=38m58s ipdv=804µs
seq=27 rtt=13.31ms rd=-39m56s sd=39m56s ipdv=1.14ms
seq=28 rtt=12.78ms rd=-40m54s sd=40m54s ipdv=528µs
seq=29 rtt=12.2ms rd=-41m52s sd=41m52s ipdv=579µs
seq=30 rtt=12.75ms rd=-42m51s sd=42m51s ipdv=549µs
seq=31 rtt=12.3ms rd=-43m50s sd=43m50s ipdv=443µs
seq=32 rtt=11.51ms rd=-44m49s sd=44m49s ipdv=799µs
seq=33 rtt=11.54ms rd=-45m48s sd=45m48s ipdv=32.6µs
seq=34 rtt=11.9ms rd=-46m47s sd=46m47s ipdv=365µs
seq=35 rtt=11.51ms rd=-47m45s sd=47m45s ipdv=398µs
seq=36 rtt=11.92ms rd=-48m44s sd=48m44s ipdv=417µs
seq=37 rtt=11.33ms rd=-49m43s sd=49m43s ipdv=594µs
seq=38 rtt=11.25ms rd=-50m42s sd=50m42s ipdv=75.5µs
seq=39 rtt=11.3ms rd=-51m41s sd=51m41s ipdv=48.8µs
seq=40 rtt=11.53ms rd=-52m39s sd=52m39s ipdv=233µs
seq=41 rtt=11.3ms rd=-53m38s sd=53m38s ipdv=236µs
seq=42 rtt=10.77ms rd=-54m37s sd=54m37s ipdv=532µs
seq=43 rtt=11.2ms rd=-55m36s sd=55m36s ipdv=432µs
seq=44 rtt=10.69ms rd=-56m34s sd=56m34s ipdv=511µs
seq=45 rtt=10.29ms rd=-57m33s sd=57m33s ipdv=394µs
seq=46 rtt=10.83ms rd=-58m32s sd=58m32s ipdv=532µs
seq=47 rtt=10.24ms rd=-59m30s sd=59m30s ipdv=590µs
seq=48 rtt=9.58ms rd=-1h0m29s sd=1h0m29s ipdv=651µs
seq=49 rtt=10.64ms rd=-1h1m28s sd=1h1m28s ipdv=1.06ms
seq=50 rtt=9.48ms rd=-1h2m26s sd=1h2m26s ipdv=1.17ms
seq=51 rtt=9.6ms rd=-1h3m25s sd=1h3m25s ipdv=119µs
seq=52 rtt=9.42ms rd=-1h4m24s sd=1h4m24s ipdv=172µs
seq=53 rtt=9.73ms rd=-1h5m23s sd=1h5m23s ipdv=308µs
seq=54 rtt=9.53ms rd=-1h6m21s sd=1h6m21s ipdv=205µs
seq=55 rtt=30.19ms rd=-1h7m23s sd=1h7m23s ipdv=20.67ms
