Data plane is up
Running irtt
UE IP is 10.45.0.55
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.97ms rd=-14m11s sd=14m11s ipdv=n/a
seq=1 rtt=22.01ms rd=-15m9s sd=15m9s ipdv=1.95ms
seq=2 rtt=21.18ms rd=-16m7s sd=16m7s ipdv=837µs
seq=3 rtt=19.88ms rd=-17m4s sd=17m4s ipdv=1.3ms
seq=4 rtt=19.08ms rd=-18m2s sd=18m2s ipdv=796µs
seq=5 rtt=16.62ms rd=-18m59s sd=18m59s ipdv=2.47ms
seq=6 rtt=15.49ms rd=-19m56s sd=19m56s ipdv=1.13ms
seq=7 rtt=12.45ms rd=-20m53s sd=20m53s ipdv=3.04ms
seq=8 rtt=10.93ms rd=-21m50s sd=21m50s ipdv=1.52ms
seq=9 rtt=9.75ms rd=-22m47s sd=22m47s ipdv=1.18ms
seq=10 rtt=139ms rd=-23m46s sd=23m46s ipdv=129.2ms
seq=11 rtt=28.9ms rd=-24m43s sd=24m43s ipdv=110.1ms
seq=12 rtt=26.33ms rd=-25m40s sd=25m40s ipdv=2.57ms
seq=13 rtt=25.28ms rd=-26m37s sd=26m37s ipdv=1.05ms
seq=14 rtt=22.3ms rd=-27m34s sd=27m34s ipdv=2.98ms
seq=15 rtt=21.03ms rd=-28m31s sd=28m31s ipdv=1.27ms
seq=16 rtt=18.24ms rd=-29m28s sd=29m28s ipdv=2.79ms
seq=17 rtt=18.05ms rd=-30m26s sd=30m26s ipdv=190µs
seq=18 rtt=16.46ms rd=-31m23s sd=31m23s ipdv=1.6ms
seq=19 rtt=15.62ms rd=-32m22s sd=32m22s ipdv=840µs
seq=20 rtt=15.52ms rd=-33m20s sd=33m20s ipdv=101µs
seq=21 rtt=14.45ms rd=-34m19s sd=34m19s ipdv=1.07ms
seq=22 rtt=14.07ms rd=-35m17s sd=35m17s ipdv=378µs
seq=23 rtt=13.22ms rd=-36m15s sd=36m15s ipdv=856µs
seq=24 rtt=12.91ms rd=-37m13s sd=37m13s ipdv=305µs
seq=25 rtt=12.08ms rd=-38m12s sd=38m12s ipdv=832µs
seq=26 rtt=11.72ms rd=-39m10s sd=39m10s ipdv=360µs
seq=27 rtt=10.98ms rd=-40m9s sd=40m9s ipdv=739µs
seq=28 rtt=10.56ms rd=-41m7s sd=41m7s ipdv=422µs
seq=29 rtt=10.48ms rd=-42m5s sd=42m5s ipdv=76µs
seq=30 rtt=9.48ms rd=-43m4s sd=43m4s ipdv=1ms
seq=31 rtt=9.9ms rd=-44m3s sd=44m3s ipdv=417µs
seq=32 rtt=9.44ms rd=-45m2s sd=45m2s ipdv=458µs
seq=33 rtt=9.64ms rd=-46m1s sd=46m1s ipdv=205µs
seq=34 rtt=9.44ms rd=-46m59s sd=46m59s ipdv=206µs
seq=35 rtt=9.93ms rd=-47m58s sd=47m58s ipdv=491µs
seq=36 rtt=9.43ms rd=-48m57s sd=48m57s ipdv=498µs
seq=37 rtt=9.64ms rd=-49m56s sd=49m56s ipdv=211µs
seq=38 rtt=9.43ms rd=-50m54s sd=50m54s ipdv=208µs
seq=39 rtt=10.1ms rd=-51m54s sd=51m54s ipdv=670µs
seq=40 rtt=10.3ms rd=-52m52s sd=52m52s ipdv=195µs
seq=41 rtt=9.68ms rd=-53m51s sd=53m51s ipdv=613µs
seq=42 rtt=9.45ms rd=-54m50s sd=54m50s ipdv=236µs
seq=43 rtt=10.06ms rd=-55m49s sd=55m49s ipdv=607µs
seq=44 rtt=30.8ms rd=-56m50s sd=56m50s ipdv=20.74ms
seq=45 rtt=139.5ms rd=-57m48s sd=57m48s ipdv=108.7ms
seq=46 rtt=30.04ms rd=-58m47s sd=58m47s ipdv=109.5ms
seq=47 rtt=139.8ms rd=-59m46s sd=59m46s ipdv=109.8ms
seq=48 rtt=30.04ms rd=-1h0m45s sd=1h0m45s ipdv=109.8ms
seq=49 rtt=30.06ms rd=-1h1m43s sd=1h1m43s ipdv=18.9µs
seq=50 rtt=30.02ms rd=-1h2m42s sd=1h2m42s ipdv=47.6µs
seq=51 rtt=139.2ms rd=-1h3m40s sd=1h3m41s ipdv=109.2ms
seq=52 rtt=30.09ms rd=-1h4m40s sd=1h4m40s ipdv=109.1ms
seq=53 rtt=30.12ms rd=-1h5m38s sd=1h5m38s ipdv=26.4µs
seq=54 rtt=29.67ms rd=-1h6m37s sd=1h6m37s ipdv=444µs
seq=55 rtt=29.01ms rd=-1h7m35s sd=1h7m35s ipdv=661µs
