Data plane is up
Running irtt
UE IP is 10.45.0.124
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.72ms rd=-14m6s sd=14m6s ipdv=n/a
seq=1 rtt=22.27ms rd=-15m4s sd=15m5s ipdv=1.45ms
seq=2 rtt=20.93ms rd=-16m2s sd=16m2s ipdv=1.34ms
seq=3 rtt=21.38ms rd=-17m0s sd=17m0s ipdv=451µs
seq=4 rtt=20.19ms rd=-17m57s sd=17m57s ipdv=1.19ms
seq=5 rtt=18.03ms rd=-18m55s sd=18m55s ipdv=2.16ms
seq=6 rtt=16.22ms rd=-19m52s sd=19m52s ipdv=1.81ms
seq=7 rtt=14.64ms rd=-20m49s sd=20m49s ipdv=1.58ms
seq=8 rtt=12.69ms rd=-21m46s sd=21m46s ipdv=1.95ms
seq=9 rtt=10.96ms rd=-22m42s sd=22m42s ipdv=1.74ms
seq=10 rtt=9.76ms rd=-23m39s sd=23m39s ipdv=1.2ms
seq=11 rtt=30ms rd=-24m39s sd=24m39s ipdv=20.24ms
seq=12 rtt=27.44ms rd=-25m36s sd=25m36s ipdv=2.56ms
seq=13 rtt=25.83ms rd=-26m33s sd=26m33s ipdv=1.61ms
seq=14 rtt=23.84ms rd=-27m30s sd=27m30s ipdv=1.99ms
seq=15 rtt=21.26ms rd=-28m27s sd=28m27s ipdv=2.58ms
seq=16 rtt=19.62ms rd=-29m23s sd=29m23s ipdv=1.64ms
seq=17 rtt=18.49ms rd=-30m21s sd=30m21s ipdv=1.13ms
seq=18 rtt=17.9ms rd=-31m19s sd=31m19s ipdv=587µs
seq=19 rtt=17.08ms rd=-32m17s sd=32m17s ipdv=818µs
seq=20 rtt=15.9ms rd=-33m16s sd=33m16s ipdv=1.18ms
seq=21 rtt=15.78ms rd=-34m14s sd=34m14s ipdv=127µs
seq=22 rtt=14.74ms rd=-35m12s sd=35m12s ipdv=1.04ms
seq=23 rtt=14.34ms rd=-36m11s sd=36m11s ipdv=396µs
seq=24 rtt=14.48ms rd=-37m9s sd=37m9s ipdv=143µs
seq=25 rtt=13.08ms rd=-38m7s sd=38m8s ipdv=1.4ms
seq=26 rtt=13.24ms rd=-39m6s sd=39m6s ipdv=162µs
seq=27 rtt=12.09ms rd=-40m4s sd=40m4s ipdv=1.16ms
seq=28 rtt=12.1ms rd=-41m2s sd=41m2s ipdv=9.58µs
seq=29 rtt=10.82ms rd=-42m1s sd=42m1s ipdv=1.28ms
seq=30 rtt=11.51ms rd=-42m59s sd=43m0s ipdv=690µs
seq=31 rtt=10.74ms rd=-43m58s sd=43m58s ipdv=765µs
seq=32 rtt=10.22ms rd=-44m57s sd=44m57s ipdv=523µs
seq=33 rtt=10.8ms rd=-45m56s sd=45m56s ipdv=586µs
seq=34 rtt=10.71ms rd=-46m55s sd=46m55s ipdv=89.2µs
seq=35 rtt=10.81ms rd=-47m54s sd=47m54s ipdv=91.2µs
seq=36 rtt=10.05ms rd=-48m52s sd=48m52s ipdv=753µs
seq=37 rtt=10.8ms rd=-49m51s sd=49m51s ipdv=751µs
seq=38 rtt=9.75ms rd=-50m50s sd=50m50s ipdv=1.05ms
seq=39 rtt=10.7ms rd=-51m49s sd=51m49s ipdv=942µs
seq=40 rtt=10.44ms rd=-52m48s sd=52m48s ipdv=257µs
seq=41 rtt=9.61ms rd=-53m46s sd=53m46s ipdv=826µs
seq=42 rtt=10.84ms rd=-54m45s sd=54m45s ipdv=1.23ms
seq=43 rtt=9.6ms rd=-55m44s sd=55m44s ipdv=1.25ms
seq=44 rtt=10.63ms rd=-56m43s sd=56m43s ipdv=1.03ms
seq=45 rtt=10.59ms rd=-57m42s sd=57m42s ipdv=46.1µs
seq=46 rtt=10.35ms rd=-58m40s sd=58m40s ipdv=240µs
seq=47 rtt=9.52ms rd=-59m39s sd=59m39s ipdv=823µs
seq=48 rtt=30.7ms rd=-1h0m40s sd=1h0m40s ipdv=21.17ms
seq=49 rtt=139.8ms rd=-1h1m38s sd=1h1m39s ipdv=109.1ms
seq=50 rtt=30.01ms rd=-1h2m37s sd=1h2m37s ipdv=109.8ms
seq=51 rtt=139.4ms rd=-1h3m36s sd=1h3m36s ipdv=109.4ms
seq=52 rtt=30.16ms rd=-1h4m35s sd=1h4m35s ipdv=109.2ms
seq=53 rtt=30.88ms rd=-1h5m34s sd=1h5m34s ipdv=725µs
seq=54 rtt=30.05ms rd=-1h6m32s sd=1h6m32s ipdv=834µs
seq=55 rtt=139.1ms rd=-1h7m31s sd=1h7m31s ipdv=109ms
