Data plane is up
Running irtt
UE IP is 10.45.0.123
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.83ms rd=-32m39s sd=32m39s ipdv=n/a
seq=1 rtt=22.66ms rd=-33m37s sd=33m37s ipdv=1.17ms
seq=2 rtt=22.09ms rd=-34m36s sd=34m36s ipdv=568µs
seq=3 rtt=21.07ms rd=-35m34s sd=35m34s ipdv=1.02ms
seq=4 rtt=20.32ms rd=-36m32s sd=36m32s ipdv=757µs
seq=5 rtt=20.27ms rd=-37m30s sd=37m30s ipdv=45.6µs
seq=6 rtt=19.48ms rd=-38m29s sd=38m29s ipdv=792µs
seq=7 rtt=19.16ms rd=-39m27s sd=39m27s ipdv=320µs
seq=8 rtt=19.07ms rd=-40m26s sd=40m26s ipdv=90.3µs
seq=9 rtt=17.74ms rd=-41m24s sd=41m24s ipdv=1.33ms
seq=10 rtt=17.13ms rd=-42m23s sd=42m23s ipdv=614µs
seq=11 rtt=17.69ms rd=-43m21s sd=43m21s ipdv=561µs
seq=12 rtt=16.86ms rd=-44m20s sd=44m20s ipdv=831µs
seq=13 rtt=16.6ms rd=-45m19s sd=45m19s ipdv=262µs
seq=14 rtt=16.84ms rd=-46m18s sd=46m18s ipdv=244µs
seq=15 rtt=16.68ms rd=-47m16s sd=47m16s ipdv=161µs
seq=16 rtt=16.9ms rd=-48m16s sd=48m16s ipdv=217µs
seq=17 rtt=16.63ms rd=-49m14s sd=49m14s ipdv=265µs
seq=18 rtt=16.84ms rd=-50m13s sd=50m13s ipdv=210µs
seq=19 rtt=16.69ms rd=-51m12s sd=51m12s ipdv=151µs
seq=20 rtt=16.83ms rd=-52m11s sd=52m11s ipdv=141µs
seq=21 rtt=16.2ms rd=-53m9s sd=53m9s ipdv=625µs
seq=22 rtt=15.73ms rd=-54m8s sd=54m8s ipdv=478µs
seq=23 rtt=15.49ms rd=-55m7s sd=55m7s ipdv=238µs
seq=24 rtt=15.62ms rd=-56m6s sd=56m6s ipdv=133µs
seq=25 rtt=15.49ms rd=-57m4s sd=57m4s ipdv=128µs
seq=26 rtt=15.53ms rd=-58m3s sd=58m3s ipdv=40µs
seq=27 rtt=15.49ms rd=-59m2s sd=59m2s ipdv=42.1µs
seq=28 rtt=14.41ms rd=-1h0m1s sd=1h0m1s ipdv=1.09ms
seq=29 rtt=14.29ms rd=-1h0m59s sd=1h0m59s ipdv=118µs
seq=30 rtt=14.33ms rd=-1h1m58s sd=1h1m58s ipdv=40.6µs
seq=31 rtt=14.31ms rd=-1h2m56s sd=1h2m56s ipdv=20.2µs
seq=32 rtt=14.43ms rd=-1h3m55s sd=1h3m55s ipdv=125µs
seq=33 rtt=13.15ms rd=-1h4m54s sd=1h4m54s ipdv=1.29ms
seq=34 rtt=13.65ms rd=-1h5m53s sd=1h5m53s ipdv=501µs
seq=35 rtt=121.6ms rd=-1h6m51s sd=1h6m51s ipdv=108ms
